date	ADMI1101_10126	ADMI1102_11411	ADMI1102_25454	ADMI1102_25458	ADMI1102_25791	ADMI1190_20646	ADMI1190_23025	ADMI1190_27847	ADMI1203_10131	ADMI1203_11123	ADMI1203_12118	ADMI1203_20816	ADMI1401_11017	ADMI1401_11019	ADMI1401_11021	ADMI1401_11022	ADMI1401_12174	ADMI1401_13124	ADMI1401_13125	ADMI1590_17185	ADMI1590_20917	ADMI1590_23194	ADMI1590_23195	ADMI1602_11013	ADMI1602_11014	ADMI1602_11015	ADMI1602_13920	ADMI1602_17132	ADMI1602_18587	ADMI1602_20817	ADMI1602_28720	ADMI1603_10133	ADMI1603_10134	ADMI1603_23026	ADMI1603_23082	ADMI1603_27876	ADMI2104B_11547	ADMI2104B_13121	ADMI2104B_21174	ADMI2104B_25486	ADMI2106_10135	ADMI2106_10637	ADMI2106_11216	ADMI2107_10427	ADMI2107_10502	ADMI2204_11425	ADMI2204_18596	ADMI2204_25488	ADMI2205_10138	ADMI2205_11426	ADMI2206_14896	ADMI2207_12119	ADMI2207_13554	ADMI2207_14899	ADMI2207_23649	ADMI2301_10139	ADMI2301_10665	ADMI2301_13266	ADMI2301_13604	ADMI2301_18597	ADMI2301_25473	ADMI2302_10140	ADMI2302_10180	ADMI2302_20900	ADMI2403_11122	ADMI2403_13207	ADMI2403_13556	ADMI2501_20826	ADMI2501_20827	ADMI2501_23161	ADMI2501_28711	ADMI2556_23711	ADMI2556_27904	ADMI2557_20657	ADMI2557_20856	ADMI2557_20858	ADMI2605_14023	ADMI2605_14031	ADMI2605_14032	ADMI2605_14085	ADMI2605_23646	ADMI2605_27948	ADMI2801_10142	ADMI2801_13011	ADMI2801_13746	ADMI3107_28075	ADMI3107_28076	ADMI3109_13122	ADMI3110_10837	ADMI3110_10859	ADMI3110_12462	ADMI3110_13560	ADMI3110_14951	ADMI3110_23164	ADMI3122_10144	ADMI3122_13557	ADMI3122_13924	ADMI3122_18608	ADMI3128B_23712	ADMI3133B_13228	ADMI3137_14504	ADMI3138_25265	ADMI3200_10861	ADMI3200_13761	ADMI3200_13762	ADMI3200_27968	ADMI3205_11998	ADMI3207_10145	ADMI3210_21320	ADMI3210_25993	ADMI3237_27974	ADMI3238_23715	ADMI3311_27976	ADMI3313_27977	ADMI3327_27978	ADMI3335_27979	ADMI3336_21324	ADMI3405_10147	ADMI3405_10148	ADMI3405_18615	ADMI3406_27980	ADMI3431_17432	ADMI3502_10149	ADMI3502_10407	ADMI3502_12463	ADMI3502_28691	ADMI3503_23196	ADMI3505_28585	ADMI3601_27982	ADMI3602_28615	ADMI3604_10898	ADMI3606_17433	ADMI3611_23065	ADMI3615_11291	ADMI3701_10150	ADMI3701_11132	ADMI3701_12120	ADMI3705_27984	ADMI3990_13702	ADMI3991_10900
1707240824	78	50	49	49	49	40	40	50	35	35	35	35	35	35	27	32	30	35	33	30	30	30	30	20	20	20	20	20	20	20	0	45	45	45	45	45	76	77	77	77	45	45	45	45	45	50	50	50	35	40	40	36	30	38	36	40	37	39	40	40	27	50	50	50	45	45	45	45	45	45	0	35	35	35	35	35	45	45	45	45	39	44	45	45	45	65	65	35	30	30	30	30	30	30	35	35	35	35	47	45	45	40	100	20	20	20	30	44	35	40	30	35	0	35	35	35	33	45	45	45	26	30	45	45	45	0	0	35	40	12	18	40	24	50	40	45	45	0	200	100
1707240905	61	50	49	48	49	40	38	50	34	35	35	35	33	33	26	30	25	35	31	30	29	29	30	20	20	20	20	20	20	20	0	45	45	44	44	45	75	76	76	77	44	45	45	45	45	50	50	50	35	40	40	30	25	37	34	40	36	39	40	39	25	49	50	50	45	45	45	45	45	45	0	35	34	35	35	35	45	45	45	44	39	44	45	45	45	65	65	35	30	30	30	30	30	30	35	35	35	35	47	43	43	40	100	20	20	19	30	44	35	40	30	34	0	35	35	35	32	45	45	45	26	29	45	44	45	0	0	35	40	11	18	38	24	49	40	44	45	0	200	100
1707240930	40	50	49	47	48	39	38	50	34	35	35	35	33	32	18	25	23	35	29	30	29	29	30	20	20	20	20	20	20	20	0	45	44	44	44	45	75	75	76	77	44	43	45	45	45	50	50	50	35	40	40	26	16	35	33	40	36	39	40	39	25	49	50	50	45	45	45	45	45	44	0	35	34	35	35	35	45	45	45	44	39	44	45	45	45	63	65	34	29	30	30	30	30	30	35	35	35	35	47	42	43	40	100	19	20	18	30	44	35	40	30	34	0	35	35	35	33	44	45	45	26	29	45	44	45	0	0	35	40	11	18	38	24	49	40	44	45	0	200	100
1707240941	14	50	47	46	47	38	38	50	34	35	35	35	33	32	16	22	14	35	27	29	29	29	30	20	20	20	20	20	20	20	0	45	44	44	44	45	74	74	76	77	44	43	45	45	45	50	50	49	35	40	40	23	7	30	29	40	36	39	40	39	23	49	50	50	45	45	44	45	45	44	0	35	34	35	35	35	45	45	45	43	39	44	45	45	45	63	65	34	27	29	30	30	30	30	35	35	35	35	47	41	43	40	100	19	20	18	30	44	35	40	30	34	0	35	35	35	32	44	45	45	26	28	45	44	45	0	0	35	40	11	18	38	23	49	39	42	45	0	200	100
1707241000	10	50	47	45	47	37	38	50	34	35	35	35	33	31	13	24	11	35	27	29	29	29	30	20	20	20	20	20	20	20	0	45	44	44	44	45	73	74	76	77	44	42	44	45	45	50	50	49	35	40	40	23	4	30	26	40	36	39	40	39	21	49	50	50	44	45	44	45	45	44	0	35	34	35	35	35	45	45	45	43	38	44	45	45	45	63	65	34	27	29	30	30	30	30	35	35	35	35	47	41	43	40	100	19	20	18	30	44	35	40	29	34	0	35	35	35	32	44	45	45	26	26	44	44	45	0	0	35	40	11	18	37	23	49	39	42	45	-1	200	100
1707241012	0	50	46	45	46	37	38	50	34	35	35	35	33	30	14	23	9	35	23	29	29	29	30	20	20	20	20	20	20	20	0	45	44	44	44	45	73	74	76	77	44	42	44	45	45	49	50	48	35	40	40	22	0	26	25	40	36	39	40	38	20	49	50	50	44	45	44	45	45	44	0	35	34	35	35	35	45	45	45	43	38	44	45	45	45	63	65	34	27	29	30	30	30	30	35	35	35	35	47	40	43	40	100	19	20	18	30	44	35	40	29	34	0	35	35	35	32	44	45	45	26	26	44	44	45	0	0	35	40	11	18	37	23	49	39	42	45	-1	200	100
1707241023	0	50	45	45	45	37	38	50	34	34	34	35	32	30	13	23	9	35	23	29	29	29	30	20	20	20	20	20	20	20	0	44	44	44	44	45	73	73	76	77	44	42	44	45	45	50	50	48	34	40	40	21	1	26	24	40	36	39	40	38	20	49	50	50	44	45	44	45	45	44	0	35	34	35	35	35	45	45	45	43	38	44	45	45	45	63	65	34	25	29	30	30	30	30	35	35	35	35	47	40	43	40	100	19	20	18	30	44	35	40	29	34	0	35	35	35	32	43	45	45	26	26	44	44	45	0	0	35	40	11	18	37	23	49	39	42	45	-1	200	100
1707241039	1	50	45	46	44	37	38	50	34	34	34	35	32	29	14	22	7	35	23	29	29	29	30	20	20	20	20	20	20	20	0	44	43	44	44	45	73	73	76	77	44	42	43	45	45	50	50	48	34	40	40	20	1	26	22	39	36	39	40	38	19	49	50	50	44	45	44	45	45	44	0	35	34	35	35	35	45	45	45	43	38	44	45	44	45	63	65	34	25	29	30	30	30	30	35	35	35	35	47	40	43	40	100	19	20	18	30	44	35	40	29	34	0	35	35	35	32	43	45	45	26	26	44	44	45	0	0	35	40	11	18	37	23	49	39	41	45	-1	200	100
1707241047	0	50	44	44	44	37	38	50	34	34	34	35	32	29	14	21	6	35	23	29	29	29	30	20	20	20	20	20	20	20	0	44	43	44	44	45	73	72	76	77	43	42	43	45	45	50	50	48	32	40	40	20	0	26	23	39	36	39	40	38	19	49	50	50	44	45	43	45	45	44	0	35	34	35	35	35	45	45	45	43	37	44	45	44	45	63	65	34	25	29	30	30	29	29	35	35	35	35	47	39	43	40	100	19	20	18	29	44	34	40	29	34	0	34	35	35	32	43	45	45	26	25	44	44	45	0	0	35	40	11	18	37	23	49	39	40	45	-1	200	100
1707241055	0	50	44	44	44	37	38	50	34	34	34	35	32	29	14	21	6	35	23	29	29	29	30	20	20	20	20	20	20	20	0	44	43	44	43	45	73	72	76	77	43	42	43	45	45	50	50	48	32	40	40	20	0	25	23	39	36	39	40	38	19	48	50	50	44	45	42	45	45	44	0	35	34	35	35	35	45	45	45	43	37	43	45	44	45	63	65	34	25	29	30	30	29	29	35	35	35	35	47	39	41	40	100	19	20	18	29	44	34	40	29	34	0	34	35	35	32	43	45	45	26	25	44	44	45	0	0	35	40	11	18	37	23	49	39	40	45	-1	200	100
