date	ANTR1001_26230	ANTR1101_10265	ANTR1104_11519	ANTR1104_11544	ANTR1105A_20115	ANTR1106B_17435	ANTR1118A_26231	ANTR1128A_26232	ANTR1130B_26233	ANTR1134B_21330	ANTR1135A_21331	ANTR1201_10266	ANTR1202B_26234	ANTR1203A_13368	ANTR1401_20854	ANTR2102_11520	ANTR2104_26235	ANTR2105_26236	ANTR2119_27372	ANTR2120_27371	ANTR2202_26237	ANTR2301_26238	ANTR3006_21135	ANTR3011_28362	ANTR3014_25997	ANTR3015_27957	ANTR3101_26245	ANTR3172_26246	ANTR3173_26247	ANTR3177_14177	ANTR3178_14178	ANTR3179_14179	ANTR3180_17445	ANTR3183_28734	ANTR3184_28726	ANTR3185_10673	ANTR3188_28735	ANTR3190_17446	ANTR3191_11522	ANTR3193_11523	ANTR3194_10103	ANTR3195_10104	ANTR3198_28652	ANTR3600_20122	ANTR3990_19146	ANTR3992_11467	ANTR3993_11524	ANTR4108_28548	ANTR4109_28547	ANTR4137_11163	ANTR4138_17449	ANTR4224_10675	ANTR4225_10268	ANTR4500_25566	ANTR4974_28647	ANTR4975_28648	ANTR4976_28649	ANTR4977_28650	ANTR4990_14000	ANTR6061_28545	ANTR6062_17452	ANTR6063_14019	ANTR6064_14005	ANTR6065_13586	ANTR6066_13587	ANTR6961_13588	ANTR6962_25569	ANTR6963_25570	ANTR6970_13591	ANTR6971_19151	ANTR6980_13592	ANTR6981_13593	ANTR6982_13594	ANTR6983_15180	ANTR6990_14939	ANTR6991_25353
1707240824	24	62	35	34	46	82	28	21	37	57	44	55	54	33	50	40	55	55	30	25	55	35	15	0	15	15	55	25	25	0	0	0	0	0	0	20	0	5	25	20	15	5	0	5	25	5	30	5	5	10	15	10	10	5	0	0	0	0	15	0	5	5	5	5	5	5	5	5	5	5	5	5	10	15	10	25
1707240905	22	59	35	33	46	81	28	19	37	56	43	55	54	33	50	40	55	55	30	25	55	35	15	0	15	15	55	25	25	0	0	0	0	0	0	20	0	5	25	20	15	5	0	5	25	5	30	5	5	10	15	10	10	5	0	0	0	0	15	0	5	5	5	5	5	5	5	5	5	5	5	5	10	15	10	25
1707240930	18	52	35	33	45	80	28	19	37	55	41	55	53	33	50	40	55	55	30	25	55	35	15	0	15	15	55	25	25	0	0	0	0	0	0	20	0	5	25	20	15	5	0	5	25	5	30	5	5	10	15	10	10	5	0	0	0	0	15	0	5	5	5	5	5	5	5	5	5	5	5	5	10	15	10	25
1707240941	17	49	35	33	45	80	28	19	37	55	41	55	53	33	50	40	55	55	30	25	55	35	15	0	15	15	55	25	25	0	0	0	0	0	0	20	0	5	25	20	15	5	0	5	25	5	30	5	5	10	15	10	10	5	0	0	0	0	15	0	5	5	5	5	5	5	5	5	5	5	5	5	10	15	10	25
1707241000	17	49	35	33	45	80	28	19	37	55	41	55	53	32	50	40	55	55	30	25	55	35	15	0	15	15	55	25	25	0	0	0	0	0	0	20	0	5	25	20	15	5	0	5	25	5	30	5	5	10	15	10	10	5	0	0	0	0	15	0	5	5	5	5	5	5	5	5	5	5	5	5	10	15	10	25
1707241012	15	46	35	34	44	80	27	19	37	55	40	55	53	32	50	40	55	55	30	25	55	35	15	0	15	15	55	25	25	0	0	0	0	0	0	20	0	5	25	20	15	5	0	5	25	5	30	5	5	10	15	10	10	5	0	0	0	0	15	0	5	5	5	5	5	5	5	5	5	5	5	5	10	15	10	25
1707241023	15	45	34	34	44	80	27	18	37	54	40	54	52	32	50	40	55	55	30	25	55	35	15	0	15	15	55	25	25	0	0	0	0	0	0	20	0	5	25	20	15	5	0	5	25	5	30	5	5	10	15	10	10	5	0	0	0	0	15	0	5	5	5	5	5	5	5	5	5	5	5	5	10	15	10	25
1707241039	15	45	34	34	44	80	27	17	37	54	40	54	53	32	50	40	55	55	30	25	55	35	15	0	15	15	55	25	25	0	0	0	0	0	0	20	0	5	25	20	15	5	0	5	25	5	30	5	5	10	15	10	10	5	0	0	0	0	15	0	5	5	5	5	5	5	5	5	5	5	5	5	10	15	10	25
1707241047	15	45	34	34	44	80	27	17	37	54	39	54	53	32	50	40	55	55	30	25	55	35	15	0	15	15	55	25	25	0	0	0	0	0	0	20	0	5	25	20	15	5	0	5	25	5	30	5	5	10	15	10	10	5	0	0	0	0	15	0	5	5	5	5	5	5	5	5	5	5	5	5	10	15	10	25
1707241055	15	45	34	34	44	80	27	17	37	54	38	54	53	32	50	40	55	55	30	25	55	35	15	0	15	15	55	25	25	0	0	0	0	0	0	20	0	5	25	20	15	5	0	5	25	5	30	5	5	10	15	10	10	5	0	0	0	0	15	0	5	5	5	5	5	5	5	5	5	5	5	5	10	15	10	25
1707241129	15	45	34	34	44	80	27	16	37	54	39	54	54	32	50	40	55	55	30	25	55	35	15	0	15	15	55	25	25	0	0	0	0	0	0	20	0	5	25	20	15	5	0	5	25	5	30	5	5	10	15	10	10	5	0	0	0	0	15	0	5	5	5	5	5	5	5	5	5	5	5	5	10	15	10	25
1707241147	15	45	34	34	44	80	27	16	37	54	39	54	54	32	50	40	55	55	30	25	55	35	15	0	15	15	55	25	25	0	0	0	0	0	0	20	0	5	25	20	15	5	0	5	25	5	30	5	5	10	15	10	9	5	0	0	0	0	15	0	5	5	5	5	5	5	5	5	5	5	5	5	10	15	10	25
1707241221	15	45	34	34	44	80	27	16	37	54	39	53	54	32	50	40	55	55	30	25	55	35	15	0	15	15	55	25	25	0	0	0	0	0	0	20	0	5	25	20	15	5	0	5	25	5	30	5	5	10	15	10	9	5	0	0	0	0	15	0	5	5	5	5	5	5	5	5	5	5	5	5	10	15	10	25
1707241307	15	45	34	34	44	80	27	16	37	54	39	53	54	32	50	40	55	55	30	25	55	35	15	0	15	15	55	25	25	0	0	0	0	0	0	20	0	5	25	20	15	5	0	5	25	5	30	5	5	10	15	10	9	5	0	0	0	0	15	0	5	5	5	5	5	5	5	5	5	5	5	5	10	15	10	25
1707241415	15	45	34	34	43	80	27	16	37	53	38	52	51	32	50	40	55	55	30	25	55	35	15	0	15	15	55	25	25	0	0	0	0	0	0	20	0	5	25	20	15	5	0	5	25	5	30	5	5	10	14	10	9	5	0	0	0	0	15	0	5	5	5	5	5	5	5	5	5	5	5	5	10	15	10	25
1707241512	15	45	34	34	43	80	27	15	35	52	37	52	50	32	50	39	54	54	30	25	54	33	15	0	15	15	54	25	25	0	0	0	0	0	0	20	0	5	25	20	15	5	0	5	25	5	30	5	5	9	13	10	8	5	0	0	0	0	14	0	5	5	5	5	5	5	5	5	5	5	5	5	10	14	10	25
1707241556	15	45	34	34	43	78	27	14	35	52	37	52	49	32	50	38	52	52	29	24	54	33	15	0	15	15	53	25	24	0	0	0	0	0	0	20	0	5	25	20	13	5	0	5	25	5	27	5	5	9	12	10	8	5	0	0	0	0	14	0	5	4	4	5	5	5	5	5	5	5	5	5	10	14	9	25
