date	ARQU1010_23747	ARQU1020_10904	ARQU1021_10193	ARQU1100_26256	ARQU1111_13825	ARQU1111_14020	ARQU1111_14022	ARQU1111_14025	ARQU1111_20809	ARQU1121_13826	ARQU1121_14026	ARQU1121_14027	ARQU1121_14028	ARQU1121_27531	ARQU1201_10766	ARQU1201_10768	ARQU1201_12445	ARQU1201_12446	ARQU1201_16622	ARQU1202_10676	ARQU1202_10770	ARQU1202_12447	ARQU1202_12448	ARQU1202_27533	ARQU1225A_12236	ARQU1226A_11064	ARQU1229A_12000	ARQU1231B_26257	ARQU1301_10677	ARQU1301_10772	ARQU1301_12449	ARQU1301_16623	ARQU1301_20811	ARQU1302_10678	ARQU1302_10773	ARQU1302_12455	ARQU1302_12456	ARQU1302_27535	ARQU1305A_12237	ARQU1306B_10679	ARQU1410_11164	ARQU1410_11230	ARQU1410_12451	ARQU1410_12452	ARQU1410_13317	ARQU1420_11165	ARQU1420_11231	ARQU1420_12453	ARQU1420_25689	ARQU1420_27538	ARQU1502_14034	ARQU1503_12264	ARQU1503_12459	ARQU1503_13258	ARQU1503_13259	ARQU1503_16982	ARQU1504_13250	ARQU1552_11166	ARQU2101_10857	ARQU2101_12121	ARQU2101_13260	ARQU2101_13271	ARQU2101_15075	ARQU2102_10218	ARQU2102_12122	ARQU2102_12460	ARQU2102_13272	ARQU2102_13273	ARQU2103_11372	ARQU2103_11373	ARQU2103_13652	ARQU2103_13653	ARQU2103_13654	ARQU2201_23751	ARQU2201_25691	ARQU2202_10026	ARQU2202_23038	ARQU2203_10590	ARQU2203_23043	ARQU2310_23752	ARQU2310_25693	ARQU2320_23753	ARQU2320_25695	ARQU2330_23754	ARQU2330_25696	ARQU2410_23755	ARQU2410_25697	ARQU2420_23756	ARQU2420_25698	ARQU2430_23757	ARQU2430_25699	ARQU3156_23003	ARQU3163_13669	ARQU3168_23758	ARQU3249_18589	ARQU3252_25820	ARQU3325_14033	ARQU3351_21358	ARQU3449_28368	ARQU3823_13715	ARQU3828_13672	ARQU3829_13673	ARQU3852_20139	ARQU3853_20141	ARQU3854_20142	ARQU3858_21360	ARQU3859_21361	ARQU3860_21362	ARQU3861_23765	ARQU3862_23766	ARQU3863_23767	ARQU3864_26263	ARQU3865_26264	ARQU3866_26265	ARQU3867_26266	ARQU3868_26267	ARQU3869_26268	ARQU3870_27791	ARQU3871_27792	ARQU3872_27793	ARQU3910_11293	ARQU3910_11849	ARQU3911_12151	ARQU3911_25711	ARQU3912_12273	ARQU3912_16888	ARQU3913_15151	ARQU3913_15153	ARQU3920_23771	ARQU3930_11295	ARQU3931_12152	ARQU3932_15361	ARQU3933_15152	ARQU3990_11371	ARQU3991_23772	ARQU3992_23773	ARQU4102_27873	ARQU4105_27879	ARQU4202_27883	ARQU4203_25367	ARQU4204_25368	ARQU4301_25198	ARQU4302_25369	ARQU4303_25370
1707240824	100	5	5	74	16	18	0	18	15	18	18	18	18	18	18	16	11	0	18	18	18	18	18	18	46	46	46	77	16	18	16	0	16	18	18	18	18	18	44	76	13	18	0	18	17	18	18	18	18	18	20	18	0	14	16	18	20	20	50	0	0	0	0	50	0	0	0	0	60	0	0	0	0	45	45	47	47	45	45	44	44	47	47	45	45	48	46	48	48	47	47	15	15	15	15	15	15	15	15	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	8	8	8	8	8	8	8	8	88	16	16	16	16	999	0	0	20	20	20	10	5	10	10	5
1707240905	100	5	5	65	13	16	0	16	7	18	18	18	18	18	16	14	3	0	18	18	18	18	18	18	44	45	45	76	7	17	11	0	16	18	18	18	18	18	42	73	2	17	0	17	16	18	18	18	18	18	20	14	0	8	12	18	20	20	50	0	0	0	0	50	0	0	0	0	60	0	0	0	0	45	45	47	47	45	45	44	44	47	47	45	45	47	46	48	48	47	47	15	15	15	15	15	15	15	15	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	8	8	8	8	8	8	8	8	88	16	16	16	16	999	0	0	20	20	20	10	5	10	10	5
1707240930	100	5	5	58	13	13	0	15	1	18	18	18	18	18	14	9	0	0	18	18	18	18	18	18	43	45	44	76	1	15	9	0	15	18	18	18	18	18	41	71	0	15	0	17	10	18	18	18	18	18	20	11	0	5	9	16	20	20	50	0	0	0	0	50	0	0	0	0	60	0	0	0	0	45	45	47	47	45	45	44	44	47	47	45	45	47	46	48	48	47	47	15	15	15	15	15	15	15	15	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	8	8	8	8	8	8	8	8	88	16	16	16	16	999	0	0	20	20	20	10	5	10	10	5
1707240941	100	5	5	47	9	8	0	14	0	18	18	18	18	18	9	2	0	0	17	18	18	18	18	18	41	44	45	77	0	11	4	0	10	18	18	18	18	18	40	71	0	11	0	16	3	18	18	18	18	18	20	7	0	0	6	14	20	20	50	0	0	0	0	50	0	0	0	0	60	0	0	0	0	45	45	47	47	45	45	44	44	47	47	45	45	47	46	48	48	47	47	15	15	15	15	15	15	15	15	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	8	8	8	8	8	8	8	8	88	16	16	16	16	999	0	0	20	20	20	10	5	10	10	5
1707241000	100	5	5	46	6	10	0	13	0	18	18	18	18	18	9	0	0	0	17	18	18	18	18	18	40	41	45	77	0	11	4	0	9	18	18	18	18	18	40	69	0	10	0	15	0	18	18	18	18	18	20	7	0	0	5	12	20	20	50	0	0	0	0	50	0	0	0	0	60	0	0	0	0	45	45	47	47	45	45	44	44	47	47	45	45	47	46	48	48	47	47	15	15	15	15	15	15	15	15	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	8	8	8	8	8	8	8	8	88	16	16	16	16	999	0	0	20	20	20	10	5	10	10	5
1707241012	100	5	5	43	5	7	0	12	0	18	18	18	18	18	5	0	0	0	16	18	18	18	18	18	39	41	45	77	0	11	1	0	8	18	18	18	18	18	40	68	0	8	0	13	0	18	18	18	18	18	20	4	0	0	2	11	20	20	50	0	0	0	0	50	0	0	0	0	60	0	0	0	0	45	45	47	47	45	45	44	44	47	47	45	45	47	46	48	48	47	47	15	15	15	15	15	15	15	15	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	8	8	8	8	8	8	8	8	88	16	16	16	16	999	0	0	20	20	20	10	5	10	10	5
1707241023	100	5	5	43	1	5	0	12	0	18	18	18	18	18	3	0	0	0	14	18	18	18	18	18	39	41	45	76	0	9	1	0	5	18	18	18	18	18	40	68	0	6	0	12	0	18	18	18	18	18	20	3	0	0	0	11	20	20	50	0	0	0	0	50	0	0	0	0	60	0	0	0	0	45	45	47	47	45	45	44	44	47	47	45	45	47	46	48	48	47	47	15	15	15	15	15	15	15	15	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	8	8	8	8	8	8	8	8	88	16	16	16	16	999	0	0	20	20	20	10	5	10	10	5
1707241039	100	5	5	39	1	4	0	12	0	18	18	18	18	18	3	0	0	0	12	18	18	18	18	18	39	40	43	77	0	8	0	0	4	18	18	18	18	18	40	69	0	5	0	10	0	18	18	18	18	18	20	2	0	0	0	10	20	20	50	0	0	0	0	50	0	0	0	0	60	0	0	0	0	45	45	47	47	45	45	44	44	47	47	45	45	47	46	48	48	47	46	15	15	15	15	15	15	15	15	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	8	8	8	8	8	8	8	8	88	16	16	16	16	999	0	0	20	20	20	10	5	10	10	5
1707241047	100	5	5	38	0	2	0	12	0	18	18	18	18	18	2	0	0	0	10	18	18	18	18	18	39	40	43	77	0	8	0	0	4	18	18	18	18	18	40	68	0	3	0	10	0	18	18	18	18	18	20	0	0	0	0	10	20	20	50	0	0	0	0	50	0	0	0	0	60	0	0	0	0	45	45	47	47	45	45	44	44	47	47	45	45	47	46	48	48	47	46	15	15	15	15	15	15	15	15	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	8	8	8	8	8	8	8	8	88	16	16	16	16	999	0	0	20	20	20	10	5	10	10	5
1707241055	100	5	5	38	0	1	0	12	0	18	18	18	18	18	1	0	0	0	10	18	18	18	18	18	39	40	43	76	0	8	0	0	3	18	18	18	18	18	40	68	0	2	0	10	0	18	18	18	18	18	20	0	0	0	0	10	20	20	49	0	0	0	0	50	0	0	0	0	60	0	0	0	0	45	44	47	47	45	45	44	44	47	47	44	45	47	46	48	48	47	46	15	15	15	15	15	15	15	15	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	8	8	8	8	8	8	8	8	88	16	16	16	16	999	0	0	20	20	20	10	5	10	9	5
