date	ARTE1000_21366	ARTE1001_21367	ARTE1002_21368	ARTE1103_13371	ARTE1104_13372	ARTE1104_13532	ARTE1104_13533	ARTE1105_15078	ARTE1105_18455	ARTE1105_18565	ARTE1105_20379	ARTE1105_22981	ARTE1105_25995	ARTE1105_26001	ARTE1115_13374	ARTE1116_13375	ARTE1116_13540	ARTE1116_13542	ARTE1116_23588	ARTE1117_13543	ARTE1117_13544	ARTE1117_23621	ARTE1117_28018	ARTE1118_14826	ARTE1119_13377	ARTE1120B_17190	ARTE1120B_28660	ARTE1126_26273	ARTE1129_26274	ARTE1209B_10122	ARTE1213_13378	ARTE1213_13546	ARTE1213_13547	ARTE1215_13379	ARTE1215_13620	ARTE1215_13960	ARTE1215_28332	ARTE1221_28349	ARTE1222_28348	ARTE1230_23778	ARTE1233_26277	ARTE1405B_23280	ARTE1406A_22526	ARTE1407_15107	ARTE1410A_21373	ARTE1500_23780	ARTE1501_23781	ARTE1503_28609	ARTE2100_13380	ARTE2101_13551	ARTE2106_13381	ARTE2107_14192	ARTE2108_13382	ARTE2108_13919	ARTE2109_13383	ARTE2110_13384	ARTE2111_13385	ARTE2112_13386	ARTE2113_13387	ARTE2115_26278	ARTE2116_13389	ARTE2118_26280	ARTE2119_13392	ARTE2125_26282	ARTE2126_21379	ARTE2129_19967	ARTE2131_26284	ARTE2203_13785	ARTE2205_13393	ARTE2206_13394	ARTE2207_19162	ARTE2210_19163	ARTE2417_26285	ARTE2423_26286	ARTE2443_26287	ARTE2446_26288	ARTE2446_28051	ARTE2461_25648	ARTE2464_28554	ARTE2465_26290	ARTE3100_13397	ARTE3108_28555	ARTE3113_28129	ARTE3114_13399	ARTE3115_13400	ARTE3121_26293	ARTE3203_26294	ARTE3205_13401	ARTE3213_26297	ARTE3216_26298	ARTE3218_28350	ARTE3220_26299	ARTE3401_26300	ARTE3403_23277	ARTE3427_26301	ARTE3428_26302	ARTE3602_16646	ARTE3602_16647	ARTE3602_16648	ARTE3602_16649	ARTE3602_16650	ARTE3602_16653	ARTE3602_16655	ARTE3602_16656	ARTE3602_16658	ARTE3602_16660	ARTE3602_16661	ARTE3602_25517	ARTE3603_12845	ARTE3603_12846	ARTE3603_12847	ARTE3603_12848	ARTE3603_12849	ARTE3603_12850	ARTE3603_12851	ARTE3603_12852	ARTE3603_12853	ARTE3603_13019	ARTE3603_13928	ARTE3603_23601	ARTE3990_12001	ARTE3992_12858	ARTE3994_13402	ARTE3995_12002	ARTE3996_28610
1707240824	78	79	80	15	15	15	14	17	17	17	17	17	16	17	14	14	12	14	15	15	15	15	15	15	15	0	0	15	42	82	15	12	15	15	15	15	15	15	15	39	15	59	38	66	32	20	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	14	15	15	15	30	15	42	14	15	15	30	15	15	15	15	15	15	4	15	15	15	15	15	15	20	15	20	15	0	2	2	4	0	0	2	4	0	2	0	2	3	2	2	4	2	2	2	1	2	3	5	1	999	4	999	3	999
1707240905	75	76	80	15	15	15	14	17	17	17	17	17	16	17	14	13	10	13	14	15	15	15	15	15	15	0	0	15	42	82	14	10	15	15	15	15	15	15	15	37	15	58	38	61	32	20	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	14	15	15	15	30	15	42	13	15	15	30	15	15	15	15	15	15	4	15	15	15	15	15	15	20	15	20	15	0	2	2	4	0	0	2	4	0	2	0	2	3	2	2	4	2	2	2	1	2	3	5	1	999	4	999	3	999
1707240930	75	76	80	15	15	15	14	17	17	17	17	17	16	17	14	13	8	11	13	15	15	15	15	15	15	0	0	15	42	81	13	9	13	15	15	15	15	14	15	37	15	58	38	57	32	20	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	14	15	15	15	30	15	42	13	15	15	30	15	15	15	15	15	15	4	15	15	15	15	15	15	20	15	20	15	0	2	2	4	0	0	2	4	0	2	0	2	3	2	2	4	2	2	2	1	2	3	5	1	999	4	999	3	999
1707240941	72	73	80	15	15	15	14	17	17	17	17	17	16	17	14	12	4	12	12	15	15	15	15	15	15	0	0	15	42	80	12	7	13	15	15	15	15	14	15	37	15	58	37	53	32	20	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	14	15	15	15	30	15	42	13	15	15	30	15	15	15	15	15	15	4	15	15	15	15	15	15	20	15	20	15	0	2	2	4	0	0	2	4	0	2	0	2	3	2	2	4	2	2	2	1	2	3	5	1	999	4	999	3	999
1707241000	72	73	80	15	15	15	14	17	17	17	17	17	16	17	14	12	3	12	12	15	15	15	15	15	15	0	0	15	42	80	12	7	12	15	15	15	15	14	15	37	15	58	37	52	32	19	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	14	15	15	15	30	15	42	13	15	15	30	15	15	15	15	15	15	4	15	15	15	15	15	15	20	15	20	15	0	2	2	4	0	0	2	4	0	2	0	2	3	2	2	4	2	2	2	1	2	3	5	1	999	4	999	3	999
1707241012	72	73	80	15	15	15	14	16	17	17	17	17	16	17	14	12	2	12	11	15	15	15	15	15	15	0	0	15	42	80	11	6	12	15	15	15	15	14	15	37	15	58	37	50	32	19	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	14	15	15	15	30	15	42	13	15	15	30	15	15	15	15	15	15	4	15	15	15	15	15	15	20	15	20	15	0	2	2	4	0	0	2	4	0	2	0	2	3	2	2	4	2	2	2	1	2	3	5	1	999	4	999	3	999
1707241023	72	73	80	15	15	15	14	16	17	17	17	17	16	17	14	12	0	12	11	15	15	15	15	15	15	0	0	15	42	80	10	5	12	15	15	15	15	14	15	37	15	58	37	48	32	19	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	14	15	15	15	30	15	42	13	15	15	30	15	15	15	15	15	15	4	15	15	15	15	15	15	20	15	20	15	0	2	2	4	0	0	2	4	0	2	0	2	3	2	2	4	2	2	2	1	2	3	5	1	999	4	999	3	999
1707241039	71	72	80	15	14	15	14	17	17	17	17	17	16	17	14	11	0	12	9	15	15	15	15	15	15	0	0	15	42	80	7	5	12	15	15	15	15	14	15	37	15	58	36	45	32	19	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	14	15	15	15	30	15	42	13	15	15	30	15	15	15	15	15	15	4	15	15	15	15	15	15	20	15	20	15	0	2	2	4	0	0	2	4	0	2	0	2	3	2	2	4	2	2	2	1	2	3	5	1	999	4	999	3	999
1707241047	71	72	80	15	15	14	14	16	17	17	17	17	16	17	14	11	0	12	9	15	15	15	15	15	15	0	0	15	42	80	6	5	12	15	15	15	15	14	15	37	15	58	36	45	32	19	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	14	15	15	15	30	15	42	13	15	15	30	15	15	15	15	15	15	4	15	15	15	15	15	15	20	15	20	15	0	2	2	4	0	0	2	4	0	2	0	2	3	2	2	4	2	2	2	1	2	3	5	1	999	4	999	3	999
1707241055	70	72	80	15	15	14	14	16	17	17	17	17	16	17	14	11	0	12	8	15	15	15	15	15	15	0	0	15	42	80	5	5	12	15	15	15	15	14	15	37	15	58	36	44	32	19	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	14	15	15	15	30	15	42	13	15	15	30	15	15	15	15	15	15	4	15	15	15	15	15	15	20	15	20	15	0	2	2	4	0	0	2	4	0	2	0	2	3	2	2	4	2	2	2	1	2	3	5	1	999	4	999	3	999
