date	ARTI4005_23800	ARTI4102_13579	ARTI4103_12663	ARTI4106_13982	ARTI4108_23552	ARTI4201_26304	ARTI4202_26305	ARTI4203_12665	ARTI4204_13185	ARTI4205_13285	ARTI4301_13582
1707240824	0	30	40	40	30	30	35	40	39	30	50
1707240905	0	30	40	40	30	30	35	40	39	30	50
1707240930	0	30	40	40	30	30	35	40	39	30	50
1707240941	0	30	40	40	30	30	35	40	39	30	50
1707241000	0	30	40	40	30	30	35	40	39	30	50
1707241012	0	30	40	40	30	30	35	40	39	30	50
1707241023	0	30	40	40	30	30	35	40	39	30	50
1707241039	0	30	40	40	30	30	35	40	39	30	50
1707241047	0	27	39	40	30	30	35	40	33	30	50
1707241055	0	26	39	40	30	30	35	40	33	30	50
1707241129	0	22	35	39	30	29	35	40	28	30	48
1707241147	0	20	17	27	27	11	15	26	26	20	37
1707241221	0	19	13	26	24	10	13	24	25	19	36
1707241307	0	19	12	26	23	8	12	21	24	19	36
1707241415	0	17	6	6	17	0	2	13	20	19	22
1707241512	0	17	1	4	15	0	2	6	16	16	16
1707241556	0	16	1	4	13	0	2	6	16	16	16
1707241623	0	16	1	4	13	0	2	6	16	16	15
1707241717	0	16	1	4	13	0	2	6	16	15	15
1707241814	0	16	1	3	13	0	2	6	14	15	14
1707241848	0	16	1	3	13	0	2	6	14	15	14
1707242034	0	15	1	3	13	0	2	6	13	15	14
1707242132	0	14	2	3	14	0	2	6	12	15	14
1707242210	0	12	2	2	14	0	2	5	11	15	14
1707242307	0	12	2	2	14	0	2	4	11	15	13
1707242329	0	12	2	2	14	0	2	4	11	15	13
1707242343	0	12	1	2	14	0	2	4	11	15	13
1707250748	0	12	1	2	14	0	2	4	11	15	13
1707251027	0	9	1	2	11	0	2	4	8	12	12
1707251309	0	5	1	2	9	0	2	4	5	9	12
1707251351	0	5	1	2	9	0	2	4	5	9	12
1707251441	0	5	1	2	9	0	2	4	5	9	12
1707251521	0	5	1	2	9	0	2	4	5	8	12
1707251605	0	5	1	2	9	0	2	5	6	8	11
1707251658	0	5	1	2	9	0	2	5	6	8	11
1707251727	0	5	1	2	9	0	2	5	6	8	11
1707251900	0	5	1	2	9	0	2	5	6	8	10
1707251927	0	5	1	2	9	0	2	5	6	8	10
1707252025	0	5	1	2	9	0	2	5	6	8	10
1707252100	0	5	1	2	9	0	2	5	6	8	10
1707252124	0	5	1	2	9	0	2	5	6	8	10
1707252143	0	5	1	2	9	0	2	5	6	8	10
1707252259	0	5	1	2	9	0	2	5	6	8	10
1707252332	0	4	1	2	9	0	2	5	5	8	10
1707260820	0	4	1	2	9	0	2	5	5	8	10
1707261009	0	4	1	2	9	0	2	5	5	8	10
1707261047	0	3	1	2	9	0	2	2	5	7	10
1707261116	0	3	1	2	9	0	2	2	6	7	10
1707261144	0	3	1	2	9	0	2	2	6	7	10
1707261213	0	3	1	2	9	0	2	2	6	7	9
1707261257	0	3	1	2	9	0	2	2	6	7	9
1707261315	0	3	1	2	9	0	2	2	6	7	9
1707261354	0	3	1	2	9	0	2	2	6	7	9
1707261538	0	3	1	2	9	0	2	2	6	7	9
1707261603	0	3	1	2	9	0	2	2	6	7	9
1707261646	0	3	1	2	9	0	2	2	6	7	9
1707261709	0	3	1	2	9	0	2	2	6	7	9
1707261733	0	3	1	2	9	0	2	2	6	7	9
1707261807	0	3	1	2	9	0	2	2	6	7	9
1707261822	0	3	1	2	9	0	2	2	6	7	9
1707261842	0	3	1	2	9	0	2	2	6	7	9
1707261903	0	3	1	2	9	0	2	2	6	7	9
1707261944	0	3	1	2	9	0	2	2	6	7	9
1707262004	0	3	1	2	9	0	2	2	6	7	9
1707262107	0	3	1	2	9	0	2	2	5	7	9
1707262125	0	3	1	2	9	0	2	2	5	7	9
1707262142	0	3	1	2	9	0	2	2	5	7	9
1707262337	0	3	1	2	9	0	2	2	5	7	9
1707270001	0	3	1	2	9	0	2	2	5	7	9
1707270737	0	3	1	2	9	0	2	2	6	6	9
1707270816	0	3	1	2	9	0	2	2	6	6	9
1707270840	0	3	1	2	9	0	2	2	6	6	9
1707270903	0	3	1	2	8	0	2	2	6	6	9
1707271009	0	3	1	2	8	0	2	2	6	6	9
1707271027	0	3	1	2	8	0	2	3	6	6	9
1707271053	0	4	1	2	8	0	2	3	6	6	9
1707271136	0	4	1	2	8	0	2	3	6	7	9
1707271218	0	4	1	2	8	0	2	3	6	7	9
1707271250	0	4	1	2	8	0	2	3	6	7	9
1707271309	0	4	1	2	8	0	2	3	6	7	9
1707271338	0	4	1	2	8	0	2	3	6	7	9
1707271422	0	4	1	2	8	0	2	3	6	7	9
1707271448	0	4	1	2	8	0	2	3	6	7	9
1707271510	0	4	1	2	8	0	2	3	6	7	9
1707271544	0	4	2	2	9	0	2	3	6	7	9
1707271643	0	3	1	2	8	0	2	3	5	7	10
1707271704	0	3	1	2	8	0	2	3	5	7	10
1707271720	0	3	1	2	8	0	2	3	5	7	10
1707271802	0	3	1	2	8	0	2	3	3	7	10
1707272002	0	3	1	2	8	0	2	3	3	7	10
1707272150	0	3	1	2	8	0	2	3	4	6	10
1707272237	0	3	1	2	8	0	2	3	4	6	10
1707281100	0	2	0	0	8	0	1	2	4	4	10
1707281233	0	2	0	0	8	0	0	1	3	5	11
1707281457	0	2	0	0	8	0	0	1	3	5	11
1707281621	0	2	0	0	8	0	0	1	3	6	11
1707281911	0	2	0	0	8	1	0	1	3	6	11
