date	AUTO5200_27281	AUTO5201_21200	AUTO5211_27282	AUTO5215_27283	AUTO5229_27284
1707240824	50	30	50	50	50
1707240905	50	30	50	50	50
1707240930	50	30	50	50	50
1707240941	50	30	50	50	50
1707241000	50	30	50	50	50
1707241012	50	30	50	50	50
1707241023	50	30	50	50	50
1707241039	50	30	50	50	50
1707241047	50	30	50	50	50
1707241055	50	30	50	50	50
1707241129	50	30	50	50	50
1707241147	50	30	50	50	50
1707241221	50	30	50	50	50
1707241307	50	30	50	50	50
1707241415	50	30	50	50	50
1707241512	46	29	45	45	45
1707241556	46	29	45	45	45
1707241623	46	29	45	45	45
1707241717	46	29	45	45	45
1707241814	46	29	45	45	45
1707241848	46	29	45	45	45
1707242034	46	29	45	45	45
1707242132	46	29	45	45	45
1707242210	46	29	45	45	45
1707242307	46	29	45	45	45
1707242329	46	29	45	45	45
1707242343	46	29	45	45	45
1707250748	46	29	45	45	45
1707251027	45	29	44	44	44
1707251309	44	28	43	43	43
1707251351	44	28	43	43	43
1707251441	44	28	43	43	43
1707251521	44	27	42	42	42
1707251605	44	27	42	42	42
1707251658	44	27	42	42	42
1707251727	44	27	42	42	42
1707251900	44	27	42	42	42
1707251927	44	27	42	42	42
1707252025	44	27	42	42	42
1707252100	44	27	42	42	42
1707252124	44	27	42	42	42
1707252143	44	27	42	42	42
1707252259	44	27	42	42	42
1707252332	44	27	42	42	42
1707260820	44	27	42	42	42
1707261009	44	27	42	42	42
1707261047	44	27	42	42	42
1707261116	44	27	42	42	42
1707261144	44	27	42	42	42
1707261213	44	27	42	42	42
1707261257	44	27	42	42	42
1707261315	44	27	42	42	42
1707261354	44	27	42	42	42
1707261538	44	27	42	42	42
1707261603	44	27	42	42	42
1707261646	44	27	42	42	42
1707261709	44	27	42	42	42
1707261733	44	27	42	42	42
1707261807	44	27	42	42	42
1707261822	44	27	42	42	42
1707261842	44	27	42	42	42
1707261903	44	27	42	42	42
1707261944	44	27	42	42	42
1707262004	44	27	42	42	42
1707262107	44	27	42	42	42
1707262125	44	27	42	42	42
1707262142	44	27	42	42	42
1707262337	44	27	42	42	42
1707270001	44	27	42	42	42
1707270737	44	27	42	42	42
1707270816	44	27	42	42	42
1707270840	44	27	42	42	42
1707270903	44	27	42	42	42
1707271009	44	27	42	42	42
1707271027	44	27	42	42	42
1707271053	44	27	42	42	42
1707271136	44	27	42	42	42
1707271218	44	27	42	42	42
1707271250	44	27	42	42	42
1707271309	44	27	42	42	42
1707271338	44	27	42	42	42
1707271422	44	27	42	42	42
1707271448	44	27	42	42	42
1707271510	44	27	42	42	42
1707271544	44	27	42	42	42
1707271643	44	27	42	42	42
1707271704	44	26	41	41	41
1707271720	44	26	41	41	41
1707271802	44	26	41	41	41
1707272002	44	26	41	41	41
1707272150	44	26	41	41	41
1707272237	44	26	41	41	41
1707281100	44	26	41	41	41
1707281233	44	26	41	41	41
1707281457	43	26	40	40	40
1707281621	43	26	40	40	40
1707281911	43	26	40	40	40
