date	BCOM4001_27498	BCOM4004_27501	BCOM4005_26313	BCOM4006_27503	BCOM4105_27504	BCOM4980_16639	BCOM4990_18445	BCOM4991_18446
1707240824	25	25	5	25	25	10	20	15
1707240905	25	25	5	25	25	10	20	15
1707240930	25	25	5	25	25	10	20	15
1707240941	25	25	5	25	25	10	20	15
1707241000	25	25	5	25	25	10	20	15
1707241012	25	25	5	25	25	10	20	15
1707241023	25	25	5	25	25	10	20	15
1707241039	24	25	5	25	25	10	20	15
1707241047	21	25	5	24	25	10	20	15
1707241055	21	25	5	24	25	10	20	15
1707241129	19	24	5	22	25	10	20	15
1707241147	17	24	5	22	24	10	20	15
1707241221	14	21	5	21	24	10	20	15
1707241307	14	21	5	21	24	10	20	15
1707241415	14	21	5	20	24	10	20	14
1707241512	13	21	5	17	23	10	20	14
1707241556	13	21	5	16	23	10	20	14
1707241623	13	21	5	15	23	10	20	13
1707241717	12	21	5	14	23	10	20	13
1707241814	11	21	5	14	23	10	20	13
1707241848	11	21	5	14	23	10	20	13
1707242034	11	21	5	14	23	10	20	13
1707242132	10	20	5	13	23	10	20	13
1707242210	10	20	5	13	23	10	20	13
1707242307	9	19	5	12	23	10	20	13
1707242329	9	19	5	12	23	10	20	13
1707242343	9	19	5	12	23	10	20	13
1707250748	9	19	5	12	23	10	20	13
1707251027	9	19	4	11	23	9	20	13
1707251309	6	19	4	11	23	9	20	13
1707251351	6	19	4	11	23	9	20	13
1707251441	5	19	4	11	23	9	20	13
1707251521	5	19	4	11	23	9	20	13
1707251605	5	19	4	11	23	9	20	13
1707251658	5	19	4	11	23	9	20	13
1707251727	5	19	4	11	23	9	20	13
1707251900	6	19	4	11	23	9	20	13
1707251927	6	19	4	11	23	9	20	13
1707252025	6	19	4	11	23	9	20	13
1707252100	6	19	4	11	23	9	20	13
1707252124	6	18	4	11	23	9	20	13
1707252143	6	18	4	11	23	9	20	13
1707252259	6	18	4	11	23	9	20	13
1707252332	6	18	4	11	23	9	20	13
1707260820	6	18	4	11	23	9	20	13
1707261009	6	18	4	11	23	9	20	12
1707261047	6	18	4	11	23	9	20	12
1707261116	6	18	4	11	23	9	20	12
1707261144	6	18	4	11	23	9	20	12
1707261213	6	18	4	11	23	9	20	12
1707261257	6	18	4	11	22	9	20	12
1707261315	6	18	4	10	21	9	20	12
1707261354	6	16	4	9	21	9	20	12
1707261538	6	16	4	8	21	9	20	12
1707261603	6	16	4	8	21	9	20	12
1707261646	6	16	4	8	21	9	20	12
1707261709	6	16	4	8	21	9	20	12
1707261733	6	16	4	8	21	9	20	12
1707261807	6	16	4	8	21	9	20	12
1707261822	6	16	4	8	21	9	20	12
1707261842	6	16	4	8	21	9	20	12
1707261903	6	16	4	8	21	9	20	12
1707261944	6	16	4	8	21	9	20	12
1707262004	6	16	4	8	21	9	20	12
1707262107	6	16	4	8	21	9	20	12
1707262125	6	16	4	8	21	9	20	12
1707262142	6	16	4	8	21	9	20	12
1707262337	6	16	4	8	21	9	20	12
1707270001	6	16	4	8	21	9	20	12
1707270737	6	16	4	8	21	9	20	12
1707270816	6	16	4	8	21	9	20	12
1707270840	6	16	4	8	21	9	20	12
1707270903	6	16	4	8	21	9	20	12
1707271009	6	16	4	8	21	9	20	12
1707271027	6	16	4	8	21	9	20	12
1707271053	6	15	4	8	21	9	20	12
1707271136	6	15	4	8	21	9	20	12
1707271218	6	15	4	8	21	9	20	12
1707271250	6	15	4	8	21	9	20	12
1707271309	6	15	4	8	21	9	20	12
1707271338	7	15	4	8	21	9	20	12
1707271422	6	15	4	8	21	9	20	11
1707271448	6	15	4	8	21	9	20	11
1707271510	6	15	4	7	22	9	20	11
1707271544	5	15	4	7	22	9	20	11
1707271643	5	15	4	7	22	9	20	11
1707271704	5	15	4	7	22	9	20	11
1707271720	5	15	4	7	22	9	20	11
1707271802	5	15	4	7	22	9	20	11
1707272002	5	15	4	7	22	9	20	11
1707272150	5	15	4	7	22	9	20	11
1707272237	5	15	4	7	22	9	20	11
1707281100	6	15	4	7	22	9	20	11
1707281233	6	15	4	7	22	9	20	11
1707281457	6	15	4	7	22	9	20	11
1707281621	6	15	4	7	22	9	20	11
1707281911	6	15	4	7	22	9	20	11
