date	BIOL0000_20371	BIOL1300_13204	BIOL1300_19081	BIOL1300C_12596	BIOL1300C_12597	BIOL1300C_13209	BIOL1301_10159	BIOL1301_10415	BIOL1301_10516	BIOL1301_10732	BIOL1301_11060	BIOL1301_11937	BIOL1301_14784	BIOL1303_13559	BIOL1312_10416	BIOL1313_10417	BIOL1313_11283	BIOL1313_11936	BIOL1313_13003	BIOL1324A_13561	BIOL1325B_22825	BIOL1326A_12241	BIOL1327_11297	BIOL1327_11367	BIOL1327_11368	BIOL1327_11369	BIOL1327_11370	BIOL1327_13007	BIOL1327_13694	BIOL1327C_12457	BIOL1327C_12600	BIOL1327C_12601	BIOL1327C_12602	BIOL1327C_12604	BIOL1327C_12605	BIOL1327C_12606	BIOL1327C_12607	BIOL1327C_13308	BIOL1328B_28200	BIOL2202_27524	BIOL2203_27525	BIOL2203_27526	BIOL2203_27527	BIOL2203_27528	BIOL2302_12080	BIOL2303_13334	BIOL2303_27530	BIOL2304_27532	BIOL2305_27534	BIOL2305_27537	BIOL2305_27539	BIOL2308_10163	BIOL2309_10165	BIOL2309_27547	BIOL3300_27544	BIOL3301_27545	BIOL3301_27546	BIOL3304_27548	BIOL3305_27549	BIOL3305_27551	BIOL3305_27552	BIOL3308_27553	BIOL3309_27555	BIOL3309_27556	BIOL3310_27557	BIOL3311_27558	BIOL3312_28570	BIOL3313_28543	BIOL3326_28061	BIOL3327_28062	BIOL3330_27564	BIOL3339_27565	BIOL3340_27568	BIOL3341_27569	BIOL3341_27571	BIOL3906_11190	BIOL3907_12244	BIOL3911_11525	BIOL3912_11526	BIOL3991_11527	BIOL3992_28655	BIOL3995_13692
1707240824	38	100	70	60	60	60	29	24	24	24	32	24	24	10	98	22	24	24	24	54	74	46	80	74	73	67	80	79	80	50	49	54	46	54	54	55	52	64	77	100	32	32	32	24	70	32	24	80	28	28	24	50	25	25	60	32	24	75	24	25	25	40	24	0	30	30	20	24	30	30	20	20	20	10	10	20	20	20	50	20	0	0
1707240905	36	92	69	56	58	57	29	24	22	21	32	22	23	10	87	13	23	23	24	53	74	45	79	72	63	66	76	78	80	48	45	52	46	54	48	55	48	63	77	100	32	32	32	24	70	32	24	80	28	28	24	50	25	25	60	32	24	75	24	25	25	40	24	0	30	30	20	24	30	30	20	20	20	10	10	20	20	20	50	20	0	0
1707240930	34	85	69	54	56	54	27	23	22	19	32	21	22	10	81	9	22	22	24	53	74	43	79	68	51	62	72	78	80	47	42	49	45	52	38	55	44	63	77	100	32	32	32	24	70	32	24	80	28	28	24	50	25	25	60	32	24	75	24	25	25	40	24	0	30	30	20	24	30	30	20	20	20	10	10	20	20	20	50	20	0	0
1707240941	30	79	69	51	56	51	27	22	21	19	30	20	22	10	75	4	21	22	24	51	72	42	79	64	45	59	71	78	80	45	39	49	45	51	30	55	43	63	77	100	32	32	32	24	70	32	24	80	28	28	24	50	25	25	60	32	24	75	24	25	25	40	24	0	30	30	20	24	30	30	20	20	20	10	10	20	20	20	50	20	0	0
1707241000	29	78	69	51	56	50	26	22	21	19	30	20	22	10	74	3	21	22	24	50	72	42	79	65	44	59	69	78	80	45	38	50	45	51	31	55	41	63	77	100	32	32	32	24	70	32	24	80	28	28	24	50	25	25	60	32	24	75	24	25	25	40	24	0	30	30	20	24	30	30	20	20	20	10	10	20	20	20	50	20	0	0
1707241012	26	75	69	52	54	48	26	22	21	18	28	20	22	10	70	0	20	22	24	47	72	42	78	63	42	57	65	78	80	45	34	49	43	51	27	55	41	63	77	100	32	32	32	24	70	32	24	80	28	28	24	50	25	25	60	32	24	75	24	25	25	40	24	0	30	30	20	24	30	30	20	20	20	10	10	20	20	20	50	20	0	0
1707241023	23	70	69	49	54	46	24	21	21	18	27	20	21	10	67	0	17	22	24	45	72	41	77	61	44	55	64	78	80	45	34	47	43	51	26	55	40	63	77	100	32	32	32	24	70	32	24	80	28	28	24	50	25	25	60	32	24	75	24	25	25	40	24	0	30	30	20	24	30	30	20	20	20	10	10	20	20	20	49	20	0	0
1707241039	23	69	68	49	54	44	24	21	21	18	27	19	21	9	64	0	16	20	24	45	71	40	76	55	43	54	63	78	79	45	30	47	42	50	23	55	38	63	77	100	32	32	32	24	70	32	24	80	28	28	24	50	25	25	60	32	24	75	24	25	25	40	24	0	30	30	20	24	30	30	20	20	20	10	10	20	20	20	49	20	0	0
1707241047	23	69	68	49	54	44	24	21	21	18	27	19	21	9	63	0	15	20	24	46	71	40	77	54	43	53	63	78	79	44	30	47	42	50	23	55	38	63	77	100	32	32	32	24	70	32	24	80	28	28	24	50	25	25	60	32	24	75	24	25	25	40	24	0	30	30	20	24	30	30	20	20	20	10	10	20	20	20	49	20	0	0
1707241055	23	70	68	50	54	44	24	21	21	18	27	20	21	9	62	0	14	20	24	46	71	41	77	54	43	52	63	78	79	44	30	47	42	50	23	54	38	63	77	100	32	32	32	24	70	32	24	80	28	28	24	50	25	25	60	32	24	75	24	25	25	40	24	0	30	30	20	24	30	30	20	20	20	10	10	20	20	20	49	20	0	0
1707241129	22	68	68	49	53	44	24	21	21	18	27	18	21	9	61	0	14	20	23	46	71	41	77	54	41	51	61	78	78	41	30	47	40	50	22	54	38	63	77	100	32	32	32	24	70	32	24	80	28	28	24	50	25	25	60	32	24	75	24	25	25	40	24	0	30	30	20	24	30	30	20	20	20	10	10	20	20	20	49	20	0	0
1707241147	22	68	68	49	53	44	24	21	21	18	27	18	21	9	61	0	14	20	23	46	71	41	77	54	41	49	60	78	78	39	30	47	40	50	21	54	38	63	77	100	32	32	32	24	70	32	24	80	28	28	24	50	25	25	60	32	24	75	24	25	25	40	24	0	30	30	20	24	30	30	20	20	20	10	10	20	20	20	49	20	0	0
1707241221	22	67	68	48	53	44	23	21	21	18	27	18	21	9	61	0	14	20	23	46	71	41	76	53	41	49	60	78	78	39	30	47	40	50	19	54	38	63	77	100	32	32	32	24	70	32	24	80	28	28	24	50	25	25	60	32	24	75	24	25	25	40	24	0	30	30	20	24	30	30	20	20	20	10	10	20	20	20	49	20	0	0
1707241307	22	67	68	48	53	44	23	21	21	18	27	18	21	9	61	0	14	20	23	45	71	41	76	53	41	50	59	78	78	39	30	47	40	50	19	54	38	63	77	100	32	32	32	24	70	32	24	80	28	28	24	50	25	25	60	32	24	75	24	25	25	40	24	0	30	30	20	24	30	30	20	20	20	10	10	20	20	20	49	20	0	0
