date	CBIO4105_27593	CBIO4106_28203	CBIO4201_27594	CBIO4201C_27595	CBIO4201C_27596	CBIO4300_28204	CBIO4306_27599	CBIO4308_27601	CBIO4310_27603	CBIO4318_27605	CBIO4325_28209	CBIO4326_27609	CBIO4503_27612	CBIO4521_27613	CBIO4523_13103	CBIO4525_27614	CBIO4527_27616	CBIO4528_27617	CBIO4600_13257	CBIO4800_28210	CBIO4800_28692	CBIO4804_12510	CBIO4805_12511	CBIO4806_27621	CBIO4807_27623	CBIO4808_27625	CBIO4809_27627	CBIO4810_27629	CBIO4811_27632	CBIO4812_27633	CBIO4813_27636	CBIO4902_12512	CBIO4912_12513	CBIO4913_12514	CBIO4918_27638	CBIO6802_15235	CBIO6802_16564	CBIO6802_16569	CBIO6802_16574	CBIO6802_23613	CBIO6803_15168	CBIO6803_21215	CBIO6803_21216	CBIO6903_12520	CBIO6914_11065	CBIO6924_15270	CBIO6925_15271	CBIO6970_12003	CBIO6971_12188	CBIO6980_12004	CBIO6981_12005	CBIO6982_12006	CBIO6983_12007	CBIO6984_26356	CBIO6985_12009	CBIO6986_17097	CBIO6987_22930	CBIO6988_27640	CBIO6990_12010	CBIO6991_28656	CBIO6997_27642
1707240824	10	10	50	25	25	10	15	10	10	10	10	10	10	10	30	10	10	20	120	10	0	100	20	10	10	10	10	10	10	10	10	40	30	30	2	5	5	5	5	2	5	5	5	10	10	5	5	10	10	10	10	10	10	3	5	10	5	3	20	0	2
1707240905	10	10	50	25	25	10	15	10	10	10	10	10	10	10	30	10	10	20	120	10	0	100	20	10	10	10	10	10	10	10	10	40	30	30	2	5	5	5	5	2	5	5	5	10	10	5	5	10	10	10	10	10	10	3	5	10	5	3	20	0	2
1707240930	10	10	50	25	25	10	15	10	10	10	10	10	10	10	30	10	10	20	120	10	0	100	20	10	10	10	10	10	10	10	10	40	30	30	2	5	5	5	5	2	5	5	5	10	10	5	5	10	10	10	10	10	10	3	5	10	5	3	20	0	2
1707240941	10	10	50	25	25	10	15	10	10	10	10	10	10	10	30	10	10	20	120	10	0	100	20	10	10	10	10	10	10	10	10	40	30	30	2	5	5	5	5	2	5	5	5	10	10	5	5	10	10	10	10	10	10	3	5	10	5	3	20	0	2
1707241000	10	10	50	25	25	10	15	10	10	10	10	10	10	10	30	10	10	20	120	10	0	100	20	10	10	10	10	10	10	10	10	40	30	30	2	5	5	5	5	2	5	5	5	10	10	5	5	10	10	10	10	10	10	3	5	10	5	3	20	0	2
1707241012	10	10	50	25	25	10	15	10	10	10	10	10	10	10	30	10	10	20	120	10	0	100	20	10	10	10	10	10	10	10	10	40	30	30	2	5	5	5	5	2	5	5	5	10	10	5	5	10	10	10	10	10	10	3	5	10	5	3	20	0	2
1707241023	10	10	50	25	25	10	15	10	10	10	10	10	10	10	30	10	10	20	120	10	0	100	20	10	10	10	10	10	10	10	10	40	30	30	2	5	5	5	5	2	5	5	5	10	10	5	5	10	10	10	10	10	10	3	5	10	5	3	20	0	2
1707241039	10	10	49	24	25	10	15	10	10	10	10	10	10	10	30	10	10	20	120	10	0	100	20	10	10	10	10	10	10	10	10	40	30	30	2	5	5	5	5	2	5	5	5	10	10	5	5	10	10	10	10	10	10	3	5	10	5	3	20	0	2
1707241047	9	10	44	21	23	10	14	10	10	10	10	10	10	10	30	9	10	20	116	10	0	98	20	10	10	10	10	9	10	10	10	39	30	30	2	5	5	5	5	2	5	5	5	10	10	5	5	10	10	10	10	10	10	3	5	10	5	3	20	0	2
1707241055	9	10	44	21	23	10	14	10	10	10	10	10	10	10	30	9	10	20	116	10	0	98	20	10	10	10	10	9	10	10	10	39	30	30	2	5	5	5	5	2	5	5	5	10	10	5	5	10	10	10	10	10	10	3	5	10	5	3	20	0	2
1707241129	9	10	40	22	18	9	13	9	10	10	10	9	9	10	30	9	10	20	111	9	0	93	20	10	10	10	10	8	10	10	10	39	30	30	2	5	5	5	5	2	5	5	5	10	10	5	5	9	10	10	10	10	10	3	5	10	5	3	20	0	2
1707241147	7	10	29	14	15	8	13	8	10	10	10	8	9	10	29	9	10	20	109	9	0	92	19	10	9	10	10	8	9	10	10	34	29	29	2	5	5	5	5	2	5	5	5	10	10	5	5	9	10	10	10	10	10	3	5	10	5	3	20	0	2
1707241221	7	10	27	12	15	8	13	7	10	10	10	8	9	9	29	9	10	20	109	8	0	91	18	8	9	10	10	8	9	10	10	32	28	27	2	5	5	5	5	2	5	5	5	10	10	5	5	9	10	10	10	10	10	3	5	10	5	3	20	0	2
1707241307	7	10	24	11	13	8	13	7	10	10	10	8	9	9	29	9	10	19	108	8	0	89	18	8	9	10	10	8	9	10	10	32	27	26	2	5	5	5	5	2	5	5	5	10	10	5	5	9	10	10	10	10	10	3	5	10	5	3	20	0	2
