date	CIDE3140A_13282	CIDE3150B_26359	CIDE3151B_26360	CIDE3152B_26361	CIDE3153B_26362	CIDE3154A_23841	CIDE3160B_26363	CIDE3992_26364	CIDE4107_26365	CIDE4110_12350	CIDE4114_12347	CIDE4119_26366	CIDE4128_23845	CIDE4132_14211	CIDE4133_13827	CIDE4134_13828	CIDE4135_13829	CIDE4136_23846	CIDE4139_26367	CIDE4140_13830	CIDE4148_15420	CIDE4150_26368	CIDE4151_17523	CIDE4152_16079	CIDE4152_25935	CIDE4157_26369	CIDE4158_26370	CIDE4159_23635	CIDE4162_26371	CIDE4167_26372	CIDE4169_23117	CIDE4171_23654	CIDE4171_25961	CIDE4172_23852	CIDE4178_26373	CIDE4179_23859	CIDE4180_23860	CIDE4182_26374	CIDE4183_26375	CIDE4184_26376	CIDE4185_26377	CIDE4188_26378	CIDE4189_28572	CIDE5100_26379	CIDE5106_26380	CIDE5114_26381	CIDE5317_26384	CIDE5318_26385	CIDE5406_26386	CIDE5411_26387	CIDE6980_28571
1707240824	48	77	72	72	59	51	72	1	0	30	20	2	0	3	8	3	30	45	40	43	40	0	30	10	10	0	0	0	0	45	40	22	22	10	40	40	28	40	40	0	30	0	35	50	50	50	50	50	50	50	0
1707240905	47	77	71	72	59	50	72	1	0	30	20	2	0	3	8	3	30	45	40	43	40	0	30	10	10	0	0	0	0	45	40	22	22	10	40	40	28	40	40	0	30	0	35	30	50	50	50	50	50	50	0
1707240930	46	76	71	72	59	50	72	1	0	30	20	2	0	3	8	3	30	45	40	43	40	0	30	10	10	0	0	0	0	45	40	22	22	10	40	40	28	40	40	0	30	0	35	30	50	50	50	50	50	50	0
1707240941	45	76	71	72	59	49	72	1	0	30	20	2	0	3	8	3	30	45	40	43	40	0	30	10	10	0	0	0	0	45	40	22	22	10	40	40	28	40	40	0	30	0	35	30	50	50	50	50	50	50	0
1707241000	45	76	71	72	59	49	72	1	0	30	20	2	0	3	8	3	30	45	40	43	40	0	30	10	10	0	0	0	0	45	40	22	22	10	40	40	28	40	40	0	30	0	35	30	50	50	50	50	50	50	0
1707241012	45	76	71	72	59	49	72	1	0	30	20	2	0	3	8	3	30	45	40	43	40	0	30	10	10	0	0	0	0	45	40	22	22	10	40	40	28	40	40	0	30	0	35	30	50	50	50	50	50	50	0
1707241023	45	76	71	72	59	49	72	1	0	30	20	2	0	3	8	3	30	45	40	43	40	0	30	10	10	0	0	0	0	45	40	22	22	10	40	40	28	40	40	0	30	0	35	30	35	35	35	35	35	35	0
1707241039	45	76	71	72	59	49	72	1	0	30	20	2	0	3	8	3	30	45	40	43	40	0	30	10	10	0	0	0	0	45	40	22	22	10	40	40	28	40	40	0	30	0	35	30	35	35	35	35	35	35	0
1707241047	45	76	71	72	59	49	72	1	0	30	20	2	0	3	8	3	30	45	38	42	40	0	30	10	10	0	0	0	0	42	37	20	21	10	40	40	27	40	40	0	30	0	35	28	32	32	32	32	31	31	0
1707241055	45	76	71	72	59	49	72	1	0	30	20	2	0	3	8	3	30	45	38	42	40	0	30	10	10	0	0	0	0	41	36	19	21	10	40	39	27	40	40	0	30	0	35	26	32	32	32	32	31	31	0
1707241129	45	76	71	72	59	49	72	1	0	30	20	2	0	3	8	3	29	45	33	37	36	0	30	10	10	0	0	0	0	33	31	13	19	10	40	34	27	40	39	0	30	0	35	23	29	28	28	28	28	24	0
1707241147	45	76	71	72	59	49	72	1	0	29	19	2	0	3	6	3	27	41	33	36	36	0	29	9	10	0	0	0	0	30	29	13	18	10	40	34	26	40	39	0	30	0	35	21	26	22	25	25	25	20	0
1707241221	45	76	71	72	59	49	72	1	0	29	19	2	0	3	5	3	26	40	33	36	36	0	29	8	10	0	0	0	0	26	28	12	17	10	40	33	26	39	37	0	30	0	34	20	25	20	25	25	26	19	0
1707241307	45	76	71	72	59	49	72	1	0	28	19	2	0	3	5	3	25	40	33	36	36	0	29	8	10	0	0	0	0	26	28	12	16	10	40	33	26	39	36	0	29	0	34	20	25	20	25	25	26	19	0
1707241415	45	76	71	72	59	49	72	1	0	28	19	2	0	3	4	3	21	36	32	36	36	0	29	7	10	0	0	0	0	24	28	11	16	10	40	32	25	39	35	0	29	0	33	20	24	16	24	24	25	15	0
1707241512	44	75	70	72	59	49	71	1	0	26	19	2	0	3	3	3	21	34	28	34	35	0	28	4	9	0	0	0	0	16	26	11	15	10	40	31	23	34	28	0	27	0	33	20	14	2	19	19	25	13	0
1707241556	44	75	69	72	59	48	71	1	0	27	19	2	0	3	2	3	21	34	28	32	34	0	28	2	10	0	0	0	0	16	24	10	15	10	38	31	22	34	27	0	26	0	33	18	14	0	18	18	24	11	0
1707241623	43	75	69	72	59	48	70	1	0	27	19	2	0	3	2	3	18	33	27	32	34	0	28	2	10	0	0	0	0	16	24	10	15	10	38	31	22	34	27	0	26	0	33	17	13	0	18	18	23	10	0
1707241717	42	75	66	72	59	47	70	1	0	27	19	2	0	3	2	3	15	30	26	31	34	0	28	2	10	0	0	0	0	13	23	9	14	10	38	30	22	34	25	0	25	0	33	17	13	-1	18	18	23	9	0
1707241814	42	75	66	72	59	47	70	1	0	27	19	2	0	3	1	3	15	24	25	29	34	0	28	2	10	0	0	0	0	13	23	9	14	10	33	28	19	34	24	0	25	0	33	16	12	-1	17	17	22	6	0
1707241848	42	75	66	72	59	47	70	1	0	27	19	2	0	3	1	3	15	23	25	29	34	0	28	1	10	0	0	0	0	13	23	9	14	10	33	28	19	34	24	0	25	0	33	16	12	-1	17	17	22	6	0
1707242034	42	75	66	72	59	47	70	1	0	27	19	2	0	3	1	3	15	23	24	29	34	0	28	1	10	0	0	0	0	13	23	9	14	10	33	28	19	34	24	0	25	0	32	16	11	-1	16	16	22	6	0
1707242132	42	75	66	72	59	47	70	1	0	27	19	2	0	3	1	3	15	22	23	28	34	0	28	1	10	0	0	0	0	12	22	9	12	10	33	28	19	34	24	0	25	0	32	16	10	-1	16	16	22	6	0
1707242210	42	75	66	72	59	47	70	1	0	27	19	2	0	3	1	3	15	22	22	29	33	0	28	1	10	0	0	0	0	12	22	9	12	10	33	28	17	34	24	0	25	0	32	16	10	-1	16	15	22	6	0
1707242307	42	75	66	72	59	47	70	1	0	27	19	2	0	3	1	3	15	22	22	29	33	0	28	1	10	0	0	0	0	11	22	8	12	10	33	28	16	34	24	0	24	0	32	15	10	-1	14	13	21	4	0
1707242329	42	75	66	72	59	47	70	1	0	27	19	2	0	3	1	3	15	22	22	29	33	0	28	1	10	0	0	0	0	11	22	8	12	10	33	28	16	34	24	0	24	0	32	15	10	-1	14	13	21	4	0
1707242343	42	75	66	72	59	47	70	1	0	27	19	2	0	3	1	3	15	22	22	29	33	0	28	1	10	0	0	0	0	11	22	8	12	10	33	28	16	34	24	0	24	0	32	15	10	-1	14	13	21	4	0
1707250748	42	75	66	72	59	47	70	1	0	27	19	2	0	3	1	3	15	22	22	29	33	0	28	1	10	0	0	0	0	11	22	8	12	10	33	28	16	34	24	0	24	0	32	14	10	-1	14	13	20	3	0
1707251027	61	75	62	70	58	72	65	0	0	28	19	2	0	3	1	3	15	21	22	29	33	0	26	1	10	0	0	0	0	11	22	8	12	10	33	27	16	34	24	0	24	0	31	14	10	-5	14	13	20	0	0
1707251309	55	74	59	70	58	72	63	0	0	28	19	2	0	3	1	3	15	20	22	28	33	0	26	1	10	0	0	0	0	7	22	8	12	9	33	27	16	33	23	0	24	0	30	14	10	-5	13	12	20	0	0
1707251351	55	74	58	70	58	72	63	0	0	28	19	2	0	3	1	3	15	20	22	29	33	0	26	1	10	0	0	0	0	6	22	7	12	9	33	26	16	33	23	0	24	0	30	14	9	-5	13	12	20	0	0
1707251441	53	73	58	70	57	72	62	0	0	28	19	2	0	3	1	3	15	20	21	28	33	0	26	1	10	0	0	0	0	6	22	7	12	9	33	27	16	32	22	0	24	0	30	13	9	-5	13	12	19	0	0
1707251521	51	72	58	70	57	72	62	0	0	27	19	2	0	3	1	3	15	20	21	28	33	0	26	1	10	0	0	0	0	6	23	7	12	9	33	26	16	32	21	0	23	0	30	13	9	-5	13	12	19	0	0
1707251605	50	71	58	69	57	72	62	0	0	27	19	2	0	3	1	3	15	20	21	28	33	0	26	1	10	0	0	0	0	6	23	7	12	9	33	26	16	32	21	0	23	0	30	13	9	-5	13	12	19	0	0
1707251658	46	70	55	69	56	72	61	0	0	27	19	2	0	3	1	3	15	20	21	28	33	0	26	1	10	0	0	0	0	6	23	7	12	9	33	26	16	32	21	0	23	0	30	13	9	-6	13	12	19	0	0
1707251727	46	69	55	69	55	72	61	0	0	27	19	2	0	3	1	3	15	16	22	28	32	0	26	1	10	0	0	0	0	6	23	7	12	9	33	25	15	32	21	0	23	0	30	13	9	-6	13	12	19	0	0
1707251900	47	69	55	69	55	72	62	0	0	27	19	2	0	3	1	3	15	17	22	28	32	0	26	1	10	0	0	0	0	5	22	6	12	9	33	24	15	32	21	0	23	0	30	13	8	22	13	12	19	0	0
1707251927	47	69	55	69	55	72	62	0	0	27	19	2	0	3	1	3	15	17	22	28	32	0	26	0	10	0	0	0	0	6	22	6	12	9	33	25	15	32	21	0	23	0	30	13	8	22	13	12	19	0	0
1707252025	47	69	55	69	55	72	62	0	0	27	19	2	0	3	1	3	14	17	22	28	32	0	26	0	10	0	0	0	0	6	22	6	12	9	33	25	16	32	21	0	23	0	30	13	8	21	13	12	19	0	0
1707252100	47	69	55	69	55	72	62	0	0	27	19	2	0	3	1	3	14	16	22	28	32	0	26	0	10	0	0	0	0	6	22	6	12	9	32	25	16	32	20	0	23	0	30	13	8	20	12	12	18	0	0
1707252124	47	69	55	69	55	72	62	0	0	27	19	2	0	3	1	3	14	16	22	28	32	0	26	0	10	0	0	0	0	6	22	6	12	9	32	25	15	32	20	0	23	0	30	12	8	20	12	12	18	-3	0
1707252143	47	69	55	69	55	72	62	0	0	27	18	2	0	3	1	3	14	6	22	28	32	0	26	0	10	0	0	0	0	6	22	6	12	9	30	25	14	32	20	0	23	0	30	12	8	20	12	12	18	-3	0
1707252259	46	69	55	69	55	72	62	0	0	27	18	2	0	3	1	3	13	6	22	29	32	0	26	0	9	0	0	0	0	4	22	6	12	9	30	25	13	32	19	0	22	0	30	12	7	18	11	11	16	-3	0
1707252332	46	69	55	69	55	72	62	0	0	27	18	2	0	3	1	3	13	6	22	29	32	0	26	0	9	0	0	0	0	4	22	6	12	9	30	25	13	32	19	0	22	0	30	12	7	18	11	11	16	-3	0
1707260820	48	68	55	69	55	80	61	0	0	27	18	2	0	3	1	3	13	6	22	29	32	0	26	0	8	0	0	0	0	3	21	6	12	9	30	25	12	32	19	0	22	0	30	12	7	5	11	11	16	-3	0
1707261009	41	66	54	66	51	76	59	0	0	26	18	2	0	3	1	3	13	5	22	29	32	0	26	0	8	0	0	0	0	3	21	6	12	9	30	25	12	32	19	0	22	0	30	12	7	5	11	11	17	-3	0
1707261047	38	64	54	67	51	75	54	0	0	26	18	2	0	3	1	3	13	5	22	30	32	0	26	0	7	0	0	0	0	3	21	6	12	9	30	25	12	32	19	0	22	0	30	12	7	5	11	11	17	-3	0
1707261116	37	59	54	67	51	75	53	0	0	26	18	2	0	3	1	3	13	5	22	30	32	0	26	0	7	0	0	0	0	3	21	6	12	9	30	25	12	32	19	0	22	0	30	12	7	4	11	11	17	-3	0
1707261144	33	57	54	67	50	74	54	0	0	26	18	2	0	3	1	3	13	5	22	30	32	0	26	0	7	0	0	0	0	2	21	6	12	9	30	25	12	32	19	0	22	0	30	12	7	4	11	11	17	-3	0
1707261213	31	56	53	66	50	74	54	0	0	26	18	2	0	3	1	3	13	5	22	30	32	0	26	0	7	0	0	0	0	2	21	6	12	9	30	25	13	32	19	0	22	0	30	12	7	3	11	11	17	-3	0
1707261257	31	55	52	66	50	74	55	0	0	26	18	2	0	3	1	3	13	5	22	30	32	0	26	0	7	0	0	0	0	2	21	6	12	9	30	24	13	32	19	0	22	0	30	12	7	4	11	11	17	-4	0
1707261315	31	55	52	66	50	74	55	0	0	26	18	2	0	3	1	3	13	5	22	30	32	0	26	0	7	0	0	0	0	2	21	6	12	9	30	24	13	32	19	0	22	0	30	12	7	4	11	11	17	-4	0
1707261354	31	54	52	66	50	74	55	0	0	26	18	2	0	3	1	3	13	5	22	30	32	0	26	0	7	0	0	0	0	2	21	6	12	9	30	24	13	32	19	0	22	0	30	12	7	4	11	11	17	-4	0
1707261538	12	43	51	61	48	68	47	0	0	26	18	2	0	3	1	3	13	5	22	31	32	0	26	0	6	0	0	0	0	0	21	6	12	9	30	21	12	32	19	0	22	0	30	12	7	5	10	10	17	-4	0
1707261603	7	41	51	61	47	67	45	0	0	26	18	2	0	3	1	3	13	5	22	31	32	0	26	0	6	0	0	0	0	1	21	6	12	9	30	21	12	32	19	0	22	0	30	12	7	5	10	10	17	-4	0
1707261646	0	37	51	59	46	65	39	0	0	26	18	2	0	3	1	3	13	5	22	31	32	0	26	0	6	0	0	0	0	0	21	6	12	9	30	21	12	32	19	0	22	0	30	12	6	2	10	10	17	-4	0
1707261709	0	34	51	59	46	65	37	0	0	26	18	2	0	3	1	3	13	5	22	31	32	0	25	0	6	0	0	0	0	0	21	6	12	9	30	21	12	32	19	0	22	0	30	12	6	1	10	10	17	-4	0
