date	CISO1200B_13562	CISO1200B_14039	CISO1200B_25005	CISO1500B_13158	CISO1500B_13159	CISO2000_19766	CISO2000_20390	CISO2000_21161	CISO2102_20836	CISO2103_26388	CISO2108_26389	CISO2109_23872	CISO2110_23873	CISO2200_26390	CISO2200_28304	CISO4006_25354	CISO4010_23881	CISO4014_25345	CISO4019_25346	CISO4025_23896	CISO4029_26391	CISO4030_26392	CISO4031_26393	CISO4032_26394	CISO4033_26395	CISO4034_26396	CISO4035_26397	CISO4036_26398	CISO4037_26399	CISO4038_26400	CISO4039_26401	CISO4040_26402	CISO4506_25131	CISO4605_26405	CISO4615_26406	CISO4616_26407	CISO4618_26409	CISO4619_26410	CISO4620_26411	CISO4621_26412	CISO4623_26414	CISO4624_26415	CISO4625_26416	CISO4626_26417	CISO4627_26418	CISO4628_26419	CISO4629_26420	CISO4631_26421	CISO4632_26422	CISO4633_26423	CISO4634_28564	CISO4635_28542	CISO4636_28633	CISO4890_28537	CISO6001_26424	CISO6990_26425
1707240824	90	71	55	90	88	97	102	89	60	60	80	60	35	60	118	30	25	25	25	30	25	15	15	25	15	30	20	10	10	25	25	25	26	19	25	30	20	25	25	25	16	14	25	25	16	30	16	24	14	20	30	5	0	0	15	30
1707240905	81	67	54	78	77	89	87	85	60	60	80	60	34	35	118	30	25	25	25	30	25	15	15	25	15	30	20	10	10	25	25	25	26	19	25	30	20	25	25	25	16	14	25	25	16	30	16	24	14	20	30	5	0	0	15	30
1707240930	68	59	48	66	62	81	79	79	60	60	80	60	34	35	118	30	25	25	25	30	25	15	15	25	15	30	20	10	10	25	25	25	26	19	25	30	20	25	25	25	14	14	25	25	14	14	14	24	14	20	30	5	0	0	15	30
1707240941	60	54	47	56	52	77	71	76	60	60	80	60	34	35	118	30	25	25	25	30	25	15	15	25	15	30	20	10	10	25	25	25	26	19	25	30	20	25	25	25	14	14	25	25	14	13	14	24	14	20	30	5	0	0	15	30
1707241000	59	54	47	55	51	76	69	76	60	60	80	60	34	35	118	30	25	25	25	30	25	15	15	25	15	30	20	10	10	25	25	25	26	19	25	30	20	25	25	25	14	14	25	25	14	14	14	24	14	20	30	5	0	0	15	30
1707241012	53	47	44	45	42	72	60	73	60	60	80	60	34	35	118	30	25	25	25	30	25	15	15	25	15	30	20	10	10	25	25	25	26	19	25	30	20	25	25	25	14	14	25	25	14	14	14	24	14	20	30	5	0	0	15	30
1707241023	49	47	44	42	40	70	60	71	60	60	80	60	34	35	118	30	25	25	25	30	25	15	15	25	15	30	20	10	10	25	25	25	26	19	25	30	20	25	25	25	14	14	25	25	14	14	14	24	14	20	30	5	0	0	15	30
1707241039	48	47	43	41	37	69	56	71	60	60	80	60	34	35	118	30	25	25	25	30	25	15	15	24	15	30	20	10	10	25	25	25	26	19	25	30	20	25	25	25	14	14	25	25	14	13	13	24	14	20	30	5	0	0	15	30
1707241047	48	45	43	41	36	69	56	71	60	60	80	60	33	35	118	30	25	25	25	29	25	15	15	24	14	29	20	10	10	25	25	25	25	19	25	30	20	25	24	24	14	13	25	25	14	13	13	23	14	20	30	5	0	0	14	30
1707241055	48	45	43	40	37	68	56	71	60	60	80	60	33	35	118	30	25	24	25	29	25	15	15	24	14	29	20	10	10	25	25	24	25	19	25	30	20	25	24	24	14	13	25	25	14	13	13	23	13	20	30	5	0	0	14	30
