date	CONT1210_23304	CONT1211_21438	CONT1221_20926	CONT1311_20929	CONT1321_20927	CONT1411_17203	CONT1412_20975	CONT1412C_20957	CONT1412C_20962	CONT1412C_20963	CONT1412C_20964	CONT1413_20931	CONT1413_20932	CONT1413_20933	CONT1413_25449	CONT1413_27828	CONT1441_23914	CONT1461_23338	CONT2121_27825	CONT2121_27826	CONT2121_27827	CONT2212_27821	CONT2322_23915	CONT2413_23916	CONT2421_20930	CONT2462_23917
1707240824	19	65	24	65	65	60	125	34	29	28	34	62	65	36	65	54	65	40	1	1	1	19	48	40	65	40
1707240905	19	65	24	65	65	60	124	34	29	28	33	59	63	34	65	53	65	40	1	1	1	19	47	40	65	40
1707240930	13	65	24	65	65	54	122	34	28	28	32	58	62	32	65	52	65	40	1	1	1	19	47	40	65	40
1707240941	7	65	23	65	65	49	120	33	27	28	32	58	61	26	65	51	65	40	1	1	1	19	47	40	65	40
1707241000	6	65	24	65	64	47	120	33	27	28	32	58	61	26	65	50	65	39	1	1	1	19	47	40	64	40
1707241012	1	65	24	65	64	41	120	33	27	28	32	58	61	23	64	49	65	39	1	1	1	19	47	40	64	40
1707241023	1	65	24	65	64	41	120	33	27	28	32	58	61	23	64	48	65	39	1	1	1	19	47	40	64	40
1707241039	0	65	24	65	64	41	120	33	27	28	32	58	61	22	64	48	65	39	1	1	1	19	47	40	64	40
1707241047	0	65	24	65	64	41	120	33	27	28	32	58	61	22	64	48	65	39	1	1	1	19	47	40	64	40
1707241055	0	65	24	65	64	41	120	33	27	28	32	58	61	22	64	48	65	39	1	1	1	19	47	40	64	40
1707241129	0	65	24	65	64	41	120	33	27	28	32	58	61	22	64	48	65	39	1	1	1	19	47	40	64	40
1707241147	0	65	24	65	64	41	120	33	27	28	32	58	62	22	64	48	65	39	1	1	1	19	47	40	64	40
1707241221	0	65	24	65	64	41	120	33	27	28	32	58	62	22	64	48	65	39	1	1	1	19	47	40	64	40
1707241307	0	65	24	65	64	41	120	33	27	28	32	58	61	22	64	48	65	39	1	1	1	19	47	40	64	40
1707241415	0	65	24	65	64	40	120	33	27	28	32	58	61	22	64	48	65	39	1	1	1	19	47	40	64	40
1707241512	0	65	23	64	63	41	116	32	24	28	32	55	61	11	64	47	65	38	1	1	1	19	47	40	63	40
1707241556	0	65	23	64	63	41	116	32	24	28	32	53	60	10	64	47	65	38	1	1	1	19	47	40	63	40
1707241623	0	65	23	64	63	41	116	32	24	28	32	53	60	8	64	46	65	38	1	1	1	19	47	40	63	40
1707241717	0	64	23	64	63	40	116	33	24	28	31	52	57	8	64	44	65	36	1	1	1	19	47	40	62	40
1707241814	0	64	23	64	63	40	116	33	24	28	31	52	57	7	64	44	65	36	1	1	1	19	47	40	62	40
1707241848	0	64	23	64	63	40	116	33	24	28	31	52	57	7	64	44	65	36	0	1	1	18	47	40	62	40
1707242034	0	64	23	64	63	40	116	33	24	28	31	52	57	6	64	44	65	36	0	1	1	18	47	40	62	40
1707242132	0	64	23	64	63	40	116	33	24	28	31	52	57	7	64	44	65	36	0	1	1	18	47	40	62	40
1707242210	0	64	23	64	63	40	116	33	24	28	31	52	56	7	64	44	65	36	0	1	1	18	47	40	62	40
1707242307	0	64	23	64	63	40	116	33	24	28	31	53	56	7	64	44	65	36	0	1	1	18	47	40	62	40
1707242329	0	64	23	64	63	40	116	33	24	28	31	53	56	7	64	44	65	36	0	1	1	18	47	40	62	40
1707242343	0	64	23	64	63	40	116	33	24	28	31	53	56	7	64	44	65	36	0	1	1	18	47	40	62	40
1707250748	0	64	23	64	63	40	116	33	24	28	31	53	56	7	64	44	65	36	0	1	1	18	47	40	62	40
1707251027	0	64	23	64	63	40	114	32	24	28	30	50	51	0	63	37	64	36	0	1	1	18	46	39	62	38
1707251309	0	63	23	64	63	40	112	32	22	28	30	47	48	0	62	27	64	34	0	1	1	18	46	38	62	38
1707251351	0	63	23	64	63	40	112	32	22	28	30	47	48	0	62	27	64	34	0	1	1	18	46	38	62	38
