date	CPOL1000_11298	CPOL1003_14523	CPOL1100_10967	CPOL1201_26428	CPOL1300_10027	CPOL1400_10906	CPOL1500_10028	CPOL2126_26429	CPOL2129B_26430	CPOL2136_26431	CPOL2143_26432	CPOL2144_27840	CPOL2206_26434	CPOL2251_26435	CPOL2254_27926	CPOL2335_26438	CPOL2342_26439	CPOL2344_26440	CPOL2346_26441	CPOL2411B_26442	CPOL2419A_26443	CPOL2423_26444	CPOL2424_26445	CPOL2501_26446	CPOL2601_13787	CPOL2602_28066	CPOL3003_10029	CPOL3005_10830	CPOL3202_26447	CPOL3300_26448	CPOL3402_26449	CPOL3500_26450	CPOL3600_12968	CPOL3990_10205	CPOL3991_18905	CPOL3992_17158	CPOL3993_10831	CPOL3995_18900	CPOL4000_26451	CPOL4001_23932	CPOL4066_18902	CPOL4103_18897	CPOL4522_26452	CPOL6523_19077	CPOL6972_20182	CPOL6973_20183	CPOL6974_20180	CPOL6975_20184	CPOL6976_20185	CPOL6977_20186	CPOL6978_20187	CPOL6979_20188	CPOL6980_12822	CPOL6990_21463	CPOL6994_26453	CPOL6998_19051
1707240824	79	68	90	90	90	80	60	45	56	55	45	40	60	45	35	65	55	35	35	47	28	35	35	60	0	0	10	10	17	17	12	55	20	40	5	5	40	5	0	0	15	10	15	0	0	0	0	0	0	0	0	0	10	0	0	0
1707240905	74	65	90	90	89	80	60	45	55	55	45	40	59	45	35	65	55	35	35	47	27	34	35	60	0	0	10	10	17	17	12	55	20	40	5	5	40	5	0	0	15	10	15	0	0	0	0	0	0	0	0	0	10	0	0	0
1707240930	62	58	90	90	89	80	60	45	55	55	45	40	59	45	35	65	55	35	35	47	26	34	35	60	0	0	10	10	17	17	12	55	20	40	5	5	40	5	0	0	15	10	15	0	0	0	0	0	0	0	0	0	10	0	0	0
1707240941	55	55	90	90	88	79	60	45	54	55	45	40	59	45	35	65	55	35	35	47	26	34	35	60	0	0	10	10	17	17	12	55	20	40	5	5	40	5	0	0	15	10	15	0	0	0	0	0	0	0	0	0	10	0	0	0
1707241000	54	54	90	90	88	79	60	45	54	55	45	40	59	45	35	65	55	35	35	47	26	34	35	60	0	0	10	10	17	17	12	55	20	40	5	5	40	5	0	0	15	10	15	0	0	0	0	0	0	0	0	0	10	0	0	0
1707241012	49	52	90	88	88	79	60	45	54	55	45	40	59	45	35	65	55	35	35	47	26	34	35	60	0	0	10	10	17	17	12	55	20	40	5	5	40	5	0	0	15	10	15	0	0	0	0	0	0	0	0	0	10	0	0	0
1707241023	48	51	90	88	88	79	60	45	54	55	45	40	59	45	35	65	55	35	35	47	26	34	35	60	0	0	10	10	17	17	12	55	20	40	5	5	40	5	0	0	15	10	15	0	0	0	0	0	0	0	0	0	10	0	0	0
1707241039	46	50	90	88	88	79	60	45	54	54	44	40	58	45	35	65	55	35	35	47	26	34	35	60	0	0	10	10	17	17	12	55	20	40	5	5	40	5	0	0	15	10	15	0	0	0	0	0	0	0	0	0	10	0	0	0
1707241047	45	50	88	87	88	78	59	44	54	53	43	39	58	45	35	65	55	35	35	47	26	34	35	60	0	0	10	10	17	17	12	55	20	40	5	5	40	5	0	0	15	10	15	0	0	0	0	0	0	0	0	0	10	0	0	0
1707241055	45	49	88	87	88	78	59	44	54	53	43	39	58	45	35	65	55	35	35	47	26	34	35	60	0	0	10	10	17	17	12	55	20	40	5	5	40	5	0	0	15	10	15	0	0	0	0	0	0	0	0	0	10	0	0	0
1707241129	44	49	88	87	88	79	59	44	54	53	43	39	58	45	35	65	55	35	35	47	26	34	35	60	0	0	10	10	17	17	12	55	20	40	5	5	40	5	0	0	14	10	13	0	0	0	0	0	0	0	0	0	10	0	0	0
