date	DCOM5202_26460	DCOM5205_26461	DCOM5206_26462	DCOM5209_26463	DCOM5211_26464
1707240824	50	50	50	50	100
1707240905	50	50	50	50	100
1707240930	50	50	50	50	100
1707240941	50	50	50	50	100
1707241000	50	50	50	50	100
1707241012	50	50	50	50	100
1707241023	50	50	50	50	100
1707241039	50	50	50	50	100
1707241047	50	50	50	50	100
1707241055	50	50	50	50	100
1707241129	50	50	50	50	100
1707241147	50	50	50	50	100
1707241221	50	50	50	50	100
1707241307	50	50	50	50	100
1707241415	50	50	50	50	100
1707241512	50	50	50	50	100
1707241556	50	50	50	50	100
1707241623	50	50	50	50	100
1707241717	50	50	50	50	100
1707241814	50	50	50	50	100
1707241848	50	50	50	50	100
1707242034	50	50	50	50	100
1707242132	50	50	50	50	100
1707242210	50	50	50	50	100
1707242307	50	50	50	50	100
1707242329	50	50	50	50	100
1707242343	50	50	50	50	100
1707250748	50	50	50	50	100
1707251027	50	50	50	50	100
1707251309	50	50	50	50	100
1707251351	50	50	50	50	100
1707251441	50	50	50	50	100
1707251521	50	50	50	50	100
1707251605	50	50	50	50	100
1707251658	50	50	50	50	100
1707251727	50	50	50	50	100
1707251900	50	50	50	50	100
1707251927	50	50	50	50	100
1707252025	50	50	50	50	100
1707252100	50	50	50	50	100
1707252124	50	50	50	50	100
1707252143	50	50	50	50	100
1707252259	50	50	50	50	100
1707252332	50	50	50	50	100
1707260820	50	50	50	50	100
1707261009	49	49	49	49	99
1707261047	44	44	44	44	94
1707261116	29	29	29	29	79
1707261144	20	20	20	20	69
1707261213	20	20	20	20	69
1707261257	20	20	20	20	69
1707261315	20	20	20	20	69
1707261354	20	20	20	20	69
1707261538	6	6	6	6	55
1707261603	6	6	6	6	55
1707261646	6	6	6	6	55
1707261709	6	6	6	6	55
1707261733	6	6	6	6	55
1707261807	6	6	6	6	55
1707261822	6	6	6	6	55
1707261842	6	6	6	6	55
1707261903	6	6	6	6	55
1707261944	6	6	6	6	55
1707262004	6	6	6	6	55
1707262107	6	6	6	6	55
1707262125	6	6	6	6	55
1707262142	6	6	6	6	55
1707262337	6	6	6	6	55
1707270001	6	6	6	6	55
1707270737	6	6	6	6	55
1707270816	6	6	6	6	55
1707270840	6	6	6	6	55
1707270903	6	6	6	6	55
1707271009	6	6	6	6	55
1707271027	6	6	6	6	55
1707271053	6	6	6	6	55
1707271136	6	6	6	6	55
1707271218	6	6	6	6	55
1707271250	6	6	6	6	55
1707271309	6	6	6	6	55
1707271338	6	6	6	6	55
1707271422	6	6	6	6	55
1707271448	6	6	6	6	55
1707271510	6	6	6	6	55
1707271544	6	6	6	6	55
1707271643	6	6	6	6	55
1707271704	6	6	6	6	55
1707271720	6	6	6	6	55
1707271802	6	6	6	6	55
1707272002	6	6	6	6	55
1707272150	6	6	6	6	55
1707272237	6	6	6	6	55
1707281100	6	6	6	6	55
1707281233	6	6	6	6	55
1707281457	6	6	6	6	55
1707281621	6	6	6	6	55
1707281911	6	6	6	6	55
