date	DDER6100_14530	DDER6101_28090	DDER6201_28093	DDER6201_28094	DDER6203_11257	DDER6204_11473	DDER6401_12246	DDER6402_13052	DDER6403_12247	DDER6404_13053	DDER6501_13406	DDER6961_15203	DDER6980_12011	DDER6981_12012	DDER6990_12013	DDER6997_13407
1707240824	50	10	20	20	10	8	15	15	15	15	7	3	8	8	8	5
1707240905	50	10	20	20	10	8	15	15	15	15	7	3	8	8	8	5
1707240930	50	10	20	20	10	8	15	15	15	15	7	3	8	8	8	5
1707240941	50	10	20	20	10	8	15	15	15	15	7	3	8	8	8	5
1707241000	50	10	20	20	10	8	15	15	15	15	7	3	8	8	8	5
1707241012	50	10	20	20	10	8	15	15	15	15	7	3	8	8	8	5
1707241023	50	10	20	20	10	8	15	15	15	15	7	3	8	8	8	5
1707241039	50	10	20	20	10	8	15	15	15	15	7	3	8	8	8	5
1707241047	50	10	20	20	10	8	15	15	15	15	7	3	8	8	8	5
1707241055	49	10	19	20	10	8	15	15	15	15	7	3	8	8	8	5
1707241129	49	10	18	18	10	8	15	15	15	15	7	3	8	8	8	5
1707241147	49	9	17	16	10	8	14	15	15	15	7	3	8	8	8	5
1707241221	49	9	17	15	10	8	14	15	15	15	7	3	8	8	8	5
1707241307	49	9	16	15	10	8	14	15	15	15	7	3	8	8	8	5
1707241415	49	9	16	15	10	7	14	15	15	15	7	3	8	8	8	5
1707241512	47	9	16	15	9	7	14	15	13	15	7	3	7	8	8	5
1707241556	47	8	14	15	9	7	13	15	13	15	7	3	7	8	8	5
1707241623	47	8	14	15	9	7	13	15	13	15	7	2	7	8	8	5
1707241717	47	8	14	15	8	6	13	15	12	15	7	2	7	8	8	5
1707241814	46	7	13	15	8	6	13	15	12	15	7	2	7	8	7	5
1707241848	46	7	13	15	8	6	13	15	12	15	7	2	7	8	7	5
1707242034	46	7	13	15	8	6	13	15	12	15	7	2	7	8	7	5
1707242132	46	7	13	15	8	6	13	15	12	15	7	2	7	8	7	5
1707242210	46	7	13	15	7	6	13	15	12	15	7	2	6	8	7	5
1707242307	46	7	13	15	7	6	13	15	12	15	7	2	6	8	7	5
1707242329	45	7	13	15	7	6	13	15	12	15	7	2	6	7	7	5
1707242343	45	7	13	15	7	6	13	15	12	15	7	2	6	7	7	5
1707250748	45	7	13	15	7	5	13	15	12	15	7	2	6	7	7	5
1707251027	45	7	13	14	7	5	13	15	12	15	7	2	6	7	7	5
1707251309	44	7	13	13	6	4	13	15	12	15	7	2	6	7	7	2
1707251351	44	7	13	13	6	4	13	15	12	15	7	2	6	7	6	2
1707251441	44	7	13	13	6	4	13	15	12	15	7	2	6	7	6	2
1707251521	44	7	13	13	6	4	13	15	12	15	7	2	6	7	6	2
1707251605	44	7	13	13	6	4	13	15	12	15	7	2	5	7	6	2
1707251658	43	7	13	13	5	4	13	15	12	15	7	2	5	7	6	2
1707251727	43	7	13	13	5	4	13	15	12	15	7	2	5	7	6	2
1707251900	43	7	13	13	5	4	13	15	12	15	7	2	5	7	6	2
1707251927	43	7	13	13	5	4	13	15	12	15	7	2	5	7	5	2
1707252025	43	7	13	13	5	4	13	15	12	15	7	2	5	7	5	2
1707252100	43	7	13	13	5	4	13	15	12	15	7	2	5	7	5	2
