date	DECA1001_28120	DECA1001_28121	DECA1001_28167	DECA1001_28170	DECA1001_28172	DECA1001_28173	DECA1001_28175	DECA1001_28176	DECA1001_28180	DECA1001_28183	DECA1001_28187	DECA1001_28188	DECA1001_28189	DECA1001_28192	DECA1001_28193	DECA1001_28195	DECA1001_28196	DECA1101_16752	DECA1101_16756	DECA1101_16762	DECA1101_16772	DECA1101_167772	DECA1102_16773	DECA1103_16774
1707240824	29	23	27	30	30	28	30	30	29	30	29	29	31	33	31	27	29	80	8	12	8	0	10	10
1707240905	29	20	23	30	29	26	29	29	29	29	29	29	28	30	28	20	26	80	8	12	8	0	10	10
1707240930	28	19	24	29	26	24	28	28	28	29	29	28	25	27	21	19	22	80	8	12	8	0	10	10
1707240941	27	19	23	29	26	24	28	26	27	26	28	27	25	26	16	14	19	80	8	12	8	0	10	10
1707241000	26	19	22	29	27	23	28	26	26	26	28	27	24	25	15	12	18	80	8	12	8	0	10	10
1707241012	26	17	20	29	26	23	28	24	26	25	27	27	24	23	14	11	15	80	8	12	8	0	10	10
1707241023	25	15	20	29	26	22	28	22	26	24	26	26	23	22	13	13	15	80	8	12	8	0	10	10
1707241039	25	14	21	29	26	21	27	23	26	24	23	25	22	21	14	14	14	80	8	11	8	0	10	10
1707241047	25	14	21	29	26	21	27	23	26	24	23	25	22	22	13	14	13	80	8	11	8	0	10	10
1707241055	25	14	21	29	26	22	27	22	26	24	23	25	23	21	12	14	12	80	8	11	8	0	10	10
1707241129	25	11	19	28	26	22	27	21	26	24	21	25	22	21	10	14	10	80	8	11	0	8	10	10
1707241147	25	11	20	28	25	22	27	20	26	23	21	25	22	21	10	14	10	80	8	11	8	0	10	10
1707241221	24	10	20	28	26	22	27	19	26	23	19	25	22	21	10	13	9	80	8	11	8	0	10	10
1707241307	24	9	20	28	26	21	27	19	26	23	19	25	22	21	10	13	10	80	8	11	8	0	10	10
1707241415	21	8	17	24	26	21	27	17	26	22	17	25	22	21	10	12	10	80	8	11	8	0	10	10
1707241512	21	8	17	24	24	21	27	17	26	22	16	25	22	21	10	12	8	78	8	10	7	0	10	10
1707241556	21	8	17	24	24	21	27	17	26	22	16	25	22	21	10	12	8	77	8	9	7	0	10	10
1707241623	21	8	17	24	24	21	27	17	26	22	15	24	22	21	10	12	8	76	8	9	7	0	10	10
1707241717	21	8	17	24	24	21	27	17	26	22	14	23	22	21	10	12	8	74	8	9	7	0	10	10
1707241814	21	7	17	24	24	19	27	16	26	22	13	23	22	21	10	12	8	74	8	9	7	0	10	10
1707241848	21	7	17	24	23	19	27	16	26	22	12	23	22	21	10	12	8	74	8	9	7	0	10	10
1707242034	21	7	17	24	23	19	27	16	26	22	12	23	22	21	10	12	9	73	8	9	7	0	10	10
1707242132	21	7	17	24	23	19	27	16	26	22	12	23	22	21	10	12	9	73	8	9	7	0	10	10
1707242210	21	7	18	24	23	19	27	16	26	22	12	23	22	21	10	12	9	73	8	9	7	0	10	10
1707242307	21	7	17	24	23	19	27	16	26	22	12	23	22	21	10	12	8	73	8	9	7	0	10	10
1707242329	21	7	17	24	23	19	27	16	26	22	12	23	22	21	10	12	8	73	8	9	7	0	10	10
1707242343	21	7	17	24	23	19	27	16	26	22	12	23	22	21	10	12	8	73	8	9	7	0	10	10
1707250748	21	7	18	24	23	19	27	16	26	22	12	23	22	21	10	12	8	73	8	9	7	0	10	10
1707251027	21	8	18	24	23	19	27	16	26	22	12	22	22	21	10	11	8	62	7	2	2	0	10	10
1707251309	21	7	18	24	23	19	27	16	26	22	12	22	21	21	10	11	8	49	4	0	0	0	10	10
1707251351	21	6	18	24	23	19	27	16	26	22	12	22	21	21	10	11	8	49	4	0	0	0	10	10
1707251441	21	6	18	24	23	19	27	16	26	22	12	22	21	21	10	11	8	36	1	0	0	0	10	10
1707251521	21	6	18	24	23	19	27	16	26	22	12	22	21	21	10	11	8	29	0	0	0	0	10	10
1707251605	21	6	18	24	23	19	26	16	26	22	12	22	21	21	10	11	8	25	0	0	0	0	10	10
1707251658	21	6	18	24	23	19	26	16	26	22	12	22	21	21	10	11	8	12	0	0	0	0	10	10
1707251727	21	6	18	24	23	19	26	16	26	22	12	22	21	21	10	11	8	10	0	0	0	0	10	10
1707251900	21	6	18	24	23	19	26	16	26	22	12	22	21	21	10	11	8	9	0	0	0	0	10	10
1707251927	21	6	18	24	23	19	26	16	26	22	12	22	21	21	10	11	8	9	0	0	0	0	10	10
1707252025	21	6	18	24	23	19	26	16	26	22	12	22	21	21	10	11	8	9	0	0	0	0	10	10
1707252100	21	6	18	24	23	19	26	16	26	22	12	22	21	21	10	11	8	8	0	0	0	0	10	10
1707252124	21	6	18	24	23	19	26	16	26	22	12	22	21	22	10	11	8	8	0	0	0	0	10	10
1707252143	21	6	18	24	23	19	26	16	26	22	12	22	21	22	10	11	8	8	0	0	0	0	10	10
1707252259	21	6	18	24	23	19	26	16	26	22	12	22	21	22	10	11	8	8	0	0	0	0	10	10
1707252332	21	6	18	24	23	19	26	16	26	22	12	22	21	22	10	11	8	8	0	0	0	0	10	10
1707260820	21	6	18	24	23	19	26	16	26	22	12	22	21	22	10	11	8	3	0	0	0	0	10	10
