date	DEIN4345_28364	DEIN4400_27431	DEIN4402_27433	DEIN4404_27434	DEIN4567_28365	DEIN4600_27430	DEIN4602_27432	DEIN4631_28366
1707240824	35	35	30	30	32	35	35	35
1707240905	35	35	29	30	31	34	35	35
1707240930	35	35	29	30	31	34	35	35
1707240941	35	35	29	30	31	34	35	35
1707241000	35	35	29	30	31	34	35	35
1707241012	35	35	29	30	31	34	35	35
1707241023	35	35	29	30	31	34	35	35
1707241039	35	35	29	30	31	33	35	35
1707241047	35	35	26	30	30	32	33	35
1707241055	35	34	26	30	30	31	33	35
1707241129	32	30	26	29	29	26	25	35
1707241147	31	28	21	29	28	24	23	35
1707241221	29	26	21	29	28	23	22	35
1707241307	28	25	21	29	28	22	19	35
1707241415	28	23	21	29	28	20	17	35
1707241512	28	23	19	29	26	19	16	35
1707241556	27	23	16	29	26	19	16	35
1707241623	26	23	16	29	26	19	16	34
1707241717	26	23	16	29	26	19	16	34
1707241814	26	22	16	29	26	19	16	34
1707241848	26	22	16	29	26	19	16	34
1707242034	26	21	15	29	26	18	15	34
1707242132	26	21	15	29	26	18	15	34
1707242210	26	21	15	29	26	18	14	34
1707242307	26	20	15	29	26	17	14	34
1707242329	26	20	14	29	26	17	14	34
1707242343	26	20	14	29	26	17	14	34
1707250748	25	20	14	29	26	17	13	34
1707251027	23	20	14	29	26	17	12	34
1707251309	24	20	14	29	25	17	11	32
1707251351	24	20	14	29	25	17	11	32
1707251441	24	20	14	29	26	17	11	32
1707251521	24	20	14	29	26	17	11	32
1707251605	24	20	14	29	26	17	11	32
1707251658	24	20	14	29	25	17	11	32
1707251727	24	20	14	29	25	17	11	32
1707251900	24	20	13	29	25	17	11	32
1707251927	24	20	13	29	25	17	11	32
1707252025	24	20	13	29	25	17	11	32
1707252100	24	20	13	29	25	17	10	32
1707252124	24	19	13	29	25	17	10	32
1707252143	24	19	13	29	25	16	9	32
1707252259	24	19	13	29	25	16	9	32
1707252332	24	19	13	29	25	16	9	32
1707260820	24	19	13	29	25	16	9	32
1707261009	24	19	13	27	25	6	1	32
1707261047	24	19	13	27	25	6	1	32
1707261116	24	19	13	27	25	6	1	32
1707261144	24	19	13	27	25	6	1	32
1707261213	24	19	13	27	25	6	1	32
1707261257	24	19	13	27	25	6	1	32
1707261315	24	19	13	27	25	6	1	32
1707261354	24	19	13	27	25	6	1	32
1707261538	24	18	12	27	24	6	1	31
1707261603	24	18	12	27	24	6	1	31
1707261646	24	18	12	27	24	6	1	31
1707261709	24	18	12	27	24	6	1	31
1707261733	23	18	12	27	24	6	2	31
1707261807	23	18	12	27	24	6	2	31
1707261822	23	18	12	27	24	6	2	31
1707261842	23	18	12	27	24	6	2	31
1707261903	23	18	12	27	24	6	2	31
1707261944	23	18	12	27	24	6	2	31
1707262004	23	18	12	27	24	6	2	31
1707262107	23	18	12	27	24	6	2	31
1707262125	23	18	12	27	24	6	2	31
1707262142	23	18	12	27	24	6	2	31
1707262337	23	18	12	27	24	6	2	31
1707270001	23	18	12	27	24	6	2	31
1707270737	23	18	12	27	24	6	2	31
1707270816	23	18	12	27	24	6	2	31
1707270840	23	18	12	27	24	6	2	31
1707270903	23	18	12	27	24	6	2	31
1707271009	24	18	12	27	24	6	2	31
1707271027	24	18	12	27	24	6	2	31
1707271053	24	18	12	27	24	6	2	31
1707271136	24	18	12	27	24	6	2	31
1707271218	24	18	12	27	24	6	2	31
1707271250	24	18	12	27	24	6	2	31
1707271309	24	18	12	27	24	6	2	31
1707271338	24	18	12	27	24	6	2	31
1707271422	24	18	12	27	24	6	2	31
1707271448	24	18	12	27	24	6	2	31
1707271510	24	18	12	27	23	6	2	31
1707271544	24	18	12	27	23	6	2	31
1707271643	24	18	12	27	23	6	2	31
1707271704	24	18	12	27	23	6	2	31
1707271720	24	18	12	27	23	6	2	31
1707271802	24	18	12	27	23	6	2	31
1707272002	24	18	12	27	23	6	2	31
1707272150	24	18	12	27	23	6	2	31
1707272237	24	18	12	27	23	6	2	31
1707281100	24	18	12	27	23	6	2	31
1707281233	24	18	12	27	23	6	2	31
1707281457	24	18	12	27	23	6	2	31
1707281621	24	18	12	27	23	6	2	31
1707281911	24	18	12	27	23	6	2	31
