date	DEMP5101_26467	DEMP5102_27275	DEMP5201_27276	DEMP5202_27277	DEMP5204_27279	DEMP5206_27278	DEMP5207_27280
1707240824	40	40	40	40	40	40	40
1707240905	40	40	40	40	40	40	40
1707240930	40	40	40	40	40	40	40
1707240941	40	40	40	40	40	40	40
1707241000	40	40	40	40	40	40	40
1707241012	40	40	40	40	40	40	40
1707241023	40	40	40	40	40	40	40
1707241039	40	40	40	40	40	40	40
1707241047	40	40	40	40	40	40	40
1707241055	40	40	40	40	40	40	40
1707241129	39	39	39	39	39	39	39
1707241147	39	39	39	39	39	39	39
1707241221	38	38	38	38	38	38	38
1707241307	38	38	38	38	38	38	38
1707241415	38	38	38	38	38	38	38
1707241512	38	38	38	38	38	38	38
1707241556	38	38	38	38	38	38	38
1707241623	38	38	38	38	38	38	38
1707241717	38	38	38	38	38	38	38
1707241814	38	38	38	38	38	38	38
1707241848	38	38	38	38	38	38	38
1707242034	38	38	38	38	38	38	38
1707242132	38	38	38	38	38	38	38
1707242210	38	38	38	38	38	38	38
1707242307	38	38	38	38	38	38	38
1707242329	38	38	38	38	38	38	38
1707242343	38	38	38	38	38	38	38
1707250748	38	38	38	38	38	38	38
1707251027	38	38	38	38	38	38	38
1707251309	38	38	38	38	38	38	38
1707251351	38	38	38	38	38	38	38
1707251441	38	38	38	38	38	38	38
1707251521	31	31	31	31	31	31	31
1707251605	25	25	25	25	25	25	25
1707251658	11	11	11	11	11	11	11
1707251727	10	10	10	10	10	10	9
1707251900	10	10	10	10	10	10	9
1707251927	10	10	10	10	10	10	9
1707252025	10	10	10	10	10	10	9
1707252100	10	10	10	10	10	10	9
1707252124	10	10	10	10	10	10	9
1707252143	10	10	10	10	10	10	9
1707252259	10	10	10	10	10	10	9
1707252332	10	10	10	10	10	10	9
1707260820	10	10	10	10	10	10	9
1707261009	10	10	10	10	10	10	9
1707261047	10	10	10	10	10	10	9
1707261116	10	10	10	10	10	10	9
1707261144	10	10	10	10	10	10	9
1707261213	10	10	10	10	10	10	9
1707261257	9	9	9	9	9	9	8
1707261315	9	9	9	9	9	9	8
1707261354	9	9	9	9	9	9	8
1707261538	9	9	9	9	9	9	8
1707261603	9	9	9	9	9	9	8
1707261646	9	9	9	9	9	9	8
1707261709	9	9	9	9	9	9	8
1707261733	9	9	9	9	9	9	8
1707261807	9	9	9	9	9	9	8
1707261822	9	9	9	9	9	9	8
1707261842	9	9	9	9	9	9	8
1707261903	9	9	9	9	9	9	8
1707261944	9	9	9	9	9	9	8
1707262004	9	9	9	9	9	9	8
1707262107	9	9	9	9	9	9	8
1707262125	9	9	9	9	9	9	8
1707262142	9	9	9	9	9	9	8
1707262337	9	9	9	9	9	9	8
1707270001	9	9	9	9	9	9	8
1707270737	9	9	9	9	9	9	8
1707270816	9	9	9	9	9	9	8
1707270840	9	9	9	9	9	9	8
1707270903	9	9	9	9	9	9	8
1707271009	9	9	9	9	9	9	8
1707271027	9	9	9	9	9	9	8
1707271053	9	9	9	9	9	9	8
1707271136	9	9	9	9	9	9	8
1707271218	9	9	9	9	9	9	8
1707271250	9	9	9	9	9	9	8
1707271309	9	9	9	9	9	9	8
1707271338	9	9	9	9	9	9	8
1707271422	9	9	9	9	9	9	8
1707271448	9	9	9	9	9	9	8
1707271510	9	9	9	9	9	9	8
1707271544	9	9	9	9	9	9	8
1707271643	9	9	9	9	9	9	8
1707271704	9	9	9	9	9	9	8
1707271720	9	9	9	9	9	9	8
1707271802	9	9	9	9	9	9	8
1707272002	9	9	9	9	9	9	8
1707272150	9	9	9	9	9	9	8
1707272237	9	9	9	9	9	9	8
1707281100	9	9	9	9	9	9	8
1707281233	9	9	9	9	9	9	8
1707281457	9	9	9	9	9	9	8
1707281621	9	9	9	9	9	9	8
1707281911	9	9	9	9	9	9	8
