date	DENI5701_26474	DENI5702_26475	DENI5703_26476
1707240824	40	40	40
1707240905	40	40	40
1707240930	40	40	40
1707240941	40	40	40
1707241000	40	40	40
1707241012	40	40	40
1707241023	40	40	40
1707241039	40	40	40
1707241047	40	40	40
1707241055	40	40	40
1707241129	40	40	40
1707241147	40	40	40
1707241221	39	39	39
1707241307	38	38	38
1707241415	38	38	38
1707241512	39	39	39
1707241556	39	39	39
1707241623	39	39	39
1707241717	38	38	38
1707241814	38	38	38
1707241848	38	38	38
1707242034	38	38	38
1707242132	38	38	38
1707242210	38	38	38
1707242307	38	38	38
1707242329	38	38	38
1707242343	38	38	38
1707250748	38	38	38
1707251027	38	38	38
1707251309	38	38	38
1707251351	38	38	38
1707251441	38	38	38
1707251521	38	38	38
1707251605	38	38	38
1707251658	38	38	38
1707251727	38	38	38
1707251900	38	38	38
1707251927	38	38	38
1707252025	38	38	38
1707252100	38	38	38
1707252124	38	38	38
1707252143	38	38	38
1707252259	38	38	38
1707252332	38	38	38
1707260820	38	38	38
1707261009	38	38	38
1707261047	38	38	38
1707261116	38	38	38
1707261144	38	38	38
1707261213	38	38	38
1707261257	16	16	16
1707261315	16	16	16
1707261354	16	16	16
1707261538	16	16	16
1707261603	16	16	16
1707261646	16	16	16
1707261709	16	16	16
1707261733	16	16	16
1707261807	16	16	16
1707261822	16	16	16
1707261842	16	16	16
1707261903	16	16	16
1707261944	16	16	16
1707262004	16	16	16
1707262107	16	16	16
1707262125	16	16	16
1707262142	16	16	16
1707262337	16	16	16
1707270001	16	16	16
1707270737	16	16	16
1707270816	16	16	16
1707270840	16	16	16
1707270903	16	16	16
1707271009	16	16	16
1707271027	16	16	16
1707271053	16	16	16
1707271136	16	16	16
1707271218	16	16	16
1707271250	16	16	16
1707271309	16	16	16
1707271338	16	16	16
1707271422	16	16	16
1707271448	16	16	16
1707271510	16	16	16
1707271544	16	16	16
1707271643	16	16	16
1707271704	16	16	16
1707271720	16	16	16
1707271802	16	16	16
1707272002	16	16	16
1707272150	16	16	16
1707272237	16	16	16
1707281100	16	16	16
1707281233	16	16	16
1707281457	16	16	16
1707281621	16	16	16
1707281911	16	16	16
