date	DEPI4101_28021	DEPI4102_28042	DEPI4103_28046	DEPI4107_28048	DEPI4108_28049	DEPI4109_28050
1707240824	26	26	26	24	26	24
1707240905	26	26	26	24	26	24
1707240930	26	26	26	24	26	24
1707240941	26	26	26	24	26	24
1707241000	26	26	26	24	26	24
1707241012	26	26	26	24	26	24
1707241023	26	26	26	24	26	24
1707241039	26	26	26	24	26	24
1707241047	26	26	26	24	26	24
1707241055	26	26	26	24	25	24
1707241129	22	22	22	24	25	24
1707241147	22	22	22	23	24	23
1707241221	22	22	22	22	23	22
1707241307	22	22	22	22	23	22
1707241415	22	22	22	19	22	21
1707241512	20	21	21	16	18	18
1707241556	20	21	21	16	18	18
1707241623	20	21	21	16	17	18
1707241717	19	21	21	16	17	18
1707241814	19	21	21	15	16	17
1707241848	19	21	21	15	16	17
1707242034	19	21	21	15	16	17
1707242132	19	21	21	15	16	17
1707242210	20	20	21	14	16	17
1707242307	20	20	21	14	16	17
1707242329	20	20	21	14	16	17
1707242343	20	20	21	14	16	17
1707250748	20	20	21	14	16	17
1707251027	19	19	20	14	16	17
1707251309	18	17	20	13	16	17
1707251351	18	17	20	13	16	17
1707251441	18	17	20	13	16	17
1707251521	18	17	20	13	16	17
1707251605	18	17	20	13	16	17
1707251658	18	17	20	13	16	17
1707251727	18	17	20	13	16	17
1707251900	18	17	20	13	16	17
1707251927	18	17	20	13	16	17
1707252025	18	17	20	13	16	17
1707252100	17	16	19	13	16	17
1707252124	17	16	19	13	16	17
1707252143	17	16	19	13	16	17
1707252259	17	16	19	13	16	17
1707252332	17	16	19	13	16	17
1707260820	17	16	19	13	16	17
1707261009	17	16	19	13	16	17
1707261047	17	16	19	13	16	17
1707261116	17	16	19	13	16	17
1707261144	17	16	19	13	16	17
1707261213	17	16	19	13	16	17
1707261257	17	16	19	13	16	17
1707261315	17	16	19	13	16	17
1707261354	17	16	19	13	16	17
1707261538	17	16	19	13	16	17
1707261603	17	16	19	13	16	17
1707261646	16	14	19	13	16	17
1707261709	16	14	19	13	16	17
1707261733	16	14	19	13	16	17
1707261807	16	14	19	13	16	17
1707261822	16	14	19	13	16	17
1707261842	16	14	19	13	16	17
1707261903	16	14	19	13	16	17
1707261944	16	14	19	13	16	17
1707262004	16	14	19	13	16	17
1707262107	16	14	19	13	16	17
1707262125	16	14	19	13	16	17
1707262142	15	14	19	12	16	17
1707262337	15	14	19	13	16	17
1707270001	15	14	19	13	16	17
1707270737	15	14	19	13	16	17
1707270816	15	14	19	13	16	17
1707270840	15	14	19	13	16	17
1707270903	15	14	19	13	16	17
1707271009	15	14	19	13	16	17
1707271027	15	14	19	13	16	17
1707271053	15	14	19	13	16	17
1707271136	15	14	19	13	16	17
1707271218	15	14	19	13	16	17
1707271250	15	14	19	13	16	17
1707271309	15	14	19	13	16	17
1707271338	15	14	19	13	16	17
1707271422	15	14	19	13	16	17
1707271448	15	14	19	13	16	17
1707271510	15	14	19	13	16	17
1707271544	15	14	19	13	16	17
1707271643	16	15	19	13	16	17
1707271704	16	15	19	13	16	17
1707271720	16	15	19	13	16	17
1707271802	16	15	19	13	16	17
1707272002	16	15	19	13	16	17
1707272150	16	15	19	13	16	17
1707272237	16	15	19	13	16	17
1707281100	16	15	19	13	16	17
1707281233	16	15	19	13	16	17
1707281457	16	15	19	13	16	17
1707281621	16	15	19	13	16	17
1707281911	16	15	19	13	16	17
