date	DEPO1010_21498	DEPO1010_22983	DEPO1200_11395	DEPO1200_11417	DEPO1200_12094	DEPO1200_13187	DEPO1201_10271	DEPO1201_10272	DEPO1204_11407	DEPO1204_11409	DEPO1204_11413	DEPO1204_11416	DEPO1204_22817	DEPO1206_14889	DEPO1206_14890	DEPO1206_14892	DEPO1206_14895	DEPO1206_23422	DEPO1207_10273	DEPO1207_10274	DEPO1207_11127	DEPO1207_11128	DEPO1208_11397	DEPO1208_13137	DEPO1212_10099	DEPO1212_10100	DEPO1213_25976	DEPO1213_25981	DEPO1213_25982	DEPO1213_25983	DEPO1214_14903	DEPO1214_14904	DEPO1217_10291	DEPO1217_10292	DEPO1218_10293	DEPO1218_10294	DEPO1218_10295	DEPO1218_10296	DEPO1218_10297	DEPO1218_10298	DEPO1218_10299	DEPO1218_10300	DEPO1218_10301	DEPO1218_10302	DEPO1218_10663	DEPO1218_11210	DEPO1219_10185	DEPO1219_10310	DEPO1219_10312	DEPO1219_10314	DEPO1219_10315	DEPO1219_10316	DEPO1219_10317	DEPO1219_10318	DEPO1219_10320	DEPO1219_10321	DEPO1219_10322	DEPO1219_10325	DEPO1219_10326	DEPO1220_14911	DEPO1220_14913	DEPO1220_14915	DEPO1220_14917	DEPO1220_23299	DEPO1221_10277	DEPO1221_10278	DEPO1222_11629	DEPO1222_13215	DEPO1224_10275	DEPO1224_10276	DEPO1225_14897	DEPO1226_10194	DEPO1226_10203	DEPO1227_11418	DEPO1227_12103	DEPO1227_13135	DEPO1227_13136	DEPO1228_10664	DEPO1229_10494	DEPO1229_10495	DEPO1229_10496	DEPO1230_10531	DEPO1230_10532	DEPO1230_10533	DEPO1230_10534	DEPO1230_10535	DEPO1230_11592	DEPO1230_11593	DEPO1230_11594	DEPO1231_10591	DEPO1231_10661	DEPO1232_10592	DEPO1233_10593	DEPO1233_10662	DEPO1233_13181	DEPO1235_10681	DEPO1235_10739	DEPO1235_11612	DEPO1235_16662	DEPO1235_27583	DEPO1236_10972	DEPO1236_10989	DEPO1240_12014	DEPO1240_12099	DEPO1242_11931	DEPO1242_11932	DEPO1242_25934	DEPO1243_11129	DEPO1243_11130	DEPO1245_27529	DEPO1245_27778	DEPO1245_28538	DEPO1255_11300	DEPO1255_11493	DEPO1255_11494	DEPO1255_15222	DEPO1256_12015	DEPO1256_12096	DEPO1256_20543	DEPO1990_12016	DEPO2202_12017	DEPO2202_12105	DEPO2240_28354	DEPO2240_28355	DEPO2246_28357	DEPO3100_10280	DEPO3100_10744	DEPO3101_10424	DEPO3101_10425	DEPO3102_10745	DEPO3102_13268	DEPO3103_10284	DEPO3103_10991	DEPO3103_11499	DEPO3103_13189	DEPO3104_28352	DEPO3104_28353	DEPO3105_10285	DEPO3105_11449	DEPO3106_14905	DEPO3106_14906	DEPO3106_14908	DEPO3106_14910	DEPO3107_10594	DEPO3107_10746	DEPO3107_13240	DEPO3108_10595	DEPO3109_28356	DEPO3110_12019	DEPO3114_12020	DEPO3248_11133	DEPO3248_11134	DEPO3248_11135	DEPO3248_11136	DEPO3248_11137	DEPO3248_11138	DEPO3248_11139	DEPO3248_11140	DEPO3248_11141	DEPO3248_11142	DEPO3308_10726	DEPO3401_12104	DEPO3401_23388	DEPO3402_21500	DEPO3402_22936
1707240824	15	10	49	49	50	49	25	25	12	12	11	9	12	50	50	48	49	50	30	29	30	29	50	50	22	22	40	60	59	59	20	20	25	25	12	12	10	15	12	10	13	14	12	12	10	15	12	12	12	11	12	12	12	12	12	12	11	12	12	30	35	40	39	38	38	39	39	40	19	19	24	25	24	39	40	38	36	0	48	46	50	12	11	12	12	12	12	12	11	35	34	30	25	23	23	24	25	25	25	25	20	20	6	6	25	25	0	30	30	30	30	30	30	29	30	30	36	40	38	59	20	20	5	6	40	0	0	0	0	0	0	40	40	0	40	0	0	0	0	6	5	0	6	0	0	0	0	0	0	0	8	7	8	8	8	8	8	8	7	8	0	0	20	0	0
1707240905	15	8	49	47	49	48	25	24	12	12	11	7	12	48	49	48	46	49	29	29	30	29	48	49	21	14	40	56	57	59	20	20	24	24	11	11	10	15	12	9	13	14	11	12	9	15	10	12	12	9	12	12	12	12	12	12	10	12	12	30	33	38	39	37	37	37	37	40	18	19	24	25	24	38	40	33	35	0	46	44	48	12	11	11	12	11	12	12	10	35	34	30	22	22	19	23	25	25	24	25	20	20	5	5	24	25	0	30	30	30	30	30	30	29	29	30	30	40	36	57	20	20	5	6	40	0	0	0	0	0	0	40	40	0	39	0	0	0	0	6	5	0	6	0	0	0	0	0	0	0	8	5	6	6	8	8	8	8	8	8	0	0	20	0	0
1707240930	12	5	47	47	49	47	25	23	12	12	11	5	12	45	49	48	45	49	28	29	30	29	47	45	16	10	38	56	55	55	20	19	21	24	11	11	8	14	12	9	13	13	10	12	9	13	10	12	12	8	11	12	12	12	11	11	10	12	12	30	27	38	38	37	35	35	32	40	19	18	24	25	24	38	40	28	32	0	46	42	47	12	11	11	12	12	12	12	10	35	33	29	19	20	17	23	25	25	23	25	20	20	4	5	24	25	0	30	30	30	30	30	29	29	28	30	28	40	33	55	20	20	5	6	39	0	0	0	0	0	0	38	38	0	39	0	0	0	0	5	5	0	6	0	0	0	0	0	0	0	7	5	6	6	7	8	8	8	6	6	0	0	20	0	0
1707240941	11	5	46	44	48	47	25	23	12	12	11	4	12	45	50	47	45	49	28	28	30	29	47	42	16	6	37	56	54	55	20	19	21	24	11	11	9	14	12	9	13	13	9	12	7	13	9	12	12	8	11	12	12	12	11	11	10	10	10	30	24	38	37	37	35	34	30	40	19	16	24	25	24	37	40	25	33	0	46	39	47	12	11	11	12	12	12	12	10	35	31	28	17	18	15	23	25	25	23	25	19	20	4	5	24	25	0	30	30	30	30	30	29	29	28	30	27	40	33	55	20	20	5	6	39	0	0	0	0	0	0	38	38	0	39	0	0	0	0	5	5	0	6	0	0	0	0	0	0	0	7	5	6	6	6	8	8	8	6	5	0	0	20	0	0
1707241000	11	5	46	44	47	47	25	23	12	12	11	4	12	44	50	47	45	49	27	28	30	29	47	42	17	6	37	56	53	54	20	19	21	24	11	11	8	14	12	9	13	13	8	12	8	13	9	12	12	8	10	12	12	12	11	11	10	10	10	30	22	37	37	37	34	34	29	40	19	16	23	25	24	37	39	25	34	0	46	39	47	12	11	11	12	12	12	12	9	35	31	28	17	18	15	23	25	25	23	25	19	20	4	5	25	25	0	30	30	30	30	30	29	29	28	30	27	40	32	55	20	20	5	6	39	0	0	0	0	0	0	38	39	0	39	0	0	0	0	5	5	0	6	0	0	0	0	0	0	0	6	5	5	6	6	8	8	8	6	4	0	0	20	0	0
1707241012	10	5	46	43	47	46	25	23	12	11	11	4	12	43	50	46	45	49	27	28	30	29	47	40	16	3	36	53	53	54	20	19	20	24	11	11	6	14	11	9	12	12	8	12	8	12	9	12	12	8	10	12	12	12	11	11	9	10	10	30	21	36	37	37	34	34	29	40	19	16	23	25	24	37	39	23	33	0	45	38	47	12	11	11	12	12	12	12	9	35	27	28	17	14	14	23	25	25	23	25	19	20	4	5	24	24	0	30	30	30	30	30	28	29	27	30	24	40	30	55	20	20	5	6	39	0	0	0	0	0	0	38	39	0	39	0	0	0	0	5	5	0	6	0	0	0	0	0	0	0	6	4	5	6	6	7	8	8	6	3	0	0	20	0	0
1707241023	10	5	46	42	47	46	25	23	12	11	11	3	12	43	50	46	45	49	27	28	30	29	47	39	14	3	36	53	52	54	20	19	19	24	11	11	6	14	11	9	13	12	8	12	4	11	9	12	12	7	10	12	12	12	11	11	9	10	10	30	21	36	37	37	34	34	29	40	19	16	23	25	24	37	39	22	33	0	45	37	47	12	11	11	12	12	12	12	9	35	25	28	17	13	14	23	25	25	23	25	19	20	4	5	24	24	0	29	30	30	30	30	27	29	27	30	24	39	30	54	20	20	5	6	39	0	0	0	0	0	0	37	39	0	39	0	0	0	0	5	5	0	6	0	0	0	0	0	0	0	6	4	5	5	5	7	8	8	4	3	0	0	20	0	0
1707241039	10	5	46	43	47	44	25	23	12	11	11	2	12	42	50	46	44	49	27	28	30	29	47	39	12	2	35	53	52	54	20	19	19	24	11	11	6	14	11	9	13	12	7	12	3	10	7	12	12	7	10	12	12	12	11	10	10	10	9	30	21	36	37	37	33	34	30	39	19	16	23	25	24	37	39	20	32	0	43	36	46	12	11	10	12	12	12	12	10	34	26	28	15	10	15	23	25	25	23	25	19	20	3	4	24	24	0	29	30	30	30	30	27	27	27	30	22	39	30	54	20	20	5	6	38	0	0	0	0	0	0	37	39	0	38	0	0	0	0	5	5	0	6	0	0	0	0	0	0	0	6	4	5	5	4	6	8	8	4	3	0	0	20	0	0
1707241047	10	5	46	44	45	44	25	23	12	11	10	1	12	42	49	45	43	49	27	28	30	29	47	36	10	0	34	53	52	55	20	19	19	24	10	10	6	14	12	9	12	11	7	12	3	8	7	12	12	7	9	12	12	10	11	10	10	9	8	29	19	35	36	36	33	33	30	39	19	16	23	25	24	37	38	20	31	0	42	35	46	12	11	10	12	11	12	12	10	33	22	27	14	11	15	23	25	25	23	25	19	18	3	3	24	24	0	29	30	30	30	30	27	26	26	30	19	39	28	54	20	20	5	6	38	0	0	0	0	0	0	37	39	0	38	0	0	0	0	5	5	0	6	0	0	0	0	0	0	0	6	3	4	5	4	6	8	8	4	2	0	0	20	0	0
1707241055	10	5	46	44	45	44	25	23	12	11	10	2	12	42	49	45	42	48	27	28	30	29	47	35	9	1	34	52	52	54	20	19	19	24	10	10	6	13	12	9	12	11	7	12	4	7	7	12	12	7	9	12	12	10	11	10	10	9	8	29	19	35	36	36	33	33	30	39	18	16	23	25	24	37	38	20	31	0	42	35	46	12	11	10	12	11	12	11	10	33	22	27	14	11	15	23	25	25	23	25	19	18	3	3	24	24	0	29	30	30	30	30	26	26	26	30	19	39	28	54	20	20	5	6	38	0	0	0	0	0	0	37	39	0	38	0	0	0	0	5	5	0	6	0	0	0	0	0	0	0	6	2	4	5	4	5	8	8	4	2	0	0	20	0	0
