date	DEPR4102_26485	DEPR4108_26486	DEPR4111_26487	DEPR4200_26488	DEPR4400_26489	DEPR4401_12021
1707240824	25	25	25	45	35	999
1707240905	25	25	25	45	35	999
1707240930	25	25	25	45	35	999
1707240941	25	25	25	45	35	999
1707241000	25	25	25	45	35	999
1707241012	25	25	25	45	35	999
1707241023	25	25	25	45	35	999
1707241039	25	25	25	45	35	999
1707241047	25	24	24	39	30	999
1707241055	25	24	23	37	26	999
1707241129	22	20	18	24	16	998
1707241147	22	20	16	22	13	998
1707241221	21	20	16	22	13	999
1707241307	21	20	16	22	13	999
1707241415	20	18	16	19	10	999
1707241512	20	18	15	19	10	998
1707241556	20	18	15	18	9	998
1707241623	20	18	15	18	9	998
1707241717	20	18	15	18	9	998
1707241814	20	18	14	18	9	998
1707241848	20	18	14	18	9	998
1707242034	20	18	14	17	8	998
1707242132	20	18	14	17	8	998
1707242210	20	18	13	16	7	998
1707242307	20	18	12	15	6	998
1707242329	20	18	12	15	6	998
1707242343	20	18	12	15	6	998
1707250748	20	18	12	15	6	998
1707251027	20	18	12	15	6	998
1707251309	20	18	12	15	6	998
1707251351	20	18	12	15	6	998
1707251441	20	18	12	15	6	998
1707251521	20	18	12	15	6	998
1707251605	20	18	12	15	6	998
1707251658	20	18	12	15	6	998
1707251727	20	18	12	15	6	998
1707251900	20	18	12	15	6	998
1707251927	20	18	12	15	6	998
1707252025	20	18	12	15	6	998
1707252100	20	18	12	15	6	998
1707252124	20	18	12	15	6	998
1707252143	20	18	12	15	6	998
1707252259	20	18	12	15	6	998
1707252332	20	18	12	15	6	998
1707260820	20	18	12	15	6	998
1707261009	20	18	12	15	6	998
1707261047	20	18	12	15	6	998
1707261116	20	18	12	15	6	998
1707261144	20	18	12	15	6	998
1707261213	20	18	12	15	6	998
1707261257	20	18	12	15	6	998
1707261315	20	18	12	15	6	998
1707261354	20	18	12	15	6	998
1707261538	20	19	12	15	6	998
1707261603	20	19	12	15	6	998
1707261646	20	19	12	15	6	998
1707261709	20	19	12	15	6	998
1707261733	20	19	12	15	6	998
1707261807	20	19	12	15	6	998
1707261822	20	19	12	15	6	998
1707261842	20	19	12	15	6	998
1707261903	20	19	12	15	6	998
1707261944	18	17	12	14	6	998
1707262004	18	16	11	13	6	998
1707262107	18	16	11	13	6	998
1707262125	17	16	11	12	5	998
1707262142	17	16	11	12	5	998
1707262337	17	14	11	10	3	998
1707270001	17	14	11	10	3	998
1707270737	17	14	11	10	3	998
1707270816	17	14	11	10	3	998
1707270840	17	14	11	10	3	998
1707270903	17	14	11	10	3	998
1707271009	17	14	11	10	3	998
1707271027	17	14	11	10	3	998
1707271053	17	14	11	10	3	998
1707271136	17	14	10	9	2	998
1707271218	17	14	10	9	2	998
1707271250	17	14	10	9	2	998
1707271309	17	14	10	9	2	998
1707271338	17	14	10	9	2	998
1707271422	17	14	10	9	2	998
1707271448	17	14	10	9	2	998
1707271510	17	14	10	9	2	998
1707271544	17	14	10	9	2	998
1707271643	17	14	10	9	2	998
1707271704	17	14	10	9	2	998
1707271720	17	13	10	9	2	998
1707271802	17	11	10	2	2	998
1707272002	17	11	10	1	2	998
1707272150	17	11	10	1	2	998
1707272237	17	11	10	1	2	998
1707281100	17	11	11	1	2	998
1707281233	17	11	11	1	2	998
1707281457	17	11	11	1	2	998
1707281621	17	11	11	1	2	998
1707281911	17	11	11	1	2	998
