date	DERE1101_10250	DERE1101_10251	DERE1101_10252	DERE1101_10253	DERE1101_16967	DERE1102_10030	DERE1102_10031	DERE1102_10562	DERE1102_10987	DERE1102_11364	DERE1102_16969	DERE1103_10032	DERE1103_10033	DERE1103_15127	DERE1103_25155	DERE1107B_11302	DERE1121B_14241	DERE1124B_14078	DERE1201_10257	DERE1201_10258	DERE1201_10259	DERE1201_13176	DERE1202_10809	DERE1202_10841	DERE1202_23628	DERE1300_10060	DERE1300_10061	DERE1300_10062	DERE1300_10063	DERE1300_10064	DERE1300_10065	DERE1300_10066	DERE1300_10067	DERE1300_10068	DERE1300_10069	DERE1300_10982	DERE1300_10983	DERE1300_11250	DERE1300_11394	DERE1300_11662	DERE1300_16966	DERE1301_12089	DERE1301_12090	DERE1301_20375	DERE1901_10035	DERE2101_10041	DERE2101_10042	DERE2101_14030	DERE2102_10045	DERE2102_11091	DERE2102_18465	DERE2103_11554	DERE2103_11555	DERE2201_10260	DERE2201_10261	DERE2201_10988	DERE2201_11365	DERE2201_14040	DERE2202_11082	DERE2202_11092	DERE2202_11093	DERE2202_11366	DERE2202_13286	DERE2203_10057	DERE2203_10058	DERE2203_27511	DERE2204_10087	DERE2204_10088	DERE2204_12485	DERE2205_10697	DERE2205_10698	DERE2205_12486	DERE2206_10089	DERE2206_10090	DERE2206_11501	DERE2206_20376	DERE2207_10085	DERE2207_10086	DERE2207_10981	DERE2207_12202	DERE2207_12803	DERE2208_10050	DERE2208_10844	DERE2208_28749	DERE2211_10359	DERE2211_10376	DERE2211_12097	DERE2211_12487	DERE2301_10039	DERE2301_10040	DERE2301_11213	DERE2301_15129	DERE2302_10038	DERE2302_10986	DERE2302_11545	DERE2302_20385	DERE2303_10046	DERE2303_10047	DERE2303_12077	DERE2304_10043	DERE2304_10044	DERE2304_11038	DERE2304_26189	DERE2401_10055	DERE2401_10056	DERE2401_12573	DERE2402_10084	DERE2402_10386	DERE2402_13206	DERE2403_10263	DERE2403_10264	DERE2403_25161	DERE2501_10059	DERE2501_12575	DERE2501_13691	DERE2502_11301	DERE2502_12079	DERE2502_27554	DERE2601_10080	DERE2601_10081	DERE2601_12076	DERE2602_10083	DERE2602_18480	DERE3101_10048	DERE3101_10845	DERE3101_13210	DERE3101_14933	DERE3151_25229	DERE3170_27669	DERE3192_27561	DERE3201_10025	DERE3201_11556	DERE3201_13211	DERE3202_10093	DERE3202_13568	DERE3202_14128	DERE3203_13247	DERE3204_10094	DERE3204_10209	DERE3204_13212	DERE3207_10810	DERE3208_26506	DERE3209_26507	DERE3211_10552	DERE3233_26510	DERE3236_23991	DERE3273_24001	DERE3301_15092	DERE3302_10051	DERE3302_10565	DERE3302_13573	DERE3303_10052	DERE3303_11557	DERE3303_13213	DERE3309_10053	DERE3324_24009	DERE3395_25117	DERE3396_28603	DERE3409_21516	DERE3424_26530	DERE3429_26531	DERE3432_22865	DERE3437_27666	DERE3577_28059	DERE3601_10461	DERE3601_13214	DERE3601_14036	DERE3605_26538	DERE3606_26539	DERE3611_26540	DERE3614_26542	DERE3625_12155	DERE3643_27660	DERE3801_10909	DERE3802_10910	DERE3803_10911	DERE3804_10912	DERE3805_18517	DERE3813_18526	DERE3834_24033	DERE3834_28565	DERE3837_20400	DERE3838_28604	DERE3903_10034	DERE3904_13634	DERE3904_14101	DERE3904_17062	DERE3905_10597	DERE3909_11066	DERE3990_10206
1707240824	30	25	27	29	21	12	20	20	19	17	15	35	35	35	35	42	29	26	30	28	29	30	78	79	79	73	96	90	94	90	95	95	96	99	98	92	95	96	77	98	98	39	33	34	170	40	40	40	40	40	40	40	40	27	27	27	27	27	27	27	27	27	27	40	40	40	40	35	35	35	35	35	30	30	30	30	20	20	20	20	20	40	35	0	35	31	35	35	40	40	40	40	30	30	30	30	35	35	35	35	35	35	35	40	40	40	35	35	35	35	35	35	40	40	40	40	40	40	40	40	40	40	40	30	30	30	30	20	20	30	40	40	40	35	35	35	35	35	35	35	35	25	25	40	30	25	30	30	35	35	35	35	35	35	75	25	20	0	20	24	25	20	20	20	35	35	35	10	10	20	10	20	30	140	140	15	0	20	35	60	60	25	0	0	20	20	20	160	120	120
1707240905	28	21	25	26	16	8	20	11	19	17	12	35	34	35	35	42	29	21	28	26	28	29	78	78	78	47	89	81	94	82	92	92	88	98	97	79	89	96	60	90	87	40	25	26	170	40	40	40	40	40	40	40	40	27	27	26	27	27	27	27	27	27	27	40	40	40	40	35	35	35	35	35	30	30	30	30	20	20	20	20	20	40	35	0	35	31	35	35	40	40	40	38	30	30	29	30	35	35	35	35	35	34	35	40	40	40	35	35	35	35	35	35	40	40	40	40	40	40	39	40	40	40	40	30	29	30	30	20	20	30	40	40	40	35	35	35	35	35	35	35	35	25	25	40	30	25	30	30	35	35	35	35	35	35	75	25	20	0	20	24	25	20	20	20	35	35	35	10	10	20	10	20	30	140	140	15	0	20	35	60	60	25	0	0	20	20	20	160	120	120
1707240930	27	12	23	25	6	4	20	8	16	16	4	35	33	34	33	42	29	20	26	25	27	29	75	75	78	28	84	68	90	76	89	88	85	98	95	64	87	93	35	76	72	40	17	17	170	40	40	40	40	40	40	40	40	27	27	26	27	27	27	27	27	27	27	40	40	40	40	35	35	35	35	35	30	30	30	30	20	20	20	20	20	40	35	0	35	31	35	35	40	40	40	38	30	30	29	30	35	35	35	35	35	34	35	40	40	40	35	35	35	35	35	35	40	40	40	40	40	40	39	40	40	40	40	29	29	30	30	20	20	30	40	40	40	35	35	35	35	35	35	35	35	25	25	40	30	25	30	30	35	35	35	35	35	35	75	25	20	0	20	24	25	20	20	20	35	35	35	10	10	20	10	20	30	140	140	15	0	20	35	60	60	25	0	0	20	20	20	160	120	120
1707240941	25	7	22	24	0	0	18	8	13	15	0	35	33	34	33	41	29	19	26	25	25	29	74	74	77	13	79	62	85	70	86	84	82	97	95	61	83	91	20	66	65	38	14	11	170	40	40	40	40	40	40	40	40	27	27	26	27	27	27	27	27	27	27	40	40	40	40	35	35	35	35	35	30	30	30	30	20	20	20	20	20	40	35	0	35	31	35	35	40	40	40	38	30	30	29	30	35	35	35	35	35	34	35	40	40	40	35	35	35	35	35	35	40	40	40	40	40	40	39	40	40	40	40	29	29	30	30	20	20	30	40	40	40	35	35	35	35	35	35	35	35	25	25	40	30	25	30	30	35	35	35	35	35	35	75	25	20	0	20	24	25	20	20	20	35	35	35	10	10	20	10	20	30	140	140	15	0	20	35	60	60	25	0	0	20	20	20	160	120	120
1707241000	25	9	22	22	0	0	18	6	14	14	0	35	33	34	33	42	28	19	26	25	25	29	73	72	77	8	77	61	85	68	85	81	82	96	94	57	83	90	16	63	62	38	12	11	170	40	40	40	40	40	40	40	40	27	27	26	27	27	27	27	27	27	27	40	40	40	40	35	35	35	35	35	30	30	30	30	20	20	20	20	20	40	35	0	35	31	35	35	40	40	40	38	30	30	29	30	35	35	35	35	35	34	35	40	40	40	35	35	35	35	35	35	40	40	40	40	40	40	39	40	40	40	40	29	29	30	30	20	20	30	40	40	40	35	35	35	35	35	35	35	35	25	25	40	30	25	30	30	35	35	35	35	35	35	75	25	20	0	20	24	25	20	20	20	35	35	35	10	10	20	10	20	30	140	140	15	0	20	35	60	60	25	0	0	20	20	20	160	120	120
1707241012	26	6	19	21	0	0	18	4	12	10	0	35	33	34	33	41	28	17	25	25	25	29	70	69	77	0	76	53	81	65	84	78	80	97	94	44	79	89	5	59	52	36	8	9	170	40	40	40	40	40	40	40	40	27	27	26	27	27	27	27	27	27	27	40	40	40	40	35	35	35	35	35	30	30	30	30	20	20	20	20	20	40	35	0	35	31	35	35	40	40	40	38	30	30	29	30	35	35	35	35	35	34	35	40	40	40	35	35	35	35	35	35	40	40	40	40	40	40	39	40	40	40	40	29	29	30	30	20	20	30	40	40	40	35	35	35	35	35	35	35	35	25	25	40	30	25	30	30	35	35	35	35	35	35	75	25	20	0	20	24	25	20	20	20	35	35	35	10	10	20	10	20	30	140	140	15	0	20	35	60	60	25	0	0	20	20	20	160	120	120
1707241023	26	5	18	20	0	0	18	4	11	9	0	35	33	34	33	40	28	17	25	25	25	29	69	69	77	2	76	49	79	64	84	75	75	97	94	40	78	88	0	56	50	36	7	9	170	40	40	40	40	40	40	40	40	27	27	26	27	27	27	27	27	27	27	40	40	40	40	35	35	35	35	35	30	30	30	30	20	20	20	20	20	40	35	0	35	31	35	35	40	40	40	38	30	30	29	30	35	35	35	35	35	34	35	40	40	40	35	35	35	35	35	35	40	40	40	40	40	40	39	40	40	40	40	29	29	30	30	20	20	30	40	40	40	35	35	35	35	35	35	35	35	25	25	40	30	25	30	30	35	35	35	35	35	35	75	25	20	0	20	24	25	20	20	20	35	35	35	10	10	20	10	20	30	140	140	15	0	20	35	60	60	25	0	0	20	20	20	160	120	120
1707241039	26	3	17	19	0	0	18	4	11	8	0	35	33	34	33	40	28	17	24	25	25	29	69	69	76	0	72	44	79	62	82	73	74	97	95	38	76	88	1	56	51	38	6	7	170	40	40	40	40	40	40	40	40	27	27	26	27	27	27	27	27	27	27	40	40	40	40	35	35	35	35	35	30	30	30	30	20	20	20	20	20	40	35	0	35	31	35	35	40	40	40	38	30	30	29	30	35	35	35	35	35	34	35	40	40	40	35	35	35	35	35	35	40	40	40	40	40	40	39	40	40	40	40	29	29	30	30	20	20	30	40	40	40	35	35	35	35	35	35	35	35	25	25	40	30	25	30	30	35	35	35	35	35	35	75	25	20	0	20	24	25	20	20	20	35	35	35	10	10	20	10	20	30	140	140	15	0	20	35	60	60	25	0	0	20	20	20	160	120	120
1707241047	26	3	17	19	0	0	18	5	11	7	0	35	33	34	33	40	28	17	24	25	25	29	69	69	76	0	70	46	79	61	83	71	74	97	95	34	74	87	0	55	51	38	6	7	170	40	40	40	40	40	40	40	40	27	27	26	27	27	27	27	27	27	27	40	40	40	40	35	35	35	35	35	30	30	30	30	20	20	20	20	20	40	35	0	35	31	35	35	40	40	40	38	30	30	29	30	35	35	35	35	35	34	35	40	40	40	35	35	35	35	35	35	40	40	40	40	40	40	39	40	40	40	40	29	29	30	30	20	20	30	40	40	40	35	35	35	35	35	35	35	35	25	25	40	30	25	30	30	35	35	35	35	35	35	75	25	20	0	20	24	25	20	20	20	35	35	35	10	10	20	10	20	30	140	140	15	0	20	35	60	60	25	0	0	20	20	20	160	120	120
1707241055	26	3	17	19	0	0	18	5	11	7	0	35	33	34	33	40	28	17	24	25	25	29	69	69	76	0	70	46	79	59	82	70	72	97	95	31	74	87	0	53	50	38	6	7	170	40	40	40	40	40	40	40	40	27	27	26	27	27	27	27	27	27	27	40	40	40	40	35	35	35	35	35	30	30	30	30	20	20	20	20	20	40	35	0	35	31	35	35	40	40	40	38	30	30	29	30	35	35	35	35	35	34	35	40	40	40	35	35	35	35	35	35	40	40	40	40	40	40	39	40	40	40	40	29	29	30	30	20	20	30	40	40	40	35	35	35	35	35	35	35	35	25	25	40	30	25	30	30	35	35	35	35	35	35	75	25	20	0	20	24	25	20	20	20	35	35	35	10	10	20	10	20	30	140	140	15	0	20	35	60	60	25	0	0	20	20	20	160	120	120
