date	DGGJ4101_28336	DGGJ4102_28337	DGGJ4203_28340	DGGJ4301_28358	DGGJ4302_28359	DGGJ4303_28074
1707240824	25	25	25	25	25	25
1707240905	25	25	25	25	25	25
1707240930	25	25	25	25	25	25
1707240941	25	25	25	25	25	25
1707241000	25	25	25	25	25	25
1707241012	25	25	25	25	25	25
1707241023	25	25	25	25	25	25
1707241039	25	25	25	25	25	25
1707241047	23	23	24	25	25	25
1707241055	23	23	24	25	25	25
1707241129	21	21	22	25	25	25
1707241147	19	20	20	24	24	25
1707241221	18	20	20	24	23	25
1707241307	17	19	19	24	24	25
1707241415	16	18	18	23	24	25
1707241512	15	18	18	22	23	25
1707241556	15	18	18	22	23	25
1707241623	14	18	18	22	23	25
1707241717	12	16	17	22	23	25
1707241814	12	16	17	22	23	25
1707241848	12	16	17	22	23	25
1707242034	12	16	17	21	23	25
1707242132	12	16	17	21	23	25
1707242210	12	16	17	21	23	25
1707242307	12	16	17	21	23	25
1707242329	12	16	17	21	23	25
1707242343	12	16	17	21	23	25
1707250748	12	16	17	21	23	25
1707251027	11	16	17	20	22	25
1707251309	10	16	17	20	22	25
1707251351	10	16	17	20	22	25
1707251441	10	16	17	20	22	25
1707251521	10	16	17	19	21	25
1707251605	10	16	17	19	21	25
1707251658	10	16	17	19	21	25
1707251727	10	16	17	19	21	25
1707251900	10	16	17	19	21	25
1707251927	10	16	17	19	21	25
1707252025	10	16	17	19	21	25
1707252100	10	16	17	19	21	25
1707252124	10	16	17	19	21	25
1707252143	9	15	16	19	21	25
1707252259	9	15	16	19	21	25
1707252332	9	15	16	19	21	25
1707260820	9	15	16	19	21	25
1707261009	9	15	16	19	21	25
1707261047	9	15	16	19	22	25
1707261116	9	15	16	19	22	25
1707261144	9	15	16	19	22	25
1707261213	9	15	16	19	22	25
1707261257	9	15	16	19	22	25
1707261315	9	15	16	19	22	25
1707261354	9	15	16	19	22	25
1707261538	9	15	16	19	22	25
1707261603	9	15	16	19	22	25
1707261646	9	15	16	19	22	25
1707261709	9	15	16	19	22	25
1707261733	9	15	16	19	22	25
1707261807	9	15	16	19	22	25
1707261822	9	15	16	19	22	25
1707261842	9	15	16	19	22	25
1707261903	9	15	16	19	22	25
1707261944	9	15	16	19	22	25
1707262004	9	15	16	19	22	25
1707262107	9	15	16	19	22	25
1707262125	9	15	16	18	22	25
1707262142	9	15	16	18	22	25
1707262337	9	15	16	18	22	25
1707270001	9	15	16	18	22	25
1707270737	9	15	16	18	22	25
1707270816	9	15	16	18	22	24
1707270840	9	15	16	18	22	24
1707270903	9	15	16	18	22	24
1707271009	9	15	16	18	22	24
1707271027	9	15	16	18	22	25
1707271053	9	15	16	18	22	25
1707271136	9	15	16	17	22	25
1707271218	9	15	16	17	21	25
1707271250	9	15	16	17	21	25
1707271309	9	15	16	17	21	25
1707271338	9	15	16	17	21	25
1707271422	9	15	16	17	21	25
1707271448	9	14	16	16	21	25
1707271510	9	14	16	16	21	25
1707271544	9	14	16	16	21	25
1707271643	9	14	16	16	21	25
1707271704	9	14	16	16	21	25
1707271720	9	14	16	16	21	25
1707271802	9	14	16	16	21	25
1707272002	9	14	16	16	21	25
1707272150	9	14	16	16	21	25
1707272237	9	14	16	16	21	25
1707281100	9	14	16	16	21	25
1707281233	9	14	16	16	21	25
1707281457	9	14	16	16	21	25
1707281621	9	14	16	16	21	25
1707281911	9	14	16	16	21	25
