date	DIGS5103_26543	DIGS5201_26544	DIGS5402_26545
1707240824	20	20	20
1707240905	20	20	20
1707240930	20	20	20
1707240941	20	20	20
1707241000	20	20	20
1707241012	20	20	20
1707241023	20	20	20
1707241039	20	20	20
1707241047	20	20	20
1707241055	20	20	20
1707241129	20	20	20
1707241147	20	20	20
1707241221	20	20	20
1707241307	20	20	20
1707241415	7	7	7
1707241512	7	7	7
1707241556	7	7	7
1707241623	7	7	7
1707241717	7	7	7
1707241814	7	7	7
1707241848	7	7	7
1707242034	7	7	7
1707242132	7	7	7
1707242210	7	7	7
1707242307	7	7	7
1707242329	7	7	7
1707242343	7	7	7
1707250748	7	7	7
1707251027	7	7	7
1707251309	7	7	7
1707251351	7	7	7
1707251441	7	7	7
1707251521	7	7	7
1707251605	7	7	7
1707251658	7	7	7
1707251727	7	7	7
1707251900	7	7	7
1707251927	7	7	7
1707252025	7	7	7
1707252100	7	7	7
1707252124	7	7	7
1707252143	7	7	7
1707252259	7	7	7
1707252332	7	7	7
1707260820	7	7	7
1707261009	7	7	7
1707261047	7	7	7
1707261116	7	7	7
1707261144	7	7	7
1707261213	7	7	7
1707261257	7	7	7
1707261315	7	7	7
1707261354	7	7	7
1707261538	7	7	7
1707261603	7	7	7
1707261646	7	7	7
1707261709	7	7	7
1707261733	7	7	7
1707261807	7	7	7
1707261822	7	7	7
1707261842	7	7	7
1707261903	7	7	7
1707261944	7	7	7
1707262004	7	7	7
1707262107	7	7	7
1707262125	7	7	7
1707262142	7	7	7
1707262337	7	7	7
1707270001	7	7	7
1707270737	7	7	7
1707270816	7	7	7
1707270840	7	7	7
1707270903	7	7	7
1707271009	7	7	7
1707271027	7	7	7
1707271053	7	7	7
1707271136	7	7	7
1707271218	7	7	7
1707271250	7	7	7
1707271309	7	7	7
1707271338	7	7	7
1707271422	7	7	7
1707271448	7	7	7
1707271510	7	7	7
1707271544	7	7	7
1707271643	7	7	7
1707271704	7	7	7
1707271720	7	7	7
1707271802	7	7	7
1707272002	7	7	7
1707272150	7	7	7
1707272237	7	7	7
1707281100	7	7	7
1707281233	7	7	7
1707281457	7	7	7
1707281621	7	7	7
1707281911	7	7	7
