date	DLIT6901_16663	DLIT6902_16666	DLIT6903_16694	DLIT6904_19251	DLIT6905_16698	DLIT6906_17223	DLIT6907_20372	DLIT6908_20373	DLIT6997_17621
1707240824	5	5	5	5	5	5	1	1	3
1707240905	5	5	5	5	5	5	1	1	3
1707240930	5	5	5	5	5	5	1	1	3
1707240941	5	5	5	5	5	5	1	1	3
1707241000	5	5	5	5	5	5	1	1	3
1707241012	5	5	5	5	5	5	1	1	3
1707241023	5	5	5	5	5	5	1	1	3
1707241039	5	5	5	5	5	5	1	1	3
1707241047	5	5	5	5	5	5	1	1	3
1707241055	5	5	5	5	5	5	1	1	3
1707241129	5	5	5	5	5	5	1	1	3
1707241147	5	5	5	5	5	5	1	1	3
1707241221	5	5	5	5	5	5	1	1	3
1707241307	5	5	5	5	5	5	1	1	3
1707241415	5	5	5	5	5	5	1	1	3
1707241512	4	4	5	5	5	5	1	1	3
1707241556	4	4	5	5	5	5	1	1	3
1707241623	4	4	5	5	5	5	1	1	3
1707241717	3	3	5	5	5	4	1	1	3
1707241814	2	2	5	5	5	4	1	1	3
1707241848	2	2	5	5	5	4	1	1	3
1707242034	2	2	4	5	5	4	1	1	3
1707242132	2	2	4	5	5	4	1	1	3
1707242210	2	2	4	5	5	4	1	1	3
1707242307	2	2	4	5	5	4	1	1	3
1707242329	2	2	4	5	5	4	1	1	3
1707242343	2	2	4	5	5	4	1	1	3
1707250748	3	2	4	5	5	4	1	1	3
1707251027	3	2	4	4	5	3	1	1	3
1707251309	3	2	4	4	5	2	1	1	3
1707251351	3	2	4	4	5	2	1	1	3
1707251441	3	2	4	4	5	2	1	1	3
1707251521	3	2	4	4	5	2	1	1	3
1707251605	3	2	4	4	5	2	1	1	3
1707251658	3	2	4	4	5	2	1	1	3
1707251727	3	2	4	4	5	2	1	1	3
1707251900	3	2	4	4	5	2	1	1	3
1707251927	3	2	4	4	5	2	1	1	3
1707252025	3	2	4	4	5	2	1	1	3
1707252100	3	2	4	4	5	2	1	1	3
1707252124	3	2	4	4	5	2	1	1	3
1707252143	3	2	4	4	5	2	1	1	3
1707252259	3	2	4	4	5	2	1	1	3
1707252332	3	2	4	4	5	2	1	1	3
1707260820	3	2	4	4	5	2	1	1	3
1707261009	3	2	4	4	5	2	1	1	3
1707261047	3	2	4	4	5	2	1	1	3
1707261116	3	2	4	4	5	2	1	1	3
1707261144	3	2	4	4	5	2	1	1	3
1707261213	3	2	4	4	5	2	1	1	3
1707261257	3	2	4	4	5	2	1	1	3
1707261315	3	2	4	4	5	2	1	1	3
1707261354	3	2	4	4	5	2	1	1	3
1707261538	3	2	4	4	5	2	1	1	3
1707261603	3	2	4	4	5	2	1	1	3
1707261646	3	2	4	4	5	2	1	1	3
1707261709	3	2	4	4	5	2	1	1	3
1707261733	3	2	4	4	5	2	1	1	3
1707261807	3	2	4	4	5	2	1	1	3
1707261822	3	2	4	4	5	2	1	1	3
1707261842	3	2	4	4	5	2	1	1	3
1707261903	3	2	4	4	5	2	1	1	3
1707261944	3	2	4	4	5	2	1	1	3
1707262004	3	2	4	4	5	2	1	1	3
1707262107	3	2	4	4	5	2	1	1	3
1707262125	3	2	4	4	5	2	1	1	3
1707262142	3	2	4	4	5	2	1	1	3
1707262337	3	2	4	4	5	2	1	1	3
1707270001	3	2	4	4	5	2	1	1	3
1707270737	3	2	4	4	5	2	1	1	3
1707270816	3	2	4	4	5	2	1	1	3
1707270840	3	2	4	4	5	2	1	1	3
1707270903	3	2	4	4	5	2	1	1	3
1707271009	3	2	4	4	5	2	1	1	3
1707271027	3	2	4	4	5	2	1	1	3
1707271053	3	2	4	4	5	2	1	1	3
1707271136	3	2	4	4	5	2	1	1	3
1707271218	3	2	4	4	5	2	1	1	3
1707271250	3	2	4	4	5	2	1	1	3
1707271309	3	2	4	4	5	2	1	1	3
1707271338	3	2	4	4	5	2	1	1	3
1707271422	3	2	4	4	5	2	1	1	3
1707271448	3	2	4	4	5	2	1	1	3
1707271510	3	2	4	4	5	2	1	1	3
1707271544	3	2	4	4	5	2	1	1	3
1707271643	3	2	4	4	5	2	1	1	3
1707271704	3	2	4	4	5	2	1	1	3
1707271720	3	2	4	4	5	2	1	1	3
1707271802	3	2	4	4	5	2	1	1	3
1707272002	3	2	4	4	5	2	1	1	3
1707272150	3	2	4	4	5	2	1	1	3
1707272237	3	2	4	4	5	2	1	1	3
1707281100	4	2	4	4	5	2	1	1	3
1707281233	4	2	4	4	5	2	1	1	3
1707281457	4	2	4	4	5	2	1	1	3
1707281621	4	2	4	4	5	2	1	1	3
1707281911	4	2	4	4	5	2	1	1	3
