date	DMIN5101_26553	DMIN5102_26554
1707240824	14	14
1707240905	14	14
1707240930	14	14
1707240941	14	14
1707241000	14	14
1707241012	14	14
1707241023	14	14
1707241039	14	14
1707241047	14	14
1707241055	14	14
1707241129	14	14
1707241147	14	14
1707241221	14	13
1707241307	14	13
1707241415	14	13
1707241512	14	13
1707241556	14	13
1707241623	14	13
1707241717	14	14
1707241814	14	14
1707241848	13	13
1707242034	13	13
1707242132	13	13
1707242210	13	13
1707242307	13	13
1707242329	13	13
1707242343	13	13
1707250748	13	13
1707251027	13	13
1707251309	2	2
1707251351	2	2
1707251441	2	2
1707251521	2	2
1707251605	2	2
1707251658	2	2
1707251727	2	2
1707251900	2	2
1707251927	2	2
1707252025	2	2
1707252100	2	2
1707252124	2	2
1707252143	2	2
1707252259	2	2
1707252332	2	2
1707260820	2	2
1707261009	2	2
1707261047	2	2
1707261116	2	2
1707261144	2	2
1707261213	2	2
1707261257	2	2
1707261315	2	2
1707261354	2	2
1707261538	2	2
1707261603	2	2
1707261646	2	2
1707261709	2	2
1707261733	2	2
1707261807	2	2
1707261822	2	2
1707261842	2	2
1707261903	2	2
1707261944	2	2
1707262004	2	2
1707262107	2	2
1707262125	2	2
1707262142	2	2
1707262337	2	2
1707270001	2	2
1707270737	2	2
1707270816	2	2
1707270840	2	2
1707270903	2	2
1707271009	2	2
1707271027	2	2
1707271053	2	2
1707271136	2	2
1707271218	2	2
1707271250	2	2
1707271309	2	2
1707271338	2	2
1707271422	2	2
1707271448	2	2
1707271510	2	2
1707271544	2	2
1707271643	2	2
1707271704	2	2
1707271720	2	2
1707271802	2	2
1707272002	2	2
1707272150	2	2
1707272237	2	2
1707281100	2	2
1707281233	2	2
1707281457	2	2
1707281621	2	2
1707281911	2	2
