date	DPUB4303_26561	DPUB4400_26562
1707240824	40	40
1707240905	40	40
1707240930	40	40
1707240941	40	40
1707241000	40	40
1707241012	40	40
1707241023	40	40
1707241039	40	40
1707241047	37	37
1707241055	35	36
1707241129	28	29
1707241147	27	28
1707241221	25	25
1707241307	25	25
1707241415	24	25
1707241512	20	22
1707241556	20	22
1707241623	19	21
1707241717	18	21
1707241814	18	21
1707241848	18	21
1707242034	18	21
1707242132	18	21
1707242210	17	20
1707242307	17	20
1707242329	17	20
1707242343	17	20
1707250748	16	20
1707251027	15	19
1707251309	15	17
1707251351	15	17
1707251441	15	17
1707251521	15	17
1707251605	15	17
1707251658	14	16
1707251727	14	16
1707251900	14	16
1707251927	14	16
1707252025	14	16
1707252100	14	16
1707252124	14	16
1707252143	14	16
1707252259	14	16
1707252332	14	16
1707260820	13	16
1707261009	12	15
1707261047	12	15
1707261116	12	15
1707261144	12	15
1707261213	12	15
1707261257	12	15
1707261315	12	15
1707261354	12	15
1707261538	12	14
1707261603	12	13
1707261646	12	13
1707261709	12	13
1707261733	12	13
1707261807	12	13
1707261822	12	13
1707261842	12	13
1707261903	12	13
1707261944	12	13
1707262004	12	13
1707262107	12	13
1707262125	12	13
1707262142	12	13
1707262337	12	13
1707270001	12	13
1707270737	12	13
1707270816	12	13
1707270840	12	13
1707270903	12	13
1707271009	12	13
1707271027	12	13
1707271053	12	13
1707271136	12	13
1707271218	12	13
1707271250	12	13
1707271309	12	13
1707271338	12	13
1707271422	12	13
1707271448	12	13
1707271510	12	13
1707271544	12	13
1707271643	12	13
1707271704	12	13
1707271720	12	13
1707271802	12	13
1707272002	13	13
1707272150	13	13
1707272237	13	13
1707281100	13	13
1707281233	12	13
1707281457	12	13
1707281621	12	13
1707281911	12	13
