date	ECON1001B_10215	ECON1001B_16629	ECON1001B_26010	ECON1001C_12521	ECON1001C_12522	ECON1001C_12523	ECON1001C_16635	ECON1001C_16637	ECON1001C_18698	ECON1001C_26011	ECON1001C_26012	ECON1001C_26013	ECON1006_21542	ECON1006_23066	ECON1006_23069	ECON1006C_23221	ECON1006C_23229	ECON1006C_23230	ECON1006C_23231	ECON1110_26565	ECON1110_28086	ECON1110_28087	ECON1299_28607	ECON1300_10695	ECON1300_10854	ECON1301_11052	ECON1301_11097	ECON1303_13279	ECON1304_21166	ECON1501_10528	ECON1501_12591	ECON1502B_10020	ECON1502B_10187	ECON2101_10178	ECON2101_10249	ECON2101C_12525	ECON2101C_12526	ECON2101C_15069	ECON2101C_23602	ECON2101C_25787	ECON2102_10070	ECON2102_10188	ECON2102C_12326	ECON2102C_12527	ECON2102C_16737	ECON2102C_23607	ECON2102C_28556	ECON2104_10071	ECON2105_10204	ECON2105_25501	ECON2105C_15086	ECON2105C_15091	ECON2105C_15267	ECON2105C_15268	ECON2106_10199	ECON2106_10200	ECON2106_10201	ECON2106C_12281	ECON2106C_12529	ECON2106C_12530	ECON2106C_12531	ECON2106C_12532	ECON2106C_13174	ECON2106C_17115	ECON2106C_20534	ECON2106C_23340	ECON2107_10423	ECON2107_10431	ECON2107_10443	ECON2107_18607	ECON2107_28124	ECON2107C_12535	ECON2107C_12536	ECON2107C_12537	ECON2107C_12538	ECON2107C_12539	ECON2107C_12540	ECON2107C_12541	ECON2107C_12542	ECON2107C_12543	ECON2107C_18609	ECON2107C_18610	ECON2107C_18611	ECON2107C_28127	ECON2107C_28128	ECON2107C_28130	ECON2201_10098	ECON2201_10101	ECON2201C_12327	ECON2201C_12546	ECON2201C_12547	ECON2201C_12548	ECON2202_10189	ECON2202_23133	ECON2202C_12328	ECON2202C_12553	ECON2202C_12554	ECON2202C_26144	ECON2203_10621	ECON2203_10731	ECON2203_20540	ECON2203_23143	ECON2203C_12329	ECON2203C_12556	ECON2203C_12557	ECON2203C_12558	ECON2203C_12561	ECON2203C_12562	ECON2203C_17114	ECON2203C_17116	ECON2203C_18618	ECON2203C_20541	ECON2203C_21223	ECON2203C_23144	ECON2204_10448	ECON2204C_12563	ECON2204C_12565	ECON2301_10105	ECON2301_10106	ECON2301C_12330	ECON2301C_12567	ECON2301C_12568	ECON2301C_23158	ECON2501B_15497	ECON2901B_24066	ECON3301_10219	ECON3301_10255	ECON3301C_12331	ECON3301C_12570	ECON3301C_12572	ECON3301C_25608	ECON3401_10183	ECON3501_10022	ECON3501_10539	ECON3502_10108	ECON3502_10109	ECON3502_1109	ECON3504_26568	ECON3602_10667	ECON3602_13752	ECON3602_18642	ECON3609_10024	ECON3620_26570	ECON3665_10567	ECON3672_26575	ECON3704_12669	ECON3707_26577	ECON3708_26578	ECON3714_24101	ECON3722_28605	ECON3724_26581	ECON3730_13278	ECON3737_26584	ECON3739_28343	ECON3740_14248	ECON3744_26587	ECON3747_21592	ECON3756_26591	ECON3760_26593	ECON3762_28606	ECON3763_28618	ECON3764_28619	ECON3991_10212	ECON3992_10213	ECON4112_26594	ECON4112C_26595	ECON4112C_27935	ECON4212_26596	ECON4212C_26597	ECON4212C_27954	ECON4301_10627	ECON4301_14072	ECON4301C_12285	ECON4301C_12745	ECON4301C_14073	ECON4301C_14074	ECON4568_14536	ECON4568_15045	ECON4568C_15072	ECON4568C_15077	ECON4568C_15079	ECON4568C_15080	ECON4600_11155	ECON4600_11270	ECON4600_11406	ECON4600_27969	ECON4603_10018	ECON4643_11170	ECON4644_28248	ECON4653_26599	ECON4655_26600	ECON4659_16366	ECON4659_25440	ECON4659C_16367	ECON4659C_16879	ECON4659C_16880	ECON4659C_16881	ECON4660_26601	ECON4661_26602	ECON4662_28247	ECON4800_11511	ECON6104_26604	ECON6104C_26605	ECON6201_26606	ECON6201C_26607	ECON6301_26608	ECON6301C_26609	ECON6401_26610	ECON6621_26611	ECON6622_19292	ECON6622_26205	ECON6970_26612	ECON6971_26613	ECON6972_26614	ECON6973_26615	ECON6980_12286	ECON6981_12031	ECON6982_12184	ECON6983_20789	ECON6984_23190	ECON6985_13058	ECON6986_13454	ECON6987_23191	ECON6988_14540	ECON6989_23261	ECON6990_13302	ECON6997_11512
1707240824	69	66	63	26	21	25	18	26	25	22	24	20	22	26	27	21	17	17	20	21	22	22	30	30	30	30	30	30	30	63	58	73	74	69	69	23	23	35	23	34	60	68	30	30	34	34	23	40	60	60	30	30	30	30	82	81	81	28	28	27	27	27	27	27	27	26	63	72	74	74	69	24	22	17	24	25	25	25	23	24	26	26	22	22	23	24	60	60	30	30	30	30	60	60	30	30	30	30	77	77	77	77	26	26	25	26	26	25	26	25	26	26	26	25	50	25	25	60	60	30	30	30	30	40	58	53	60	27	26	30	30	39	60	60	60	60	0	22	25	25	25	22	29	22	29	39	39	20	39	19	22	25	24	24	24	25	24	39	39	20	29	32	99	99	36	18	18	30	15	15	24	24	12	12	12	12	0	0	0	0	0	0	0	0	0	0	0	20	25	20	25	0	0	0	0	0	0	20	20	20	0	8	8	8	8	8	8	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1707240905	64	68	45	24	20	23	20	26	25	12	19	17	18	25	20	20	14	13	16	20	19	21	30	29	30	30	30	30	30	61	50	72	73	69	69	23	23	35	23	34	59	68	30	29	34	34	23	39	60	60	30	30	30	30	82	81	81	28	28	27	27	27	27	27	27	26	56	67	73	70	58	23	22	11	21	25	24	22	21	24	26	26	21	16	20	22	59	60	29	30	30	30	60	60	30	30	30	30	77	77	77	76	26	26	25	26	26	25	26	25	26	26	25	25	50	25	25	60	59	30	30	29	30	39	57	53	60	27	26	30	30	38	60	60	60	60	0	22	25	25	25	21	29	22	29	39	39	20	39	19	22	24	24	24	23	25	24	39	39	20	29	31	99	99	36	18	18	30	15	15	24	24	12	12	12	12	0	0	0	0	0	0	0	0	0	0	0	20	25	20	25	0	0	0	0	0	0	20	20	20	0	8	8	8	8	8	8	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1707240930	52	63	37	21	13	21	16	25	25	6	19	15	8	22	12	14	10	6	12	17	17	14	30	29	30	30	30	30	30	52	35	71	72	69	69	23	23	35	23	34	59	68	30	29	34	34	23	39	60	60	30	30	30	30	82	81	81	28	28	27	27	27	27	27	27	26	52	58	68	66	42	20	22	10	19	24	23	20	16	22	24	25	19	11	13	18	59	60	29	30	30	30	60	60	30	30	30	30	77	77	77	76	26	26	25	26	26	25	26	25	26	26	25	25	50	25	25	60	59	30	30	29	30	39	57	53	60	27	26	30	30	37	60	60	60	60	0	22	25	25	25	21	29	22	29	39	39	20	39	19	21	24	24	24	23	25	23	39	39	19	29	31	99	99	36	18	18	30	15	15	24	24	12	12	12	12	0	0	0	0	0	0	0	0	0	0	0	20	25	20	25	0	0	0	0	0	0	20	20	20	0	8	8	8	8	8	8	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1707240941	43	62	29	20	8	18	15	25	25	0	18	14	5	21	4	9	7	4	10	18	13	11	30	29	30	30	30	30	30	48	24	71	72	69	69	23	23	35	23	34	59	68	30	29	34	34	23	39	59	60	29	30	30	30	82	81	81	28	28	27	27	27	27	27	27	26	45	56	65	63	31	19	19	7	17	24	22	19	16	21	22	25	18	6	7	18	58	60	28	30	30	30	60	60	30	30	30	30	77	76	77	76	26	26	25	26	25	25	26	25	26	26	25	25	50	25	25	60	58	30	30	28	30	39	57	53	60	27	26	30	30	37	60	60	60	60	0	22	25	25	25	21	29	22	29	39	39	20	39	19	21	24	24	24	23	25	23	39	39	19	29	31	99	99	36	18	18	30	15	15	24	24	12	12	12	12	0	0	0	0	0	0	0	0	0	0	0	20	25	20	25	0	0	0	0	0	0	20	20	20	0	8	8	8	8	8	8	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1707241000	40	60	25	20	5	18	13	25	25	0	17	11	2	20	2	9	5	2	8	18	13	9	30	29	30	30	30	30	30	48	20	71	72	69	69	23	23	35	23	34	59	68	30	29	34	34	23	39	59	60	29	30	30	30	82	81	81	28	28	27	27	27	27	27	27	26	43	53	65	64	23	19	18	6	18	24	22	17	15	21	21	25	19	2	3	18	58	59	28	30	30	29	60	60	30	30	30	30	77	76	77	76	26	26	25	26	25	25	26	25	26	26	25	25	50	25	25	60	58	30	30	28	30	39	57	53	60	27	26	30	30	37	60	60	60	60	0	22	25	25	25	21	29	22	29	39	39	20	39	19	21	23	24	24	23	25	23	39	39	19	29	31	99	99	36	18	18	30	15	15	24	24	12	12	12	12	0	0	0	0	0	0	0	0	0	0	0	20	25	20	25	0	0	0	0	0	0	20	20	20	0	8	8	8	8	8	8	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1707241012	35	57	20	20	1	17	11	24	25	0	15	8	0	20	0	9	4	0	7	18	13	8	30	29	30	30	30	30	30	46	15	71	72	68	68	23	22	35	23	33	59	66	30	29	32	34	23	39	59	59	29	30	30	29	81	81	80	27	28	27	27	26	27	27	27	26	39	50	63	63	19	18	17	4	17	24	22	17	12	21	21	25	17	0	2	17	58	57	28	30	28	29	60	57	30	27	30	30	77	76	77	76	26	26	25	26	25	25	26	25	26	26	25	25	50	25	25	58	58	28	30	28	30	39	57	53	60	27	26	30	30	36	60	60	60	60	0	22	25	25	25	21	29	22	29	39	39	20	39	19	21	23	24	24	23	25	23	39	39	19	29	31	99	99	36	18	18	30	15	15	24	24	12	12	12	12	0	0	0	0	0	0	0	0	0	0	0	20	25	20	25	0	0	0	0	0	0	20	20	20	0	8	8	8	8	8	8	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1707241023	35	55	19	20	1	17	9	24	25	0	14	8	0	16	0	9	4	0	3	18	12	8	30	29	30	30	30	30	30	44	13	71	72	67	67	23	21	35	23	32	59	65	30	29	31	34	23	39	59	59	29	30	30	29	81	80	80	27	28	27	27	26	27	26	27	26	37	52	62	63	17	17	17	3	17	24	22	18	13	21	21	25	16	0	0	17	57	56	27	30	27	29	60	57	30	27	30	30	77	76	77	76	26	26	25	26	25	25	26	25	26	26	25	25	50	25	25	57	58	27	30	28	30	39	55	53	60	27	26	30	30	36	60	60	60	60	0	22	25	25	25	21	29	22	29	39	39	20	39	19	21	23	24	24	23	25	23	39	39	19	29	31	99	99	36	18	18	30	15	15	24	24	12	12	12	12	0	0	0	0	0	0	0	0	0	0	0	20	25	20	25	0	0	0	0	0	0	20	20	20	0	8	8	8	8	8	8	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1707241039	34	55	17	20	1	16	9	24	25	0	14	6	0	12	0	7	3	0	2	18	11	8	30	29	30	30	30	30	30	43	12	71	72	67	67	23	21	35	23	32	59	65	30	29	31	34	23	39	59	59	29	30	30	29	81	80	80	27	28	27	27	26	27	26	27	26	38	50	61	63	15	17	17	4	17	24	22	18	12	20	21	24	16	0	0	15	57	56	27	30	27	29	60	57	30	27	30	30	77	76	77	76	26	26	25	26	25	25	26	25	26	26	25	25	50	25	25	57	58	27	30	28	30	39	55	53	60	27	26	30	30	36	60	60	60	60	0	22	25	25	25	21	29	22	29	39	39	20	39	19	21	23	24	24	23	25	23	39	39	19	29	31	99	99	35	18	17	30	15	15	24	24	12	12	12	12	0	0	0	0	0	0	0	0	0	0	0	20	25	20	25	0	0	0	0	0	0	20	20	19	0	8	8	8	8	8	8	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1707241047	34	55	16	20	1	16	9	24	25	0	13	6	0	11	0	7	2	0	2	18	11	8	30	29	30	30	30	30	30	42	13	71	72	67	67	23	21	35	23	32	59	65	30	29	31	34	23	39	59	59	29	30	30	29	81	80	80	27	28	27	27	26	27	26	27	26	38	50	60	63	14	17	17	4	17	24	22	18	12	20	21	24	15	0	0	14	57	56	27	30	27	29	60	57	30	27	30	30	77	76	77	76	26	26	25	26	25	25	26	25	26	26	25	25	50	25	25	57	58	27	30	28	30	39	55	53	60	27	26	30	30	36	59	60	60	60	0	21	25	25	25	21	29	21	28	39	39	20	39	19	21	23	24	24	22	25	23	39	39	19	29	31	99	99	34	17	17	30	15	15	24	24	12	12	12	12	0	0	0	0	0	0	0	0	0	0	0	20	24	20	25	0	0	0	0	0	0	20	20	19	0	8	8	8	8	8	8	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1707241055	34	55	16	20	1	16	9	24	25	0	13	6	0	11	0	7	2	0	2	18	11	8	30	29	30	30	30	30	30	42	13	71	72	67	67	23	21	35	23	32	59	65	30	29	31	34	23	39	59	59	29	30	30	29	80	80	80	26	28	27	27	26	27	26	27	26	38	50	60	63	14	17	17	4	17	24	22	18	12	20	21	24	15	0	0	14	57	56	27	30	27	29	60	57	30	27	30	30	77	76	77	76	26	26	25	26	25	25	26	25	26	26	25	25	50	25	25	57	58	27	30	28	30	39	55	53	60	27	26	30	30	36	59	60	60	60	0	21	25	25	25	21	29	21	28	39	39	20	39	19	21	23	24	24	22	25	23	39	39	19	28	31	99	99	34	17	17	30	15	15	24	24	12	12	12	12	0	0	0	0	0	0	0	0	0	0	0	20	24	20	25	0	0	0	0	0	0	20	20	19	0	8	8	8	8	8	8	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
