date	EDUC1000A_11541	EDUC1000A_11681	EDUC1000A_11682	EDUC1001B_10922	EDUC1001B_13192	EDUC1005B_11313	EDUC1005B_22484	EDUC1012A_10814	EDUC1012A_14779	EDUC1017B_24137	EDUC1021_24138	EDUC1021B_21618	EDUC1025B_24140	EDUC1025B_28325	EDUC1027B_27364	EDUC1028_27365	EDUC1029_27366	EDUC206_18898	EDUC3000_11153	EDUC3994_27367	EDUC4010_11146	EDUC4017_20358	EDUC4022_12970	EDUC4025_21031	EDUC4026_21072	EDUC4027_14543	EDUC4029_21073	EDUC4035_27374	EDUC4206_10688	EDUC4206_14825	EDUC4206_18861	EDUC4206_18865	EDUC4206_18867	EDUC4206_18868	EDUC4206_18869	EDUC4206_18872	EDUC4206_18873	EDUC4206_18888	EDUC4206_18889	EDUC4206_18890	EDUC4206_18891	EDUC4206_18892	EDUC4206_18893	EDUC4206_18894	EDUC4206_18896	EDUC4206_18898	EDUC4206_18899	EDUC4206_18901	EDUC4206_21074	EDUC4206_21075	EDUC4206_23618	EDUC4207_10815	EDUC4207_16892	EDUC4207_18874	EDUC4207_18875	EDUC4207_18876	EDUC4207_18877	EDUC4207_18878	EDUC4207_18879	EDUC4207_18880	EDUC4207_18883	EDUC4207_18884	EDUC4207_18886	EDUC4207_18887	EDUC4207_18907	EDUC4207_18908	EDUC4207_18909	EDUC4207_18910	EDUC4207_18911	EDUC4207_18912	EDUC4207_18913	EDUC4207_18914	EDUC4207_18915	EDUC4305_27370	EDUC4306_27368	EDUC4401_26624	EDUC4513_26625	EDUC4613_26048	EDUC4702_26626	EDUC4728_27375	EDUC4904_27801	EDUC5300_25040	EDUC6000_26629	EDUC6001_25044	EDUC6003_25046	EDUC6005_25048	EDUC6006_25049	EDUC6007_25050	EDUC6008_26630	EDUC6009_25052	EDUC6010_25054	EDUC6011_25055	EDUC6012_25056	EDUC6013_25057	EDUC6014_25058	EDUC6016_25059	EDUC6017_26631	EDUC6022_25091	EDUC6023_25092	EDUC6024_25093	EDUC6028_25108	EDUC6990_25095	EDUC6997_25096
1707240824	46	46	46	42	42	42	42	44	43	42	20	-3	42	42	42	45	45	0	10	45	10	50	30	50	30	30	45	30	30	30	30	10	5	10	5	10	20	5	20	45	20	10	5	10	5	5	5	5	30	5	10	30	10	10	25	30	3	10	5	5	30	10	20	30	10	10	10	5	20	5	5	5	5	30	45	30	45	45	30	0	45	30	5	10	30	5	10	5	10	5	5	5	10	10	10	10	30	10	5	10	5	10	10
1707240905	45	46	46	42	41	41	42	43	42	40	19	-3	42	42	42	45	45	0	10	45	10	50	30	50	30	30	45	30	30	30	30	10	5	10	5	10	20	5	20	45	20	10	5	10	5	5	5	5	30	5	10	30	10	10	25	30	3	10	5	5	30	10	20	30	10	10	10	5	20	5	5	5	5	30	45	30	45	45	30	0	45	30	5	10	30	5	10	5	10	5	5	5	10	10	10	10	30	10	5	10	5	10	10
1707240930	45	46	46	42	41	41	42	41	42	40	19	-3	42	41	42	45	45	0	10	45	10	50	30	50	30	30	45	30	30	30	30	10	5	10	5	10	20	5	20	45	20	10	5	10	5	5	5	5	30	5	10	30	10	10	25	30	3	10	5	5	30	10	20	30	10	10	10	5	20	5	5	5	5	30	45	30	45	45	30	0	45	30	5	10	30	5	10	5	10	5	5	5	10	10	10	10	30	10	5	10	5	10	10
1707240941	44	46	46	42	41	41	42	41	41	40	19	-3	42	41	42	45	45	0	10	45	10	50	30	50	30	30	45	30	30	30	30	10	5	10	5	10	20	5	20	45	20	10	5	10	5	5	5	5	30	5	10	30	10	10	25	30	3	10	5	5	30	10	20	30	10	10	10	5	20	5	5	5	5	30	45	30	45	45	30	0	45	30	5	10	30	5	10	5	10	5	5	5	10	10	10	10	30	10	5	10	5	10	10
1707241000	44	46	46	42	41	41	42	41	41	40	19	-3	42	41	42	45	45	0	10	45	10	50	30	50	30	30	45	30	30	30	30	10	5	10	5	10	20	5	20	45	20	10	5	10	5	5	5	5	30	5	10	30	10	10	25	30	3	10	5	5	30	10	20	30	10	10	10	5	20	5	5	5	5	30	45	30	45	45	30	0	45	30	5	10	30	5	10	5	10	5	5	5	10	10	10	10	30	10	5	10	5	10	10
1707241012	44	46	46	42	40	41	42	41	40	40	19	-3	42	41	42	45	45	0	10	45	10	50	30	50	30	30	45	30	30	30	30	10	5	10	5	10	20	5	20	45	20	10	5	10	5	5	5	5	30	5	10	30	10	10	25	30	3	10	5	5	30	10	20	30	10	10	10	5	20	5	5	5	5	30	45	30	45	45	30	0	45	30	5	10	30	5	10	5	10	5	5	5	10	10	10	10	30	10	5	10	5	10	10
1707241023	44	46	46	42	40	41	42	41	40	40	19	-3	42	41	42	45	45	0	10	45	10	50	30	50	30	30	45	30	30	30	30	10	5	10	5	10	20	5	20	45	20	10	5	10	5	5	5	5	30	5	10	30	10	10	25	30	3	10	5	5	30	10	20	30	10	10	10	5	20	5	5	5	5	30	45	30	45	45	30	0	45	30	5	10	30	5	10	5	10	5	5	5	10	10	10	10	30	10	5	10	5	10	10
1707241039	44	46	46	42	40	41	42	41	40	40	19	-3	42	41	42	45	45	0	10	45	10	50	30	50	29	30	45	30	30	30	30	10	5	10	5	10	20	5	20	45	20	10	5	10	5	5	5	5	30	5	10	30	10	10	25	30	3	10	5	5	30	10	20	30	10	10	10	5	20	5	5	5	5	30	45	30	45	45	30	0	45	30	5	10	30	5	10	5	10	5	5	5	10	10	10	10	30	10	5	10	5	10	10
1707241047	44	46	46	42	40	41	42	41	40	40	19	-3	42	41	42	45	45	0	10	45	10	47	30	48	28	30	44	30	30	30	30	10	5	10	5	10	20	5	20	45	20	10	5	10	5	5	5	5	30	5	10	30	10	10	25	30	3	10	5	5	30	10	20	30	10	10	10	5	20	5	5	5	5	30	45	30	45	45	30	0	45	30	5	10	30	5	10	5	10	5	5	5	10	10	10	10	30	10	5	10	5	10	10
1707241055	44	46	46	42	40	41	42	41	40	40	19	-3	42	41	42	45	45	0	10	45	10	47	30	47	28	30	44	30	30	30	30	10	5	10	5	10	20	5	20	45	20	10	5	10	5	5	5	5	30	5	10	30	10	10	25	30	3	10	5	5	30	10	20	30	10	10	10	5	20	5	5	5	5	30	45	30	45	45	30	0	45	30	5	10	30	5	10	5	10	5	5	5	10	10	10	10	30	10	5	10	5	10	10
