date	EDUI4002_26632	EDUI4010_28651	EDUI4011_24157	EDUI4013_26634	EDUI4013_27782	EDUI4017_24159	EDUI4021_26635	EDUI4022_24161	EDUI4025_24162	EDUI4031_26636	EDUI4206_26638	EDUI4206_27798	EDUI4206_27799	EDUI4206_27800	EDUI4720_24168
1707240824	20	0	11	30	30	0	10	15	15	10	20	20	20	20	15
1707240905	20	0	11	30	30	0	10	15	15	10	20	20	20	20	15
1707240930	20	0	11	30	30	0	10	15	15	10	20	20	20	20	15
1707240941	20	0	11	30	30	0	10	15	15	10	20	20	20	20	15
1707241000	20	0	11	30	30	0	10	15	15	10	20	20	20	20	15
1707241012	20	0	11	30	30	0	10	15	15	10	20	20	20	20	15
1707241023	20	0	11	30	30	0	10	15	15	10	20	20	20	20	15
1707241039	20	0	11	30	30	0	10	15	15	10	20	20	20	20	15
1707241047	20	0	11	30	30	0	10	15	15	10	20	20	20	20	15
1707241055	20	0	11	30	30	0	10	15	15	10	20	20	20	20	15
1707241129	20	0	11	30	30	0	10	15	15	10	20	20	20	20	15
1707241147	20	0	11	29	30	0	10	15	15	10	20	20	20	20	15
1707241221	20	0	11	27	30	0	10	15	15	10	20	20	20	20	15
1707241307	20	0	11	26	30	0	10	15	15	10	20	20	20	20	15
1707241415	20	0	11	24	28	0	10	15	15	9	20	20	20	20	15
1707241512	20	0	11	15	23	0	9	15	15	6	20	19	20	20	15
1707241556	20	0	11	13	22	0	7	15	15	5	20	19	20	20	15
1707241623	20	0	11	9	21	0	7	15	15	5	20	19	20	20	15
1707241717	19	0	11	9	21	0	6	15	15	5	19	17	20	19	15
1707241814	18	0	11	8	18	0	5	15	15	5	15	14	17	17	15
1707241848	18	0	11	8	13	0	5	15	15	5	15	14	17	17	15
1707242034	18	0	11	6	13	0	4	15	15	4	15	14	17	17	15
1707242132	18	0	11	5	13	0	4	15	15	4	15	14	17	17	15
1707242210	18	0	11	5	13	0	4	15	15	4	15	14	17	17	15
1707242307	18	0	11	5	13	0	4	15	15	4	15	14	17	17	15
1707242329	18	0	11	5	13	0	4	15	15	4	15	14	17	17	15
1707242343	18	0	11	5	13	0	4	15	15	4	15	14	17	17	15
1707250748	18	0	11	5	13	0	4	15	15	4	15	14	17	17	15
1707251027	18	0	11	5	13	0	4	15	15	4	15	14	2	17	15
1707251309	2	0	11	5	12	0	4	15	15	4	2	2	-5	3	15
1707251351	2	0	11	5	12	0	4	15	15	4	2	2	-5	3	15
1707251441	2	0	11	5	12	0	4	15	15	4	2	2	-5	3	15
1707251521	3	0	11	5	12	0	4	15	15	4	3	2	-5	3	15
1707251605	3	0	11	5	12	0	4	15	15	4	3	2	-5	3	15
1707251658	3	0	11	5	10	0	4	15	15	4	3	2	-5	3	15
1707251727	3	0	11	5	10	0	4	15	15	4	3	2	-5	3	15
1707251900	3	0	11	5	10	16	4	15	15	4	3	2	-5	3	15
1707251927	3	0	11	5	10	16	4	15	15	4	3	2	-5	3	15
1707252025	3	0	11	5	10	16	4	15	15	4	3	2	-5	3	15
1707252100	3	0	11	5	10	16	4	15	15	4	3	2	-5	3	15
1707252124	3	0	11	5	10	16	4	15	15	4	3	2	-5	3	15
1707252143	3	0	11	5	10	16	4	15	15	4	3	2	-5	3	15
1707252259	3	0	11	5	10	16	4	15	15	3	3	2	-5	3	15
1707252332	3	0	11	5	10	16	4	15	15	3	3	2	-5	3	15
1707260820	3	0	11	5	10	16	4	15	15	3	3	2	-5	3	15
1707261009	3	0	11	5	10	16	4	15	15	3	3	2	-5	3	15
1707261047	3	0	11	5	10	16	4	15	15	3	3	2	-5	3	15
1707261116	3	0	11	5	10	16	4	15	15	3	3	2	-5	3	15
1707261144	3	0	11	5	10	16	4	15	15	3	3	2	-5	3	15
1707261213	3	0	11	5	10	16	4	15	15	3	3	2	-5	3	15
1707261257	3	0	11	5	10	16	4	15	15	3	3	2	-5	3	15
1707261315	3	0	11	5	10	16	4	15	15	3	3	2	-5	3	15
1707261354	3	0	11	5	10	16	4	15	15	3	3	2	-5	3	15
1707261538	3	0	11	5	10	16	4	15	15	3	3	2	-5	3	15
1707261603	3	0	11	5	10	16	4	15	15	3	3	2	-5	3	15
1707261646	3	0	11	5	10	16	4	15	15	3	3	2	-5	3	15
1707261709	3	0	11	5	10	16	4	15	15	3	3	2	-5	3	15
1707261733	3	0	11	5	10	16	4	15	15	3	3	2	-5	3	15
1707261807	3	0	11	5	10	16	4	15	15	3	3	2	-5	3	15
1707261822	3	0	11	5	10	16	4	15	15	3	3	2	-5	3	15
1707261842	3	0	11	5	10	16	4	15	15	3	3	2	-5	3	15
1707261903	3	0	11	5	10	16	4	15	15	3	3	2	-5	3	15
1707261944	3	0	11	5	10	16	4	15	15	3	3	2	-5	3	15
1707262004	3	0	11	5	10	16	4	15	15	3	3	2	-5	3	15
1707262107	3	0	11	5	10	16	4	15	15	3	3	2	-5	3	15
