date	EECO5201_26640	EECO5202_26641	EECO5204_26642	EECO5206_26643	EECO5218_26644	EECO5221_26645	EECO5222_26646	EECO5223_26647	EECO5225_26648
1707240824	40	40	40	40	40	40	40	40	40
1707240905	40	40	40	40	40	40	40	40	40
1707240930	40	40	40	40	40	40	40	40	40
1707240941	40	40	40	40	40	40	40	40	40
1707241000	40	40	40	40	40	40	40	40	40
1707241012	40	40	40	40	40	40	40	40	40
1707241023	40	40	40	40	40	40	40	40	40
1707241039	40	40	40	40	40	40	40	40	40
1707241047	40	40	40	40	40	40	40	40	40
1707241055	40	40	40	40	40	40	40	40	40
1707241129	40	40	40	40	40	40	40	40	40
1707241147	40	40	40	40	40	40	40	40	40
1707241221	40	40	40	40	40	40	40	40	40
1707241307	40	40	40	40	40	40	40	40	40
1707241415	40	40	40	40	40	40	40	40	40
1707241512	38	38	38	38	36	36	35	36	36
1707241556	36	36	36	36	33	33	32	33	33
1707241623	36	36	36	36	33	33	32	33	33
1707241717	36	36	36	36	33	33	32	33	33
1707241814	36	36	36	36	31	31	30	32	32
1707241848	35	35	35	35	31	31	30	31	31
1707242034	33	33	33	33	30	30	29	30	30
1707242132	32	32	32	32	30	30	29	30	30
1707242210	32	32	32	32	30	30	29	30	30
1707242307	32	32	32	32	29	29	28	29	29
1707242329	32	32	32	32	29	29	28	29	29
1707242343	32	32	32	32	29	29	28	29	29
1707250748	32	32	32	32	29	29	28	29	29
1707251027	32	32	32	31	27	27	26	27	27
1707251309	31	31	31	31	27	27	26	27	27
1707251351	31	31	31	31	27	27	26	27	27
1707251441	31	31	31	31	27	27	26	27	27
1707251521	31	31	31	31	27	27	26	27	27
1707251605	30	30	30	30	27	27	26	27	27
1707251658	30	30	30	30	27	27	26	27	27
1707251727	30	30	30	30	27	27	26	27	27
1707251900	29	29	29	29	26	26	25	26	26
1707251927	29	29	29	29	26	26	25	26	26
1707252025	29	29	29	29	26	26	25	26	26
1707252100	29	29	29	29	26	26	25	26	26
1707252124	29	29	29	29	26	26	25	26	26
1707252143	29	29	29	29	26	26	25	26	26
1707252259	29	29	29	29	26	26	25	26	26
1707252332	29	29	29	29	26	26	25	26	26
1707260820	29	29	29	29	26	26	25	26	26
1707261009	28	28	28	28	26	26	25	26	26
1707261047	28	28	28	28	25	25	24	25	25
1707261116	28	28	28	28	25	25	24	25	25
1707261144	28	28	28	28	25	25	24	25	25
1707261213	28	28	28	28	25	25	24	25	25
1707261257	28	28	28	28	25	25	24	25	25
1707261315	28	28	28	28	25	25	24	25	25
1707261354	28	28	28	28	25	25	24	25	25
1707261538	28	28	28	28	25	25	24	25	25
1707261603	28	28	28	28	25	25	24	25	25
1707261646	28	28	28	28	25	25	24	25	25
1707261709	28	28	28	28	25	25	24	25	25
1707261733	28	28	28	28	25	25	24	25	25
1707261807	28	28	28	28	25	25	24	25	25
1707261822	28	28	28	28	25	25	24	25	25
1707261842	28	28	28	28	25	25	24	25	25
1707261903	28	28	28	28	25	25	24	25	25
1707261944	28	28	28	28	25	25	24	25	25
1707262004	28	28	28	28	25	25	24	25	25
1707262107	27	27	27	27	25	25	24	25	25
1707262125	27	27	27	27	25	25	24	25	25
1707262142	27	27	27	27	25	25	24	25	25
1707262337	26	26	26	26	25	25	24	25	25
1707270001	26	26	26	26	25	25	24	25	25
1707270737	26	26	26	26	25	25	24	25	25
1707270816	26	26	26	26	25	25	24	25	25
1707270840	26	26	26	26	25	25	24	25	25
1707270903	26	26	26	26	25	25	24	25	25
1707271009	26	26	26	26	25	25	24	25	25
1707271027	26	26	26	26	25	25	24	25	25
1707271053	26	26	26	26	25	25	24	25	25
1707271136	26	26	26	26	25	25	24	25	25
1707271218	26	26	26	26	25	25	24	25	25
1707271250	26	26	26	26	25	25	24	25	25
1707271309	26	26	26	26	25	25	24	25	25
1707271338	26	26	26	26	25	25	24	25	25
1707271422	26	26	26	26	25	25	24	25	25
1707271448	26	26	26	26	25	25	24	25	25
1707271510	26	26	26	26	25	25	24	25	25
1707271544	26	26	26	26	25	25	24	25	25
1707271643	26	26	26	26	25	25	24	25	25
1707271704	26	26	26	26	25	25	24	25	25
1707271720	26	26	26	26	25	25	24	25	25
1707271802	26	26	26	26	25	25	24	25	25
1707272002	26	26	26	26	25	25	24	25	25
1707272150	26	26	26	26	25	25	24	25	25
1707272237	26	26	26	26	25	25	24	25	25
1707281100	26	26	26	26	25	25	24	25	25
1707281233	26	26	26	26	25	25	24	25	25
1707281457	25	25	25	25	25	25	24	25	25
1707281621	25	25	25	25	25	25	24	25	25
1707281911	25	25	25	25	25	25	24	25	25
