date	EGOB1100B_22952	EGOB1100B_28114	EGOB1101B_28099	EGOB1104_28284	EGOB1105_24179	EGOB1106_25409	EGOB1112B_14552	EGOB1112B_22879	EGOB1201B_28102	EGOB1209B_17701	EGOB1209B_20937	EGOB1209B_20939	EGOB1211B_28207	EGOB1500_17235	EGOB2100_28211	EGOB2101_24181	EGOB2101C_24182	EGOB2103_28259	EGOB2104_28260	EGOB3007_28263	EGOB3009_28264	EGOB3019_18848	EGOB3020_18849	EGOB3021_18850	EGOB3023_23600	EGOB3112_25578	EGOB3115_28265	EGOB3506_26664	EGOB3510_28268	EGOB3511_28269	EGOB3513_26671	EGOB3901_21665	EGOB4003_15215	EGOB4004_24188	EGOB4100_13062	EGOB4103_24189	EGOB4104_13064	EGOB4105_28270	EGOB4106_28271	EGOB4107_28272	EGOB4109_13574	EGOB4110_10994	EGOB4112_15573	EGOB4112_26049	EGOB4112_26050	EGOB4112_26051	EGOB4112_26052	EGOB4112_26053	EGOB4112_26108	EGOB4112_26158	EGOB4113_11118	EGOB4115_13415	EGOB4119_28273	EGOB4122_21669	EGOB4211_23529	EGOB4803_28274	EGOB4804_28275	EGOB4808_28363	EGOB4818_26193	EGOB4820_28276	EGOB4821_28277	EGOB4822_28684
1707240824	82	83	112	87	70	89	40	83	85	39	42	42	57	0	60	30	30	45	45	19	25	0	0	0	0	15	45	30	30	0	20	0	0	0	30	40	50	35	45	0	40	30	0	0	0	0	0	0	0	0	20	6	40	5	0	35	35	20	0	0	20	0
1707240905	73	83	107	83	70	83	36	81	84	39	40	42	56	0	60	30	30	45	45	19	25	0	0	0	0	14	45	30	30	0	20	0	0	0	30	40	50	35	45	0	40	30	0	0	0	0	0	0	0	0	20	6	40	5	0	35	35	20	0	0	20	0
1707240930	66	82	102	79	70	76	34	76	84	38	40	42	56	0	60	30	30	45	45	19	25	0	0	0	0	14	45	30	30	0	20	0	0	0	30	40	50	35	45	0	40	30	0	0	0	0	0	0	0	0	20	6	40	5	0	35	35	20	0	0	20	0
1707240941	59	81	99	76	70	73	30	73	83	38	40	42	56	0	60	30	30	45	45	19	25	0	0	0	0	14	45	30	30	0	20	0	0	0	30	40	50	35	45	0	40	30	0	0	0	0	0	0	0	0	20	6	40	5	0	35	35	20	0	0	20	0
1707241000	58	82	97	75	70	73	28	70	82	37	40	42	56	0	60	30	30	45	45	19	25	0	0	0	0	14	45	30	30	0	20	0	0	0	30	40	50	35	45	0	40	30	0	0	0	0	0	0	0	0	20	6	40	5	0	35	35	20	0	0	20	0
1707241012	55	82	95	74	70	72	28	69	82	37	40	42	56	0	60	30	30	45	45	19	25	0	0	0	0	14	45	30	30	0	20	0	0	0	30	40	50	35	45	0	40	30	0	0	0	0	0	0	0	0	20	6	40	5	0	35	35	20	0	0	20	0
1707241023	54	81	94	74	70	72	27	69	82	37	40	42	56	0	60	30	30	45	45	19	25	0	0	0	0	14	45	30	30	0	20	0	0	0	30	40	50	35	45	0	40	30	0	0	0	0	0	0	0	0	20	6	40	5	0	35	35	20	0	0	20	0
1707241039	53	81	94	73	70	71	27	68	82	37	40	42	56	0	60	30	30	45	45	19	25	0	0	0	0	14	45	30	30	0	20	0	0	0	30	40	50	35	45	0	40	30	0	0	0	0	0	0	0	0	20	6	40	5	0	35	35	20	0	0	20	0
1707241047	52	81	92	73	70	71	28	66	80	37	40	42	56	0	60	30	30	45	45	19	25	0	0	0	0	13	45	30	30	0	20	0	0	0	28	38	48	35	43	0	40	30	0	0	0	0	0	0	0	0	20	6	40	5	0	35	35	20	0	0	20	0
1707241055	52	81	92	72	70	70	28	66	79	36	40	42	56	0	60	30	30	45	45	19	25	0	0	0	0	13	45	30	30	0	20	0	0	0	28	38	48	35	43	0	40	30	0	0	0	0	0	0	0	0	20	6	40	5	0	35	35	20	0	0	20	0
1707241129	50	81	91	71	70	68	27	66	79	37	39	42	56	0	60	30	30	45	45	19	25	0	0	0	0	13	45	30	30	0	20	0	0	0	25	35	43	35	41	0	40	30	0	0	0	0	0	0	0	0	20	6	40	5	0	35	35	19	0	0	20	0
1707241147	50	81	91	71	70	68	27	65	79	37	39	42	56	0	60	30	30	45	45	19	25	0	0	0	0	13	45	30	30	0	20	0	0	0	25	35	43	33	36	0	36	27	0	0	0	0	0	0	0	0	19	5	38	5	0	32	35	18	0	0	20	0
1707241221	51	81	91	71	70	67	27	63	78	37	39	42	56	0	60	30	30	45	45	19	25	0	0	0	0	13	45	30	30	0	20	0	0	0	25	35	43	32	35	0	36	27	0	0	-1	0	0	0	0	0	17	5	36	5	0	32	34	18	0	0	20	0
1707241307	50	81	91	71	70	67	27	63	79	37	39	42	56	0	60	30	30	45	45	19	25	0	0	0	0	13	45	30	30	0	20	0	0	0	25	35	43	32	34	0	35	26	0	-1	-1	-2	-1	0	0	0	17	5	35	5	0	30	33	16	0	0	19	0
1707241415	49	81	91	71	70	67	28	62	79	37	39	42	56	0	60	30	30	45	45	19	25	0	0	0	0	13	45	30	30	0	20	0	0	0	24	33	42	26	28	0	31	22	0	-1	-1	-2	-1	0	0	0	13	3	30	5	0	28	33	14	0	0	19	0
1707241512	47	79	88	70	70	66	27	59	77	36	39	42	56	0	58	30	30	45	45	19	25	0	0	0	0	13	44	30	30	0	20	0	0	0	22	31	39	20	24	0	23	17	0	-1	-1	-2	-1	0	0	0	12	2	29	5	0	28	32	13	0	0	18	0
1707241556	46	79	88	69	70	66	27	59	75	36	39	42	56	0	58	30	30	44	45	19	25	0	0	0	0	13	43	30	30	0	20	0	0	0	22	30	39	20	23	0	23	17	0	-1	-1	-2	-1	0	0	0	12	1	28	5	0	27	32	13	0	0	17	0
1707241623	46	79	88	68	70	66	27	59	74	34	39	42	56	0	58	30	30	44	45	19	25	0	0	0	0	13	43	30	30	0	20	0	0	0	22	30	39	20	23	0	23	17	0	-1	-1	-2	-1	0	0	0	12	1	28	5	0	27	32	13	0	0	17	0
1707241717	45	79	84	63	69	66	26	59	73	34	39	41	55	0	53	29	29	42	42	19	25	0	0	0	0	12	38	30	30	0	20	0	0	0	22	30	38	20	23	0	23	16	0	-1	-1	-2	-1	0	0	0	12	1	28	5	0	27	32	13	0	0	17	0
