date	EINT4000_18904	EINT4001_16124	EINT4201_17717	EINT4202_15581
1707240824	5	10	10	10
1707240905	5	10	10	10
1707240930	5	10	10	10
1707240941	5	10	10	10
1707241000	5	10	10	10
1707241012	5	10	10	10
1707241023	5	10	10	10
1707241039	5	10	9	10
1707241047	5	10	9	10
1707241055	5	10	9	10
1707241129	5	10	6	10
1707241147	5	10	4	9
1707241221	5	10	4	9
1707241307	5	10	4	10
1707241415	5	10	4	10
1707241512	5	10	4	8
1707241556	5	10	4	8
1707241623	5	10	4	8
1707241717	5	10	4	8
1707241814	5	10	3	8
1707241848	5	10	3	8
1707242034	5	10	3	8
1707242132	5	10	3	8
1707242210	5	10	3	8
1707242307	5	10	3	8
1707242329	5	10	3	8
1707242343	5	10	3	8
1707250748	5	10	3	8
1707251027	5	10	3	8
1707251309	5	10	3	8
1707251351	5	10	3	8
1707251441	5	10	3	8
1707251521	5	10	3	8
1707251605	5	10	3	8
1707251658	5	10	3	8
1707251727	5	10	3	7
1707251900	5	10	3	7
1707251927	5	10	3	7
1707252025	5	10	3	7
1707252100	5	10	3	7
1707252124	5	10	3	7
1707252143	5	10	3	7
1707252259	5	10	3	7
1707252332	5	10	3	7
1707260820	5	10	3	7
1707261009	5	10	3	7
1707261047	5	10	3	7
1707261116	5	10	3	7
1707261144	5	10	3	7
1707261213	5	10	3	7
1707261257	5	10	3	6
1707261315	5	10	3	6
1707261354	5	10	3	6
1707261538	5	10	3	6
1707261603	5	10	3	6
1707261646	5	10	3	6
1707261709	5	10	3	6
1707261733	5	10	3	6
1707261807	5	10	3	6
1707261822	5	10	3	6
1707261842	5	10	3	6
1707261903	5	10	3	6
1707261944	5	10	3	6
1707262004	5	10	3	6
1707262107	5	10	3	6
1707262125	5	10	3	6
1707262142	5	10	3	6
1707262337	5	10	3	6
1707270001	5	10	3	6
1707270737	5	10	3	6
1707270816	5	10	3	6
1707270840	5	10	3	6
1707270903	5	10	3	6
1707271009	5	10	3	6
1707271027	5	10	3	6
1707271053	5	10	3	6
1707271136	5	10	3	6
1707271218	5	10	3	6
1707271250	5	10	3	6
1707271309	5	10	3	6
1707271338	5	10	3	6
1707271422	5	10	3	6
1707271448	5	10	3	6
1707271510	5	10	3	6
1707271544	5	10	3	6
1707271643	5	10	3	6
1707271704	5	10	3	6
1707271720	5	10	3	6
1707271802	5	10	3	6
1707272002	5	10	3	6
1707272150	5	10	3	6
1707272237	5	10	3	6
1707281100	5	10	3	6
1707281233	5	10	3	6
1707281457	5	10	3	6
1707281621	5	10	3	6
1707281911	5	10	3	6
