date	FILO1000B_26686	FILO1010_10019	FILO1100B_26687	FILO1130B_26688	FILO1281A_24207	FILO1292B_24208	FILO1391A_26690	FILO1392A_24211	FILO1398B_26692	FILO2100_26693	FILO2120B_26694	FILO2140_26695	FILO2529_26696	FILO2530_24221	FILO3010_10498	FILO3020_13249	FILO3213_24222	FILO3214_24223	FILO3217_26697	FILO3413_26699	FILO3414_28586	FILO3991_17729	FILO3992_13611	FILO3993_26700	FILO4800_11513	FILO4810_10432	FILO4811_10563	FILO4812_23666	FILO6960_24236	FILO6961_21707	FILO6970_21708	FILO6980_21709	FILO6981_21710	FILO6982_21711	FILO6983_21712	FILO6990_21713
1707240824	47	79	47	47	43	56	46	34	77	45	56	50	40	120	10	10	5	5	25	30	30	0	0	0	14	10	0	0	5	5	2	5	5	5	0	0
1707240905	44	75	46	43	42	56	46	34	77	45	56	50	40	120	10	10	5	5	25	30	30	0	0	0	14	10	0	0	5	5	2	5	5	5	0	0
1707240930	43	74	45	42	42	55	45	34	77	45	56	50	40	120	10	10	5	5	25	30	30	0	0	0	14	10	0	0	5	5	2	5	5	5	0	0
1707240941	43	73	45	43	41	55	45	33	77	45	56	50	40	120	10	10	5	5	25	30	30	0	0	0	14	10	0	0	5	5	2	5	5	5	0	0
1707241000	43	73	45	43	41	55	44	33	77	45	56	50	40	120	10	10	5	5	25	30	30	0	0	0	14	10	0	0	5	5	2	5	5	5	0	0
1707241012	42	72	44	42	40	55	45	33	77	45	56	50	40	120	10	10	5	5	25	30	30	0	0	0	14	10	0	0	5	5	2	5	5	5	0	0
1707241023	42	72	44	42	39	54	45	33	77	45	56	50	40	120	10	10	5	5	25	30	30	0	0	0	14	10	0	0	5	5	2	5	5	5	0	0
1707241039	41	71	43	41	37	54	45	33	77	45	56	50	40	120	10	10	5	5	25	30	30	0	0	0	14	10	0	0	5	5	2	5	5	5	0	0
1707241047	41	70	43	41	38	54	45	33	77	45	56	50	40	120	10	10	5	5	25	29	30	0	0	0	11	10	0	0	5	5	2	5	5	5	0	0
1707241055	41	70	43	41	38	54	45	33	77	45	56	50	40	120	10	10	5	5	25	29	30	0	0	0	11	10	0	0	5	5	2	5	5	5	0	0
1707241129	40	69	42	40	36	54	45	33	77	45	56	50	40	120	10	10	5	5	25	29	30	0	0	0	10	10	0	0	5	5	2	5	5	5	0	0
