date	GEOC0000_21006	GEOC0001_21007	GEOC1002_14987	GEOC1002_14989	GEOC1002_15011	GEOC1002_15012	GEOC1002_15013	GEOC1022_11533	GEOC1023_18727	GEOC1023_18728	GEOC1312B_26715	GEOC1416B_26716	GEOC1611B_26717	GEOC2040_26718	GEOC2041_26719	GEOC2041_28135	GEOC2041_28139	GEOC2041_28140	GEOC2041_28143	GEOC2048_26720	GEOC2049_26721	GEOC2049_28147	GEOC2049_28155	GEOC2049_28158	GEOC2057_24261	GEOC3018_26722	GEOC3019_26723	GEOC3019_28159	GEOC3019_28160	GEOC3019_28161	GEOC3019_28219	GEOC3019_28220	GEOC3019_28221	GEOC3019_28222	GEOC3028_26724	GEOC3029_26725	GEOC3029_28163	GEOC3029_28164	GEOC3029_28165	GEOC3029_28166	GEOC3029_28223	GEOC3029_28224	GEOC3029_28225	GEOC3029_28226	GEOC3029_28227	GEOC3050_23531	GEOC3057_26726	GEOC3098_26727	GEOC3099_15209	GEOC3302_26728	GEOC3401_26729	GEOC3601_26730	GEOC3602_26731	GEOC3602_28174	GEOC3991_23653
1707240824	29	0	76	76	76	72	75	30	15	15	85	85	82	80	15	15	15	15	15	70	15	15	15	15	50	70	0	0	0	0	15	15	15	15	80	0	0	0	0	0	15	15	15	15	15	50	60	0	0	30	30	30	15	15	0
1707240905	27	0	76	74	76	72	76	30	15	15	85	85	82	80	15	15	15	15	15	70	15	15	15	15	50	70	0	0	0	0	15	15	15	15	80	0	0	0	0	0	15	15	15	15	15	50	60	0	0	30	30	30	15	15	0
1707240930	26	0	76	72	75	71	76	30	15	15	85	85	82	80	15	15	15	15	15	70	15	15	15	15	50	70	0	0	0	0	15	15	15	15	80	0	0	0	0	0	15	15	15	15	15	50	60	0	0	30	30	30	15	15	0
1707240941	24	0	76	72	75	68	74	30	15	15	85	84	81	80	15	15	15	15	15	70	15	15	15	15	50	70	0	0	0	0	15	15	15	15	80	0	0	0	0	0	15	15	15	15	15	50	60	0	0	30	30	30	15	15	0
1707241000	24	0	76	72	75	68	74	30	15	15	85	84	81	80	15	15	15	15	15	70	15	15	15	15	50	70	0	0	0	0	15	15	15	15	80	0	0	0	0	0	15	15	15	15	15	50	60	0	0	30	30	30	15	15	0
1707241012	21	0	76	71	75	66	73	30	15	15	85	84	81	80	15	15	15	15	15	70	15	15	15	15	50	70	0	0	0	0	15	15	15	15	80	0	0	0	0	0	15	15	15	15	15	50	60	0	0	30	30	30	15	15	0
1707241023	21	0	76	71	74	66	73	29	14	15	85	84	81	80	15	15	15	15	15	70	15	15	15	15	50	70	0	0	0	0	15	15	15	15	80	0	0	0	0	0	15	15	15	15	15	50	60	0	0	30	30	30	15	15	0
1707241039	20	0	76	71	74	65	73	29	14	15	85	84	81	80	15	15	15	15	15	70	15	15	15	15	50	70	0	0	0	0	15	15	15	15	80	0	0	0	0	0	15	15	15	15	15	50	60	0	0	30	30	30	15	15	0
1707241047	20	0	76	71	74	65	73	29	14	15	85	84	81	80	15	15	15	15	15	70	15	15	15	15	50	70	0	0	0	0	15	15	15	15	80	0	0	0	0	0	15	15	15	15	15	50	60	0	0	30	30	30	15	15	0
1707241055	20	0	76	71	74	65	73	29	14	15	85	84	81	80	15	15	15	15	15	70	15	15	15	15	50	70	0	0	0	0	15	15	15	15	80	0	0	0	0	0	15	15	15	15	15	50	60	0	0	30	30	30	15	15	0
1707241129	20	0	76	71	74	65	73	29	14	15	85	84	81	80	15	15	15	15	15	70	15	15	15	15	50	70	0	0	0	0	15	15	15	15	80	0	0	0	0	0	15	15	15	15	15	50	60	0	0	30	30	30	15	15	0
1707241147	20	0	76	70	74	65	73	29	14	15	85	84	81	80	15	15	15	15	15	70	15	15	15	15	50	70	0	0	0	0	15	15	15	15	80	0	0	0	0	0	15	15	15	15	15	50	60	0	0	30	30	30	15	15	0
