date	GPUB5601_26732	GPUB5602_26733	GPUB5603_26734
1707240824	60	60	60
1707240905	60	60	60
1707240930	60	60	60
1707240941	60	60	60
1707241000	60	60	60
1707241012	60	60	60
1707241023	60	60	60
1707241039	60	60	60
1707241047	60	60	60
1707241055	60	60	60
1707241129	60	60	60
1707241147	60	60	60
1707241221	60	60	60
1707241307	60	60	60
1707241415	60	60	60
1707241512	60	60	60
1707241556	60	60	60
1707241623	60	60	60
1707241717	60	60	60
1707241814	60	60	60
1707241848	60	60	60
1707242034	60	60	60
1707242132	60	60	60
1707242210	60	60	60
1707242307	60	60	60
1707242329	60	60	60
1707242343	60	60	60
1707250748	60	60	60
1707251027	60	60	60
1707251309	20	20	21
1707251351	20	20	21
1707251441	20	20	21
1707251521	20	20	21
1707251605	20	20	21
1707251658	20	20	21
1707251727	20	20	21
1707251900	20	20	21
1707251927	20	20	21
1707252025	20	20	21
1707252100	20	20	21
1707252124	20	20	21
1707252143	20	20	21
1707252259	20	20	21
1707252332	20	20	21
1707260820	20	20	21
1707261009	20	20	21
1707261047	20	20	21
1707261116	20	20	21
1707261144	20	20	21
1707261213	20	20	21
1707261257	20	20	21
1707261315	20	20	21
1707261354	20	20	21
1707261538	20	20	21
1707261603	20	20	21
1707261646	20	20	21
1707261709	20	20	21
1707261733	20	20	21
1707261807	20	20	21
1707261822	20	20	21
1707261842	20	20	21
1707261903	20	20	21
1707261944	20	20	21
1707262004	20	20	21
1707262107	20	20	21
1707262125	20	20	21
1707262142	20	20	21
1707262337	20	20	21
1707270001	20	20	21
1707270737	20	20	21
1707270816	20	20	21
1707270840	20	20	21
1707270903	20	20	21
1707271009	20	20	21
1707271027	20	20	21
1707271053	20	20	21
1707271136	20	20	21
1707271218	20	20	21
1707271250	20	20	21
1707271309	20	20	21
1707271338	20	20	21
1707271422	20	20	21
1707271448	20	20	21
1707271510	20	20	21
1707271544	20	20	21
1707271643	20	20	21
1707271704	20	20	21
1707271720	20	20	21
1707271802	20	20	21
1707272002	20	20	21
1707272150	20	20	21
1707272237	20	20	21
1707281100	20	20	21
1707281233	19	19	20
1707281457	19	19	20
1707281621	19	19	20
1707281911	19	19	20
