date	HART1101A_12044	HART1104A_24276	HART1107A_26735	HART1130A_21769	HART1341B_12046	HART1410B_26736	HART1442B_26737	HART1523B_16736	HART1541B_12047	HART1605A_26738	HART2103_26739	HART2200_26740	HART2241_26741	HART3445_26742	HART3531_26743	HART3990_15616	HART3991_14574
1707240824	126	33	35	44	74	47	46	59	63	23	45	35	35	20	19	20	999
1707240905	117	31	33	43	74	47	45	59	63	23	45	35	35	20	19	20	999
1707240930	114	29	33	43	73	47	45	59	63	23	45	35	35	20	19	20	999
1707240941	109	29	33	43	73	47	45	59	63	23	45	35	35	20	19	20	999
1707241000	108	29	33	43	73	47	45	58	63	23	45	35	35	20	19	20	999
1707241012	106	29	33	43	73	47	45	58	63	23	45	35	35	20	19	20	999
1707241023	103	28	33	43	73	47	45	58	63	23	45	35	35	20	19	20	999
1707241039	100	28	33	42	73	47	45	58	63	23	45	35	35	20	19	20	999
1707241047	100	28	32	42	73	46	45	58	63	23	45	34	34	20	18	20	999
1707241055	100	28	32	42	73	46	45	58	63	23	45	34	34	20	18	20	999
1707241129	99	28	32	42	73	46	45	58	63	23	45	34	34	20	18	20	999
1707241147	99	28	32	42	73	46	45	58	63	23	45	34	34	20	18	20	999
1707241221	98	28	32	42	73	46	45	59	63	22	45	34	34	20	18	20	999
1707241307	98	28	32	42	73	46	45	59	63	22	45	34	34	20	18	20	999
1707241415	98	28	32	42	73	46	44	59	63	22	45	34	34	20	18	20	999
1707241512	97	27	32	38	72	46	44	59	62	22	45	33	33	20	17	20	999
1707241556	95	27	31	38	72	46	44	59	62	22	45	32	31	18	15	17	998
1707241623	95	27	31	38	72	46	44	57	62	22	44	31	31	18	15	15	998
1707241717	93	27	28	36	72	45	43	56	62	21	43	30	30	17	13	15	998
1707241814	93	27	28	36	72	45	43	56	62	21	43	30	30	17	13	15	998
1707241848	93	27	28	36	72	44	43	56	62	21	43	30	30	17	13	15	998
1707242034	93	27	28	35	72	44	43	56	62	21	43	30	30	17	13	15	998
1707242132	93	27	28	35	72	44	43	56	62	21	43	30	30	17	13	15	998
1707242210	93	27	28	35	72	44	43	56	62	21	43	30	30	17	13	15	998
1707242307	93	27	28	35	72	44	43	56	62	21	43	29	30	17	13	15	998
1707242329	93	27	28	35	72	44	43	56	62	21	43	29	30	17	13	15	998
1707242343	93	27	28	35	72	44	43	56	62	21	43	29	30	17	13	15	998
1707250748	92	27	28	36	72	44	43	56	62	21	43	29	30	17	13	15	998
1707251027	149	44	43	54	72	44	42	54	60	33	40	26	30	12	6	15	997
1707251309	139	40	40	39	69	43	42	48	60	33	38	24	29	9	3	15	997
1707251351	139	40	40	39	69	43	42	48	60	33	38	24	29	9	3	15	997
1707251441	138	36	40	32	68	41	41	47	59	33	37	21	27	6	0	15	997
1707251521	131	35	39	30	67	41	40	45	59	33	37	20	27	5	0	15	997
1707251605	128	35	36	24	66	41	39	44	58	32	35	19	26	4	0	15	997
1707251658	122	32	34	17	64	39	37	36	56	30	34	14	25	2	0	15	997
1707251727	122	31	35	16	64	39	37	36	56	30	34	14	25	2	0	15	997
1707251900	122	31	35	16	63	39	37	36	56	30	34	14	25	2	0	15	997
1707251927	122	31	35	16	64	39	37	36	56	30	34	14	25	2	0	15	997
1707252025	122	31	35	16	64	39	37	36	56	30	34	14	25	2	0	15	997
1707252100	122	31	35	16	64	39	37	36	56	30	34	14	25	2	0	15	997
1707252124	122	31	35	16	64	39	37	36	56	30	34	14	25	2	0	15	997
1707252143	122	31	35	16	64	39	37	36	56	30	34	14	25	2	0	15	997
1707252259	122	29	36	16	64	39	37	36	56	30	34	14	25	2	0	15	997
1707252332	121	29	35	16	64	39	37	36	56	30	34	14	25	2	0	15	997
1707260820	141	32	38	19	63	39	36	34	56	34	34	14	25	2	0	15	997
1707261009	130	29	29	9	54	36	32	16	52	34	32	8	20	0	0	15	997
1707261047	128	28	28	8	50	36	31	13	51	34	32	7	18	0	0	15	997
1707261116	125	28	23	1	46	35	30	6	50	34	33	6	16	0	0	15	997
1707261144	125	27	20	0	46	35	30	3	50	34	31	6	16	0	0	15	997
1707261213	124	25	19	0	46	34	29	3	50	34	31	6	15	0	0	15	997
1707261257	123	24	19	0	46	34	29	3	50	34	31	6	15	0	0	15	997
1707261315	124	24	19	0	46	34	29	2	50	34	31	6	15	0	0	15	997
1707261354	124	24	18	0	46	34	29	2	49	34	31	7	15	1	0	15	997
1707261538	108	4	0	0	32	30	25	0	45	31	29	2	12	1	0	15	997
1707261603	106	0	0	0	24	30	25	0	45	31	28	1	12	1	0	15	997
1707261646	96	0	0	0	13	30	19	0	45	31	27	0	11	0	0	15	997
1707261709	93	0	0	0	13	30	19	0	44	31	26	0	11	0	0	15	997
1707261733	90	0	0	0	12	29	20	0	44	30	26	0	11	0	0	15	997
1707261807	89	0	0	0	11	29	19	0	44	29	26	0	11	0	0	15	997
1707261822	88	0	0	0	11	29	19	0	44	29	26	0	11	0	0	15	997
1707261842	87	0	0	0	11	29	18	0	44	29	25	0	11	0	0	15	997
1707261903	87	0	0	0	11	29	18	0	44	29	25	0	11	0	0	15	997
1707261944	86	0	0	0	11	29	17	0	44	28	25	0	11	0	0	15	997
1707262004	86	0	0	0	12	29	17	0	44	28	25	0	11	0	0	15	997
1707262107	86	0	0	0	12	29	16	1	44	28	25	0	11	0	0	15	997
1707262125	86	0	0	0	11	29	16	1	44	28	25	0	11	0	0	15	997
1707262142	86	0	0	0	11	29	16	1	44	28	25	0	11	0	0	15	997
1707262337	85	0	1	0	12	29	16	0	44	27	25	0	11	0	0	15	997
1707270001	85	0	1	0	12	29	16	0	44	27	25	0	11	0	0	15	997
1707270737	85	0	1	0	12	28	16	0	44	28	25	0	11	0	0	15	997
1707270816	85	0	1	0	12	28	16	0	44	28	25	0	11	0	0	15	997
1707270840	85	0	0	0	12	28	16	0	44	28	25	0	11	0	0	15	997
1707270903	85	0	0	0	12	28	16	0	44	28	25	0	11	0	0	15	997
1707271009	83	0	0	0	12	28	16	0	44	27	25	0	11	0	0	15	997
1707271027	83	0	0	0	12	28	16	0	44	27	25	0	11	0	0	15	997
1707271053	83	0	0	0	12	28	16	0	44	27	25	0	11	0	0	15	997
1707271136	83	0	0	0	11	28	16	0	44	27	25	0	11	0	0	15	997
1707271218	83	0	0	0	11	28	16	0	44	27	25	0	11	0	0	15	997
1707271250	83	0	0	0	11	28	16	0	44	27	25	0	11	0	0	15	997
1707271309	83	0	0	0	11	28	16	0	44	26	25	0	11	0	0	15	997
1707271338	83	0	0	0	11	28	16	0	44	26	25	0	11	0	0	15	997
1707271422	83	0	0	0	10	28	16	0	43	26	25	1	11	0	0	15	997
1707271448	82	0	0	0	10	28	16	0	43	26	25	1	11	0	0	15	997
1707271510	80	0	0	0	10	28	16	0	43	26	25	1	11	0	0	15	997
1707271544	79	0	0	0	10	28	16	0	43	26	25	1	11	0	0	15	997
1707271643	79	0	0	0	10	28	16	0	43	26	25	1	11	0	0	15	997
1707271704	79	0	0	0	10	28	16	0	43	26	25	1	11	0	0	15	997
1707271720	79	0	0	0	10	28	16	0	43	26	25	1	11	0	0	15	997
1707271802	79	0	0	0	10	28	16	0	43	26	25	1	11	0	0	15	997
1707272002	79	0	0	0	10	28	16	0	43	26	25	1	11	0	0	15	997
1707272150	79	0	0	0	10	28	16	0	43	26	25	1	11	0	0	15	997
1707272237	79	0	0	0	10	28	16	0	43	26	25	1	11	0	0	15	997
1707281100	79	0	0	0	10	28	16	0	43	26	25	1	11	0	0	15	997
1707281233	79	0	0	0	10	28	16	0	43	26	25	1	11	0	0	15	997
1707281457	79	2	0	0	10	28	16	0	43	26	25	1	11	0	0	15	997
1707281621	79	2	0	0	10	28	16	0	43	26	25	1	11	0	0	15	997
1707281911	79	2	0	0	10	28	16	0	30	26	25	1	11	0	0	15	997
