date	HDIG4000_25607	HDIG4001_25615	HDIG4004_27347	HDIG4005_27349
1707240824	25	15	15	15
1707240905	25	15	15	15
1707240930	25	15	15	15
1707240941	25	15	15	15
1707241000	25	15	15	15
1707241012	25	15	15	15
1707241023	25	15	15	15
1707241039	25	15	15	15
1707241047	22	12	15	14
1707241055	21	11	15	14
1707241129	19	9	15	14
1707241147	19	8	14	14
1707241221	18	7	14	14
1707241307	18	6	14	14
1707241415	18	6	12	13
1707241512	16	4	10	13
1707241556	15	2	10	13
1707241623	15	2	10	13
1707241717	13	0	9	13
1707241814	13	0	8	13
1707241848	13	0	8	13
1707242034	13	0	8	13
1707242132	13	0	8	13
1707242210	12	0	8	13
1707242307	12	0	8	13
1707242329	12	0	7	13
1707242343	12	0	7	13
1707250748	12	0	5	11
1707251027	12	0	4	11
1707251309	12	0	4	10
1707251351	12	0	4	10
1707251441	11	0	5	10
1707251521	11	0	5	10
1707251605	11	0	5	10
1707251658	11	0	5	10
1707251727	11	0	4	10
1707251900	11	0	4	10
1707251927	11	0	4	10
1707252025	11	0	4	10
1707252100	11	0	4	10
1707252124	11	0	4	10
1707252143	11	0	4	10
1707252259	11	0	4	10
1707252332	11	0	4	10
1707260820	11	0	4	10
1707261009	11	0	4	10
1707261047	10	0	4	10
1707261116	9	0	4	10
1707261144	9	0	4	10
1707261213	9	0	4	10
1707261257	9	0	4	10
1707261315	9	0	4	10
1707261354	9	0	4	10
1707261538	9	0	4	10
1707261603	9	0	4	10
1707261646	9	0	4	10
1707261709	9	0	4	10
1707261733	9	0	4	10
1707261807	9	0	4	10
1707261822	9	0	4	10
1707261842	9	0	4	10
1707261903	9	0	4	10
1707261944	9	0	4	10
1707262004	9	0	4	10
1707262107	9	0	4	10
1707262125	9	0	4	10
1707262142	9	0	4	10
1707262337	8	0	2	9
1707270001	8	0	2	9
1707270737	8	0	2	9
1707270816	8	0	2	9
1707270840	8	0	2	9
1707270903	8	0	2	9
1707271009	8	0	2	9
1707271027	8	0	2	9
1707271053	8	0	2	9
1707271136	8	0	2	9
1707271218	8	0	2	9
1707271250	8	0	2	9
1707271309	8	0	2	9
1707271338	8	0	2	9
1707271422	8	0	2	9
1707271448	8	0	2	9
1707271510	8	0	2	9
1707271544	7	0	2	9
1707271643	8	0	2	9
1707271704	8	0	2	9
1707271720	8	0	2	9
1707271802	8	0	2	9
1707272002	8	0	2	9
1707272150	8	0	2	9
1707272237	8	0	2	9
1707281100	8	0	2	9
1707281233	8	0	2	9
1707281457	8	0	2	9
1707281621	8	0	2	9
1707281911	8	0	2	9
