date	HIST1101_12078	HIST1102_10079	HIST1417B_11546	HIST1605A_10600	HIST1706B_16151	HIST2101_28103	HIST2104_27497	HIST2202B_27829	HIST2204A_13418	HIST2204A_18530	HIST2205A_10632	HIST2300B_11222	HIST2303B_28020	HIST2305B_27754	HIST2333B_27771	HIST2406B_27743	HIST2412B_21787	HIST2420A_25632	HIST2420A_28736	HIST2422A_13109	HIST2500B_28351	HIST3101_10102	HIST3103_10974	HIST3104_12092	HIST3106_13419	HIST3400_28612	HIST3409_25629	HIST3513_28611	HIST3600_13157	HIST3990_15628	HIST3991_13420	HIST3992_13421	HIST3993_11314	HIST3996_28653	HIST3997_28654	HIST4705_12516	HIST4707_12519	HIST4709_11673	HIST4710_14125	HIST4800_25564	HIST4801_12524	HIST4802_11623	HIST4990_13797	HIST6007_21797	HIST6008_12048	HIST6970_12533	HIST6980_12534	HIST6981_12544	HIST6982_12545	HIST6983_12549	HIST6984_12550	HIST6985_12551	HIST6990_23570	HIST6997_21799
1707240824	30	25	57	122	77	25	25	27	57	56	65	27	27	47	76	33	77	40	0	55	37	15	15	10	10	15	20	15	10	10	10	10	10	0	0	20	20	70	15	15	25	20	15	2	10	10	15	15	15	15	15	15	5	0
1707240905	25	25	57	120	77	25	25	25	57	55	63	27	25	47	76	33	76	39	0	52	35	15	15	10	10	15	19	15	10	10	10	10	10	0	0	20	20	70	15	15	25	20	15	2	10	10	15	15	15	15	15	15	5	0
1707240930	25	25	57	120	77	25	25	25	57	55	61	27	25	47	76	33	76	39	0	51	35	15	15	10	10	15	19	15	10	10	10	10	10	0	0	20	20	70	15	15	25	20	15	2	10	10	15	15	15	15	15	15	5	0
1707240941	23	25	57	119	77	25	25	25	56	54	58	27	24	47	76	33	76	39	0	51	35	15	15	10	10	15	19	15	10	10	10	10	10	0	0	20	20	70	15	15	25	20	15	2	10	10	15	15	15	15	15	15	5	0
1707241000	23	25	57	119	77	25	25	25	56	53	57	27	24	47	76	33	76	38	0	50	35	15	15	10	10	15	19	15	10	10	10	10	10	0	0	20	20	70	15	15	25	20	15	2	10	10	15	15	15	15	15	15	5	0
1707241012	21	25	57	117	77	25	25	25	56	51	57	27	23	47	76	33	76	38	0	48	35	15	15	10	10	15	19	15	10	10	10	10	10	0	0	20	20	70	15	15	25	20	15	2	10	10	15	15	15	15	15	15	5	0
1707241023	21	25	57	117	77	25	25	25	56	50	57	27	23	47	76	33	76	38	0	47	35	15	15	10	10	15	19	15	10	10	10	10	10	0	0	20	20	70	15	15	25	20	15	2	10	10	15	15	15	15	15	15	5	0
1707241039	21	25	57	116	77	25	25	25	56	49	59	27	23	47	76	33	76	38	0	49	35	15	15	10	10	15	19	15	10	10	10	10	10	0	0	20	20	70	15	15	25	20	15	2	10	10	15	15	15	15	15	15	5	0
1707241047	21	25	57	116	77	24	24	25	56	49	59	27	23	47	76	32	76	38	0	49	35	15	15	10	10	15	19	15	10	10	10	10	10	0	0	20	20	70	15	15	25	20	15	2	10	10	15	15	15	15	15	15	5	0
1707241055	21	25	57	116	77	24	24	25	56	49	59	27	23	47	76	32	76	38	0	49	35	15	15	10	10	15	19	15	10	10	10	10	10	0	0	20	20	70	15	15	25	20	15	2	10	10	15	15	15	15	15	15	5	0
