date	IELE1000_16750	IELE1000C_12592	IELE1000C_13115	IELE1000C_16757	IELE1000C_25795	IELE1000C_25796	IELE1000C_25797	IELE1000L_16766	IELE1000L_16767	IELE1000L_16768	IELE1000L_25800	IELE1002_12095	IELE1002_20906	IELE1002L_13618	IELE1002L_13619	IELE1002L_14092	IELE1002L_14133	IELE1002L_23258	IELE1006_13425	IELE1006_25803	IELE1006L_13630	IELE1006L_13631	IELE1006L_15220	IELE1006L_15269	IELE1006L_23279	IELE1010_13288	IELE1010_25672	IELE1010L_13281	IELE1010L_14856	IELE1010L_18681	IELE1010L_25804	IELE1010L_25805	IELE1080_24496	IELE1080_25676	IELE1400_23169	IELE1400_27889	IELE1400L_13633	IELE1400L_14858	IELE1400L_23262	IELE1400L_23263	IELE1502_13428	IELE1502L_13609	IELE1502L_23264	IELE1502L_23568	IELE1502L_25807	IELE1502L_25809	IELE1502L_27986	IELE1999_13476	IELE2000_10833	IELE2002_10834	IELE2002C_12644	IELE2002L_13635	IELE2002L_13636	IELE2002L_23265	IELE2002L_25810	IELE2009_13799	IELE2009L_13852	IELE2009L_14863	IELE2009L_25811	IELE2010_13637	IELE2010L_13638	IELE2010L_13639	IELE2010L_23266	IELE2010L_25812	IELE2040B_26860	IELE2042B_15084	IELE2044B_26861	IELE2080_24499	IELE2081_24500	IELE2100_10835	IELE2100L_13640	IELE2100L_14066	IELE2100L_14067	IELE2100L_14883	IELE2100L_14884	IELE2206_13429	IELE2206L_13641	IELE2206L_13642	IELE2206L_14096	IELE2206L_25818	IELE2210_24501	IELE2210_25680	IELE2210L_24502	IELE2210L_25681	IELE2210L_25683	IELE2210L_25686	IELE2210L_25687	IELE2300_10931	IELE2300_10968	IELE2300_10969	IELE2300L_13646	IELE2300L_13647	IELE2300L_13648	IELE2300L_13649	IELE2300L_15061	IELE2300L_15062	IELE2300L_15063	IELE2300L_15064	IELE2300L_16786	IELE2300L_20916	IELE2300L_25821	IELE2402_13477	IELE2402L_13650	IELE2402L_13651	IELE2402L_23270	IELE2500_13548	IELE2500L_13549	IELE2500L_14097	IELE2500L_14893	IELE2500L_25859	IELE2900_11068	IELE2901_24503	IELE3000_11173	IELE3001_10450	IELE3002_10451	IELE3006_10836	IELE3006L_14079	IELE3006L_14894	IELE3087_26862	IELE3088_26863	IELE3090_13853	IELE3100_26864	IELE3102_26865	IELE3106_26866	IELE3108_13430	IELE3150_26867	IELE3200_10932	IELE3200L_13660	IELE3200L_20922	IELE3208_12173	IELE3222_26868	IELE3222L_26869	IELE3222L_28132	IELE3330_13803	IELE3336_26870	IELE3430_13804	IELE4000_10553	IELE4001_11363	IELE4002_10554	IELE4003_11059	IELE4005_11542	IELE4010_10509	IELE4011_10693	IELE4014_26872	IELE4020_10555	IELE4021_10510	IELE4024_13854	IELE4070_12049	IELE4107_28239	IELE4108_26873	IELE4109_26874	IELE4215_26876	IELE4302_26877	IELE4311_26878	IELE4402_26879	IELE6002_14119	IELE6003_24518	IELE6007_21210	IELE6402_13855	IELE6970_13856	IELE6980_13857	IELE6981_24519	IELE6982_13859	IELE6983_26880	IELE6990_16804	IELE6997_24520
1707240824	48	6	6	6	2	5	5	1	5	6	6	50	50	18	18	18	18	14	68	34	16	16	16	16	16	42	36	16	16	16	16	16	24	24	60	44	18	18	18	18	64	12	12	12	12	12	18	50	10	62	62	14	14	14	14	46	15	20	15	64	16	16	16	16	37	60	33	0	0	64	13	13	13	13	13	60	14	14	14	14	54	40	18	18	18	18	18	76	69	44	18	18	18	18	18	16	18	16	18	18	18	44	12	12	12	64	16	16	16	16	0	0	52	36	36	44	16	16	1	1	12	24	44	30	24	0	50	12	12	24	44	20	20	24	44	18	24	24	24	1	1	40	30	36	24	24	1	0	35	40	24	24	24	28	32	1	4	1	10	10	20	12	20	20	10	2
1707240905	40	4	5	5	0	4	4	0	1	3	6	50	50	18	18	18	18	14	68	34	16	16	16	16	16	42	36	16	16	16	16	16	24	24	60	43	17	18	18	18	64	12	12	12	12	12	18	50	10	62	62	14	14	14	14	46	15	20	15	64	16	16	16	16	37	57	33	0	0	64	13	13	13	13	13	60	14	14	14	14	54	39	18	17	18	18	18	76	69	44	18	18	18	18	18	16	18	16	18	18	18	44	12	12	12	64	16	16	16	16	0	0	52	36	36	44	16	16	1	1	12	24	44	30	24	0	50	12	12	24	44	20	20	24	44	18	24	24	24	1	1	40	30	36	24	24	1	0	35	40	24	24	24	28	32	1	4	1	10	10	20	12	20	20	10	2
1707240930	36	4	4	5	0	1	4	0	0	0	6	50	50	18	18	18	18	14	68	34	16	16	16	16	16	42	36	16	16	16	16	16	24	24	60	43	17	18	18	18	64	12	12	12	12	12	18	50	10	62	62	14	14	14	14	46	15	20	15	64	16	16	16	16	37	54	33	0	0	64	13	13	13	13	13	60	14	14	14	14	54	39	18	17	18	18	18	76	69	44	18	18	18	18	18	16	18	16	18	18	18	44	12	12	12	64	16	16	16	16	0	0	52	36	36	44	16	16	1	1	12	24	44	30	24	0	50	12	12	24	44	20	20	24	44	18	24	24	24	1	1	40	30	36	24	24	1	0	35	40	24	24	24	28	32	1	4	1	10	10	20	12	20	20	10	2
1707240941	32	2	3	5	0	0	1	0	0	0	2	50	50	18	18	18	18	14	68	34	16	16	16	16	16	42	36	16	16	16	16	16	24	24	60	43	17	18	18	18	64	12	12	12	12	12	18	50	10	62	62	14	14	14	14	46	15	20	15	64	16	16	16	16	37	54	33	0	0	64	13	13	13	13	13	60	14	14	14	14	54	39	18	17	18	18	18	76	69	44	18	18	18	18	18	16	18	16	18	18	18	44	12	12	12	64	16	16	16	16	0	0	52	36	36	44	16	16	1	1	12	24	44	30	24	0	50	12	12	24	44	20	20	24	44	18	24	24	24	1	1	40	30	36	24	24	1	0	35	40	24	24	24	28	32	1	4	1	10	10	20	12	20	20	10	2
1707241000	28	0	1	5	0	0	1	1	2	1	2	50	50	18	18	18	18	14	68	34	16	16	16	16	16	42	36	16	16	16	16	16	24	24	60	43	17	18	18	18	64	12	12	12	12	12	18	50	10	62	62	14	14	14	14	46	15	20	15	64	16	16	16	16	37	54	33	0	0	64	13	13	13	13	13	60	14	14	14	14	54	39	18	17	18	18	18	76	69	44	18	18	18	18	18	16	18	16	18	18	18	44	12	12	12	64	16	16	16	16	0	0	52	36	36	43	16	15	1	1	12	24	44	30	24	0	50	12	12	24	44	20	20	24	43	18	24	24	24	1	1	39	30	36	24	24	1	0	35	40	24	24	24	28	31	1	4	1	10	10	20	12	20	20	10	2
1707241012	27	0	1	5	0	0	0	0	2	1	2	50	50	18	18	18	18	14	68	34	16	16	16	16	16	42	36	16	16	16	16	16	24	24	60	43	17	18	18	18	64	12	12	12	12	12	18	50	10	62	62	14	14	14	14	46	15	20	15	64	16	16	16	16	37	54	33	0	0	64	13	13	13	13	13	60	14	14	14	14	54	39	18	17	18	18	18	76	69	44	18	18	18	18	18	16	18	16	18	18	18	44	12	12	12	64	16	16	16	16	0	0	52	36	36	43	16	15	1	1	12	24	44	30	24	0	50	12	12	24	44	20	20	24	43	18	24	24	24	1	1	39	30	36	24	24	1	0	35	40	24	24	24	28	31	1	4	1	10	10	20	12	20	20	10	2
1707241023	24	0	0	3	0	0	0	0	0	0	2	50	50	18	18	18	18	14	68	34	16	16	16	16	16	42	36	16	16	16	16	16	24	24	60	43	17	18	18	18	64	12	12	12	12	12	18	50	10	62	62	14	14	14	14	46	15	20	15	64	16	16	16	16	37	53	33	0	0	64	13	13	13	13	13	60	14	14	14	14	54	39	18	17	18	18	18	76	69	44	18	18	18	18	18	16	18	16	18	18	18	44	12	12	12	64	16	16	16	16	0	0	52	36	36	43	16	15	1	1	12	24	44	30	24	0	50	12	12	24	44	20	20	24	43	18	24	24	24	1	1	39	30	36	24	24	1	0	35	40	24	24	24	28	31	1	4	1	10	10	20	12	20	20	10	2
1707241039	21	1	0	1	0	0	0	0	0	0	3	50	50	18	18	18	18	14	68	34	16	16	16	16	16	42	36	16	16	16	16	16	24	24	60	43	17	18	18	18	64	12	12	12	12	12	18	50	10	62	62	14	14	14	14	46	15	20	15	64	16	16	16	16	37	53	33	0	0	64	13	13	13	13	13	60	14	14	14	14	54	39	18	17	18	18	18	76	69	44	18	18	18	18	18	16	18	16	18	18	18	44	12	12	12	64	16	16	16	16	0	0	52	36	36	43	16	15	1	1	12	24	44	30	24	0	50	12	12	24	44	20	20	24	43	18	24	24	24	1	1	39	30	36	24	24	1	0	35	40	24	23	24	28	31	1	4	1	10	10	20	12	20	20	10	2
1707241047	19	0	0	1	0	0	0	0	0	0	3	49	50	18	17	18	18	14	68	34	16	16	16	16	16	42	36	16	16	16	16	16	24	24	59	43	16	18	18	18	64	12	12	12	12	12	18	50	10	62	62	14	14	14	14	46	15	20	15	64	16	16	16	16	37	53	33	0	0	64	13	13	13	13	13	60	14	14	14	14	54	39	18	17	18	18	18	76	69	44	18	18	18	18	18	16	18	16	18	18	18	44	12	12	12	64	16	16	16	16	0	0	52	36	36	43	16	15	1	1	12	24	44	30	24	0	50	12	12	24	44	20	20	24	43	18	21	24	24	1	1	33	29	33	24	24	1	0	34	40	22	22	24	27	31	1	4	1	10	10	20	12	20	20	10	2
1707241055	18	1	0	0	0	0	0	0	0	0	2	49	50	18	17	18	18	14	68	34	16	16	16	16	16	42	36	16	16	16	16	16	24	24	59	43	16	18	18	18	64	12	12	12	12	12	18	50	10	62	62	14	14	14	14	46	15	20	15	64	16	16	16	16	37	52	33	0	0	64	13	13	13	13	13	60	14	14	14	14	54	39	18	17	18	18	18	75	69	44	17	18	18	18	18	16	18	16	18	18	18	44	12	12	12	63	15	16	16	16	0	0	52	36	36	43	16	15	1	1	12	24	44	30	24	0	50	12	12	24	44	20	20	24	42	18	21	23	24	1	1	32	29	32	23	24	1	0	34	39	21	21	23	27	31	1	4	1	10	10	20	12	20	20	10	2
