date	IGEN1101A_13431	IGEN1102B_11080	IGEN1104A_11079	IGEN1115B_17281	IGEN2007B_26881	IGEN2207_20696	IGEN3129_18969
1707240824	30	57	28	37	40	20	15
1707240905	25	56	28	37	40	20	15
1707240930	25	55	27	36	40	20	15
1707240941	23	55	27	36	40	20	15
1707241000	25	55	27	36	39	20	15
1707241012	25	55	27	36	37	20	15
1707241023	25	56	27	36	37	20	15
1707241039	24	55	27	36	37	20	15
1707241047	24	54	27	36	37	20	15
1707241055	23	55	27	36	37	20	15
1707241129	23	55	24	36	37	20	15
1707241147	23	55	24	36	37	20	15
1707241221	22	55	24	36	37	20	15
1707241307	22	55	23	36	37	20	15
1707241415	23	55	24	36	36	20	15
1707241512	22	55	24	36	36	20	15
1707241556	22	55	24	36	36	20	15
1707241623	22	55	24	36	34	20	14
1707241717	22	55	24	36	34	20	14
1707241814	22	56	24	36	33	20	14
1707241848	22	56	24	36	33	20	14
1707242034	23	56	24	36	33	20	14
1707242132	23	56	24	36	33	20	14
1707242210	23	56	24	36	33	20	14
1707242307	23	56	24	36	33	20	14
1707242329	23	56	24	36	33	20	14
1707242343	23	56	24	36	33	20	14
1707250748	23	56	24	36	33	20	14
1707251027	35	56	38	36	31	20	14
1707251309	31	56	36	34	29	20	14
1707251351	31	56	36	34	29	20	14
1707251441	29	54	34	34	29	20	13
1707251521	27	53	33	34	29	20	13
1707251605	25	52	31	32	29	20	13
1707251658	23	50	32	31	28	20	13
1707251727	23	49	32	32	27	20	13
1707251900	22	49	32	32	27	20	13
1707251927	22	49	32	32	27	20	13
1707252025	22	49	33	32	27	20	13
1707252100	22	49	33	32	27	20	13
1707252124	22	49	33	32	27	20	13
1707252143	22	49	33	32	27	20	13
1707252259	22	49	33	32	27	20	13
1707252332	22	49	33	32	27	20	13
1707260820	26	49	37	32	27	20	13
1707261009	18	44	32	30	26	20	13
1707261047	18	37	30	29	25	20	13
1707261116	17	35	28	27	25	20	13
1707261144	14	32	25	27	24	20	13
1707261213	13	32	23	27	24	20	13
1707261257	13	31	21	27	24	20	13
1707261315	13	31	21	27	24	20	13
1707261354	13	31	21	27	24	20	13
1707261538	2	16	4	24	20	20	13
1707261603	0	11	4	24	18	20	13
1707261646	0	2	0	18	17	20	12
1707261709	0	1	0	17	16	20	12
1707261733	0	0	0	16	16	20	12
1707261807	0	0	0	17	16	20	12
1707261822	0	0	0	16	16	20	12
1707261842	0	0	0	16	16	20	12
1707261903	0	0	0	16	16	20	12
1707261944	0	0	0	15	16	20	12
1707262004	0	0	0	15	16	20	12
1707262107	0	0	0	15	14	20	12
1707262125	0	0	0	14	14	20	12
1707262142	0	0	0	14	14	20	12
1707262337	0	1	0	14	13	20	12
1707270001	0	1	0	14	13	20	12
1707270737	1	2	0	14	14	20	12
1707270816	0	2	0	14	14	20	12
1707270840	0	2	0	14	14	20	12
1707270903	0	2	0	14	14	20	12
1707271009	0	1	2	13	14	20	12
1707271027	0	1	1	13	14	20	12
1707271053	0	1	0	11	14	20	12
1707271136	1	1	0	11	14	20	12
1707271218	1	1	0	11	14	20	12
1707271250	0	2	0	11	14	20	12
1707271309	1	2	0	11	14	20	12
1707271338	1	2	0	11	14	20	12
1707271422	0	2	0	11	14	20	12
1707271448	0	0	0	11	14	20	12
1707271510	0	0	0	11	14	20	12
1707271544	0	0	0	11	14	20	12
1707271643	0	0	0	11	13	20	12
1707271704	0	0	0	11	13	20	12
1707271720	0	0	0	11	13	20	12
1707271802	0	0	0	11	13	20	12
1707272002	0	0	0	11	13	20	12
1707272150	0	0	0	11	13	20	12
1707272237	0	0	0	11	13	20	12
1707281100	1	1	0	11	14	20	13
1707281233	1	1	0	11	14	20	13
1707281457	1	1	0	11	14	20	13
1707281621	1	1	0	11	14	20	13
1707281911	1	1	0	12	14	20	13
