date	IMEC1000_10418	IMEC1000C_20840	IMEC1000C_20940	IMEC1000C_20941	IMEC1000C_25495	IMEC1001_10377	IMEC1001_10659	IMEC1001_12765	IMEC1001L_25521	IMEC1001L_25525	IMEC1001L_25527	IMEC1001L_25531	IMEC1330_11220	IMEC1330_21154	IMEC1330L_12298	IMEC1330L_12785	IMEC1330L_18704	IMEC1410_10011	IMEC1410_10174	IMEC1410_28345	IMEC1410L_12299	IMEC1410L_12793	IMEC1410L_22971	IMEC1410L_22972	IMEC1410L_28346	IMEC1503_10378	IMEC1503_10379	IMEC1503_10380	IMEC1503C_20954	IMEC1503C_20956	IMEC1503C_20958	IMEC1503C_20959	IMEC1541_10175	IMEC1541_12194	IMEC1541L_12300	IMEC1541L_12813	IMEC1997_19846	IMEC2070_11255	IMEC2210_11116	IMEC2210L_12301	IMEC2210L_12821	IMEC2210L_26121	IMEC2320_10176	IMEC2320_27781	IMEC2320L_12972	IMEC2320L_12973	IMEC2320L_27783	IMEC2411_10012	IMEC2411_12171	IMEC2411L_12302	IMEC2411L_12827	IMEC2520_16810	IMEC2520_18775	IMEC2520L_12303	IMEC2520L_12829	IMEC2540_10572	IMEC2540_10660	IMEC2540L_12304	IMEC2540L_12833	IMEC2540L_12835	IMEC2543_10792	IMEC2543_28613	IMEC2543L_14047	IMEC2543L_25602	IMEC2543L_25610	IMEC2700_11070	IMEC2700C_28073	IMEC2797_19847	IMEC3345_10970	IMEC3345L_14051	IMEC3345L_14052	IMEC3350_26899	IMEC3460_14054	IMEC3460_27812	IMEC3460C_20990	IMEC3460C_20991	IMEC3530_10971	IMEC3530_22770	IMEC3530C_20845	IMEC3530C_20994	IMEC3700_10013	IMEC3701_10014	IMEC3702_11284	IMEC3707_26900	IMEC3991_27373	IMEC3997_19845	IMEC4001_26901	IMEC4070_21954	IMEC4105_26902	IMEC4210_26905	IMEC4222_28072	IMEC4430_26906	IMEC4521_26907	IMEC4700_12978	IMEC4701_10540	IMEC4702_10541	IMEC4800_10580	IMEC4801_24561	IMEC4994_19882	IMEC4997_19848	IMEC6001_23672	IMEC6002_14118	IMEC6002_15287	IMEC6002_15288	IMEC6003_24564	IMEC6402_13873	IMEC6700_22656	IMEC6980_24565	IMEC6981_13876	IMEC6982_13877	IMEC6983_26908	IMEC6997_26909
1707240824	103	25	27	26	27	19	47	22	24	23	22	33	40	40	34	25	35	34	50	35	55	55	26	34	40	29	36	47	28	36	37	39	65	30	70	40	990	0	70	25	25	25	35	30	33	33	33	38	37	50	49	41	34	46	53	47	35	30	30	39	45	30	27	32	33	78	86	999	60	38	33	45	74	0	38	38	30	40	38	38	61	99	20	39	99	999	37	99	37	37	43	37	41	35	30	30	20	1	0	999	0	0	0	0	0	5	20	99	99	99	99	0
1707240905	80	17	24	20	21	16	43	7	23	13	20	24	40	40	34	25	35	34	50	35	55	55	26	34	40	29	29	35	19	33	35	34	65	30	70	40	968	0	70	25	25	25	35	30	33	33	33	38	37	50	49	41	34	46	53	47	35	30	30	39	45	30	27	32	33	78	86	999	60	38	33	45	74	0	38	38	30	40	38	38	61	99	20	39	99	999	37	99	37	37	43	37	41	35	30	30	20	1	0	999	0	0	0	0	0	5	20	99	99	99	99	0
1707240930	69	17	22	13	19	16	40	2	22	9	17	24	40	40	34	25	35	34	50	35	55	55	26	34	40	29	21	36	13	33	34	34	65	30	70	40	956	0	70	25	25	25	35	30	33	33	33	38	37	50	49	41	34	46	53	47	35	30	30	39	45	30	27	32	33	78	86	999	60	38	33	45	74	0	38	38	30	40	38	38	61	99	20	39	99	999	37	99	37	37	43	37	41	35	30	30	20	1	0	999	0	0	0	0	0	5	20	99	99	99	99	0
1707240941	67	16	22	14	17	16	38	0	21	6	17	24	40	40	34	25	35	34	50	35	55	55	26	34	40	28	17	35	11	31	32	34	65	30	70	40	952	0	70	25	25	25	35	30	33	33	33	38	37	50	49	41	34	46	53	47	35	30	30	39	45	30	27	32	33	78	86	999	60	38	33	45	74	0	38	38	30	40	38	38	61	99	20	39	99	999	37	99	37	37	43	37	41	35	30	30	20	1	0	999	0	0	0	0	0	5	20	99	99	99	99	0
1707241000	63	14	22	12	17	14	36	0	21	5	14	24	40	40	34	25	35	34	50	35	55	55	26	34	40	27	14	35	9	31	30	34	65	30	70	40	949	0	70	25	25	25	35	30	33	33	33	38	37	50	49	41	34	46	53	47	35	30	30	39	45	30	27	32	33	78	86	999	60	38	33	45	74	0	38	38	30	40	38	38	61	99	20	39	99	999	37	99	37	37	43	37	41	35	30	30	20	1	0	999	0	0	0	0	0	5	20	99	99	99	99	0
1707241012	57	11	20	11	17	11	34	0	19	4	13	23	40	40	34	25	35	34	50	35	55	55	26	34	40	27	12	31	6	30	29	33	65	30	70	40	943	0	70	25	25	25	35	30	33	33	33	38	37	50	49	41	34	46	53	47	35	30	30	39	45	30	27	32	33	78	86	998	60	38	33	45	74	0	38	38	30	40	38	38	61	99	20	39	99	999	37	99	37	37	43	37	41	35	30	30	20	1	0	999	0	0	0	0	0	5	20	99	99	99	99	0
1707241023	49	11	18	11	11	7	30	0	17	2	11	21	40	40	34	25	35	34	50	35	55	55	26	34	40	26	5	31	2	31	25	32	65	30	70	40	934	0	70	25	25	25	35	30	33	33	33	38	37	50	49	41	34	46	53	47	35	30	30	39	45	30	27	32	33	78	86	998	60	38	33	45	74	0	38	38	30	40	38	38	61	99	20	39	99	999	37	99	37	37	43	37	41	35	30	30	20	1	0	999	0	0	0	0	0	5	20	99	99	99	99	0
1707241039	45	11	16	9	11	6	27	0	17	1	9	20	40	40	34	25	35	34	50	35	55	55	26	34	40	25	2	31	1	31	23	31	65	30	70	40	931	0	70	25	25	25	35	30	33	33	33	38	37	50	49	41	34	46	53	47	35	30	30	39	45	30	27	32	33	78	86	998	60	38	33	45	74	0	38	38	30	40	38	38	61	99	20	39	99	999	36	99	37	36	43	37	41	35	30	30	20	1	0	999	0	0	0	0	0	5	20	99	99	99	99	0
1707241047	41	10	16	7	10	6	25	0	17	0	8	20	40	40	34	25	35	34	50	35	55	55	26	34	40	24	1	31	0	31	23	30	65	30	70	40	928	0	70	25	25	25	35	30	33	33	33	38	37	50	49	41	34	46	53	47	35	30	30	39	45	30	27	32	33	78	86	998	58	37	32	45	73	0	37	38	30	40	38	38	60	99	20	39	99	997	33	99	37	35	43	36	40	32	30	30	20	1	0	998	0	0	0	0	0	5	20	99	99	99	99	0
1707241055	41	10	15	7	11	5	26	0	16	2	8	19	40	40	34	25	35	34	50	35	55	55	26	34	40	24	0	30	0	30	22	30	65	30	70	40	927	0	70	25	25	25	35	30	33	33	33	38	37	50	49	41	34	46	53	47	35	30	30	39	45	30	27	32	33	78	86	998	58	37	32	45	73	0	37	38	30	40	38	38	60	99	20	39	99	997	33	99	36	34	43	36	39	32	30	30	20	1	0	998	0	0	0	0	0	5	20	99	99	99	99	0
1707241129	40	10	15	6	11	5	24	0	14	2	8	19	40	39	34	24	35	34	50	35	55	55	26	34	40	23	1	29	0	28	23	30	65	30	70	40	926	0	70	25	25	25	35	30	33	33	33	38	37	50	49	41	34	46	53	47	35	30	30	39	45	30	27	32	33	78	86	998	58	37	32	45	73	0	37	38	30	40	38	38	60	99	20	39	99	997	29	99	36	33	42	36	38	29	29	30	20	1	0	996	0	0	0	0	0	5	20	99	99	99	99	0
1707241147	40	10	15	6	11	4	23	0	14	1	7	19	40	39	34	24	35	34	50	35	55	55	26	34	40	22	1	29	0	28	22	30	65	30	70	40	926	0	70	25	25	25	35	30	33	33	33	38	37	50	49	41	34	46	53	47	35	30	30	39	45	30	27	32	33	78	86	998	58	37	32	45	73	0	37	38	30	40	38	38	60	99	20	39	99	997	26	99	36	31	41	35	38	29	27	29	20	1	0	993	0	0	0	0	0	5	20	99	99	99	99	0
