date	INTL2201_28078	INTL2201_28317	INTL2203_28319	INTL2204_28320	INTL2205_28321	INTL2207_28360	INTL4997_28361
1707240824	0	180	10	5	5	5	10
1707240905	0	180	10	5	5	5	10
1707240930	0	180	10	5	5	5	10
1707240941	0	180	10	5	5	5	10
1707241000	0	180	10	5	5	5	10
1707241012	0	180	10	5	5	5	10
1707241023	0	180	10	5	5	5	10
1707241039	0	180	10	5	5	5	10
1707241047	0	180	10	5	5	5	10
1707241055	0	180	10	5	5	5	10
1707241129	0	180	10	5	5	5	10
1707241147	0	180	10	5	5	5	10
1707241221	0	180	10	5	5	5	10
1707241307	0	180	10	5	5	5	10
1707241415	0	180	10	5	5	5	10
1707241512	0	173	10	5	5	5	10
1707241556	0	170	9	5	5	5	10
1707241623	0	166	9	5	5	5	10
1707241717	0	163	9	5	5	5	10
1707241814	0	162	9	5	5	5	10
1707241848	0	162	9	5	5	5	10
1707242034	0	161	9	5	5	5	10
1707242132	0	160	9	5	5	5	10
1707242210	0	160	9	5	5	5	10
1707242307	0	159	9	5	5	5	10
1707242329	0	159	9	5	5	5	10
1707242343	0	159	9	5	5	5	10
1707250748	0	158	9	5	5	5	10
1707251027	0	140	6	5	5	5	10
1707251309	0	105	0	5	5	5	10
1707251351	0	97	0	5	5	5	10
1707251441	0	77	0	5	5	5	10
1707251521	0	67	0	5	5	5	10
1707251605	0	59	0	5	4	5	10
1707251658	0	56	0	5	4	5	10
1707251727	0	54	0	5	4	5	10
1707251900	0	49	0	5	4	5	10
1707251927	0	48	0	5	4	5	10
1707252025	0	48	0	5	4	5	10
1707252100	0	48	0	5	4	5	10
1707252124	0	48	0	5	4	5	10
1707252143	0	48	0	5	4	5	10
1707252259	0	45	0	5	4	5	10
1707252332	0	44	0	5	4	5	10
1707260820	0	40	0	5	4	5	10
1707261009	0	33	0	5	4	5	10
1707261047	0	33	0	5	4	5	10
1707261116	0	33	0	5	4	5	10
1707261144	0	33	0	5	4	5	10
1707261213	0	33	0	5	4	5	10
1707261257	0	33	0	5	4	5	10
1707261315	0	33	0	5	4	5	10
1707261354	0	33	0	5	4	5	10
1707261538	0	32	21	5	4	5	10
1707261603	0	32	21	5	4	5	10
1707261646	0	31	21	5	4	5	10
1707261709	0	31	21	5	4	5	10
1707261733	0	31	19	5	4	5	10
1707261807	0	31	17	5	4	5	10
1707261822	0	30	17	5	4	5	10
1707261842	0	30	17	5	4	5	10
1707261903	0	29	17	5	4	5	10
1707261944	0	29	17	5	4	5	10
1707262004	0	29	17	5	4	5	10
1707262107	0	29	17	5	4	5	10
1707262125	0	29	17	5	4	5	10
1707262142	0	29	17	5	4	5	10
1707262337	0	27	17	5	4	5	10
1707270001	0	27	17	5	4	5	10
1707270737	0	27	17	5	4	5	10
1707270816	0	27	17	5	4	5	10
1707270840	0	27	17	5	4	5	10
1707270903	0	27	17	5	4	5	10
1707271009	0	27	17	5	4	5	10
1707271027	0	27	17	5	4	5	10
1707271053	0	27	17	5	4	5	10
1707271136	0	27	16	5	4	5	10
1707271218	0	27	15	5	4	5	10
1707271250	0	27	15	5	4	5	10
1707271309	0	27	15	5	4	5	10
1707271338	0	27	15	5	4	5	10
1707271422	0	27	15	5	4	5	10
1707271448	0	26	14	5	4	5	10
1707271510	0	24	14	5	4	5	10
1707271544	0	22	14	5	4	5	10
1707271643	0	21	13	5	4	5	10
1707271704	0	21	13	5	4	5	10
1707271720	0	21	13	5	4	5	10
1707271802	0	21	13	5	4	5	10
1707272002	0	21	12	5	4	5	10
1707272150	0	21	12	5	4	5	10
1707272237	0	22	12	5	4	5	10
1707281100	0	22	12	5	4	5	10
1707281233	0	22	12	5	4	5	10
1707281457	0	22	12	5	4	5	10
1707281621	0	22	12	5	4	5	10
1707281911	0	22	12	5	4	5	10
