date	LEGI5502_27317	LEGI5504_27318	LEGI5506_27314	LEGI5510_27313	LEGI5522_27316
1707240824	40	40	40	40	40
1707240905	40	40	40	40	40
1707240930	40	40	40	40	40
1707240941	40	40	40	40	40
1707241000	40	40	40	40	40
1707241012	40	40	40	40	40
1707241023	40	40	40	40	40
1707241039	40	40	40	40	40
1707241047	40	40	40	40	40
1707241055	40	40	40	40	40
1707241129	40	40	40	40	40
1707241147	40	40	40	40	40
1707241221	40	40	40	40	40
1707241307	40	40	40	40	40
1707241415	40	40	40	40	40
1707241512	40	40	40	40	40
1707241556	40	40	40	40	40
1707241623	40	40	40	40	40
1707241717	40	40	40	40	40
1707241814	40	40	40	40	40
1707241848	40	40	40	40	40
1707242034	40	40	40	40	40
1707242132	40	40	40	40	40
1707242210	40	40	40	40	40
1707242307	40	40	40	40	40
1707242329	40	40	40	40	40
1707242343	40	40	40	40	40
1707250748	40	40	40	40	40
1707251027	40	40	40	40	40
1707251309	40	39	40	40	40
1707251351	40	39	40	40	40
1707251441	40	39	40	40	40
1707251521	40	39	40	40	40
1707251605	40	39	40	40	40
1707251658	40	39	40	40	40
1707251727	40	39	40	40	40
1707251900	40	39	40	40	40
1707251927	40	39	40	40	40
1707252025	40	39	40	40	40
1707252100	40	39	40	40	40
1707252124	40	39	40	40	40
1707252143	40	39	40	40	40
1707252259	40	39	40	40	40
1707252332	40	39	40	40	40
1707260820	40	39	40	40	40
1707261009	40	39	40	40	40
1707261047	37	36	37	40	37
1707261116	29	28	29	40	29
1707261144	17	16	17	40	17
1707261213	10	9	10	40	10
1707261257	10	9	10	40	10
1707261315	10	9	10	40	10
1707261354	10	9	10	40	10
1707261538	10	9	10	40	10
1707261603	10	9	10	40	10
1707261646	10	9	10	40	10
1707261709	10	9	10	40	10
1707261733	10	9	10	40	10
1707261807	10	9	10	40	10
1707261822	10	9	10	40	10
1707261842	10	9	10	40	10
1707261903	10	9	10	40	10
1707261944	10	9	10	40	10
1707262004	10	9	10	40	10
1707262107	10	9	10	40	10
1707262125	10	9	10	40	10
1707262142	10	9	10	40	10
1707262337	10	9	10	40	10
1707270001	10	9	10	40	10
1707270737	10	9	10	40	10
1707270816	10	9	10	40	10
1707270840	10	9	10	40	10
1707270903	10	9	10	40	10
1707271009	10	9	10	40	10
1707271027	10	9	10	40	10
1707271053	10	9	10	40	10
1707271136	10	9	10	40	10
1707271218	10	9	10	40	10
1707271250	10	9	10	40	10
1707271309	10	9	10	40	10
1707271338	10	9	10	40	10
1707271422	10	9	10	40	10
1707271448	10	9	10	40	10
1707271510	10	9	10	40	10
1707271544	10	9	10	40	10
1707271643	10	9	10	40	10
1707271704	10	9	10	40	10
1707271720	10	9	10	40	10
1707271802	10	9	10	40	10
1707272002	10	9	10	40	10
1707272150	10	9	10	40	10
1707272237	10	9	10	40	10
1707281100	10	9	10	40	10
1707281233	10	9	10	40	10
1707281457	10	9	10	40	10
1707281621	10	9	10	40	10
1707281911	10	9	10	40	10
