date	LITE1100_13313	LITE1325_26978	LITE1326B_24639	LITE1327_26979	LITE1400_11089	LITE1401_12052	LITE1505B_26980	LITE1573A_22021	LITE1579B_26982	LITE1609A_26983	LITE1610A_27910	LITE1611_11197	LITE1611_11198	LITE1611_11199	LITE1611_11200	LITE1611_11201	LITE1611_11202	LITE1611_11203	LITE1611_11204	LITE1611_11205	LITE1611_11206	LITE1611_11207	LITE1611_11208	LITE1611_11552	LITE1611_12086	LITE1611_12176	LITE1611_12177	LITE1611_12190	LITE1611_12387	LITE1611_13498	LITE1611_16404	LITE1611_16408	LITE1611_16410	LITE1611_16411	LITE1611_20505	LITE1611_20508	LITE1611_20510	LITE1611_20511	LITE1611_20518	LITE1611_20523	LITE1611_23104	LITE1611_23105	LITE1611_23392	LITE1611_25285	LITE1611_25287	LITE1611_26027	LITE1611_27849	LITE1611_28138	LITE1611_28659	LITE1614_14087	LITE2104_26984	LITE2105_26985	LITE2303_26986	LITE2304B_26987	LITE2312_26988	LITE2405_11188	LITE2406_12257	LITE2407_13470	LITE2408_13471	LITE2523B_26989	LITE2526_27285	LITE2534B_26990	LITE2568B_26991	LITE2569B_26992	LITE2574B_26993	LITE2580B_26994	LITE2606_27911	LITE2616_26995	LITE2620_26996	LITE2672_26997	LITE3330_28608	LITE3347_26999	LITE3402_11595	LITE3405_13435	LITE3526_27000	LITE3602_24659	LITE3603_24660	LITE3616_27002	LITE3617_27913	LITE3903_10694	LITE3904_10821	LITE3905_24662	LITE3993_10936
1707240824	57	60	76	57	24	24	66	111	53	50	46	23	24	24	23	24	22	22	18	24	24	24	24	23	19	22	23	24	23	24	23	24	23	24	21	23	15	22	21	24	24	24	23	24	22	24	15	24	0	30	59	60	60	85	59	24	20	24	15	27	50	27	67	27	47	61	20	20	20	24	24	24	24	20	30	5	5	23	20	6	5	5	10
1707240905	53	60	74	54	24	24	63	109	50	44	45	16	23	24	15	24	21	20	8	16	22	22	24	22	9	17	20	20	16	19	21	22	21	24	20	20	1	15	15	23	22	23	22	24	21	24	3	24	0	30	59	60	60	85	58	24	20	24	15	26	50	27	67	27	47	59	20	20	19	24	24	24	24	20	30	5	5	23	20	6	5	5	10
1707240930	52	59	73	54	24	24	62	109	50	42	45	15	23	24	13	24	21	18	6	15	22	22	24	22	7	17	18	18	14	19	19	20	20	23	17	18	0	13	15	23	22	23	22	24	21	24	0	24	0	30	59	60	60	84	58	24	20	24	15	26	50	27	66	27	47	59	20	20	19	24	24	24	24	20	29	5	5	23	20	6	5	5	10
1707240941	48	58	73	51	24	24	62	107	49	38	45	12	22	24	11	24	18	17	2	14	21	22	24	21	4	13	16	18	10	17	17	20	19	21	14	17	0	12	13	23	21	23	19	24	19	24	0	24	0	30	59	60	60	83	58	24	20	24	15	25	50	27	66	27	47	58	20	20	19	24	24	24	24	20	29	5	5	23	20	6	5	5	10
1707241000	48	58	73	51	24	24	63	107	49	38	45	11	23	24	9	24	18	14	0	13	21	22	24	20	3	12	14	18	5	15	18	19	18	20	13	15	0	11	10	23	20	23	19	24	17	24	0	24	0	30	59	60	60	83	58	24	20	24	15	25	50	27	65	27	47	57	20	20	19	24	24	24	24	20	30	5	5	23	20	6	5	5	10
1707241012	47	58	73	51	24	24	63	107	47	37	45	6	23	24	7	24	18	14	0	13	21	20	24	19	0	10	14	17	1	13	17	18	17	20	13	11	0	7	7	23	18	23	18	24	16	24	0	24	0	30	59	60	60	83	58	24	20	24	15	25	50	27	64	27	47	57	20	20	19	24	24	24	24	20	30	5	5	23	20	6	5	5	10
1707241023	44	57	73	50	24	24	63	107	45	36	45	1	23	24	7	24	18	9	0	11	20	20	22	19	0	10	14	17	0	13	17	17	14	20	12	11	0	1	7	23	18	22	18	24	17	24	0	24	0	30	59	60	60	83	58	24	20	24	15	25	50	27	64	27	47	57	20	20	19	24	24	24	24	20	30	5	5	23	20	6	5	5	10
1707241039	44	56	73	50	24	24	62	105	44	37	45	0	23	24	5	24	17	10	0	9	19	19	24	17	0	7	14	17	0	13	11	17	14	20	12	7	0	1	7	23	17	21	16	24	17	24	0	24	0	30	59	60	60	83	58	24	20	24	15	24	50	27	64	27	47	57	20	20	18	24	24	24	24	20	30	5	5	23	20	6	5	5	10
1707241047	44	56	73	50	24	24	62	105	43	37	45	0	23	24	5	24	17	10	0	10	19	19	24	17	0	7	14	16	0	11	10	17	14	20	11	7	0	1	7	23	17	21	15	24	16	24	0	24	0	30	59	60	60	83	58	24	20	24	15	24	50	27	64	27	47	57	20	20	18	24	24	24	24	20	30	5	5	23	20	6	5	5	10
1707241055	44	56	73	50	24	24	62	105	44	36	45	0	23	24	4	24	17	10	0	9	19	19	24	16	0	6	14	16	0	11	9	17	13	20	12	6	0	1	6	23	17	21	16	24	14	24	0	24	0	30	59	60	60	83	58	24	20	24	15	24	50	27	64	27	47	57	20	20	18	24	24	24	24	20	30	5	5	23	20	6	5	5	10
