date	MADM4001_27004	MADM4001_27337	MADM4001_27338	MADM4005_27005	MADM4005_27331	MADM4005_27332	MADM4051_27006	MADM4052_22491	MADM4052_22492	MADM4052_27329	MADM4052_27330	MADM4053_27007	MADM4053_27321	MADM4053_27343	MADM4053_27344	MADM4053_27345	MADM4053_27346	MADM4100_20293	MADM4103_27008	MADM4103_27322	MADM4103_27323	MADM4152_27009	MADM4152_27326	MADM4152_27327	MADM4153_27010	MADM4211_27011	MADM4211_27324	MADM4250_27012	MADM4250_27333	MADM4250_27334	MADM4251_27013	MADM4251_27335	MADM4251_27336	MADM4355_27014	MADM4355_27325	MADM4450_22489	MADM4450_27328	MADM4550_22470	MADM4551_22469	MADM4903_27015	MADM4903_27319	MADM4903_27339	MADM4903_27340	MADM4903_27341	MADM4903_27342	MADM4909_21140	MADM4918_27016	MADM4919_27017	MADM4920_27018	MADM4921_27019
1707240824	40	40	40	40	40	40	40	20	20	20	20	20	20	20	20	20	20	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	45	45	20	20	20	20	20	20	5	15	20	20	5
1707240905	40	40	40	40	40	40	40	20	20	20	20	20	20	20	20	20	20	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	45	45	20	20	20	20	20	20	5	15	20	20	5
1707240930	40	40	40	40	40	40	40	20	20	20	20	20	20	20	20	20	20	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	45	45	20	20	20	20	20	20	5	15	20	20	5
1707240941	40	40	40	40	40	40	40	20	20	20	20	20	20	20	20	20	20	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	45	45	20	20	20	20	20	20	5	15	20	20	5
1707241000	40	40	40	40	40	40	40	20	20	20	20	20	20	20	20	20	20	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	45	45	20	20	20	20	20	20	5	15	20	20	5
1707241012	40	40	40	40	40	40	40	20	20	20	20	20	20	20	20	20	20	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	45	45	20	20	20	20	20	20	5	15	20	20	5
1707241023	40	40	40	40	40	40	40	20	20	20	20	20	20	20	20	20	20	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	45	45	20	20	20	20	20	20	5	15	20	20	5
1707241039	40	40	40	40	40	40	40	20	20	20	20	20	20	20	20	20	20	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	45	45	20	20	20	20	20	20	5	15	20	20	5
1707241047	40	40	40	40	40	40	40	20	20	20	20	20	20	20	20	20	20	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	45	45	20	20	20	20	20	20	5	15	20	20	5
1707241055	40	40	40	40	40	40	40	20	20	20	20	20	20	20	20	20	20	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	45	45	20	20	20	20	20	20	5	15	20	20	5
