date	MATE1002B_18389	MATE1005B_24670	MATE1010_27023	MATE1041B_13082	MATE1064B_11075	MATE1064B_22995	MATE1102_22060	MATE1102_22999	MATE1103_27024	MATE1105_10511	MATE1105_10519	MATE1105_10730	MATE1105_10867	MATE1105_10868	MATE1105_11251	MATE1105_11252	MATE1105_21224	MATE1105_21236	MATE1105_23094	MATE1105_23165	MATE1105_25314	MATE1105_27832	MATE1105_27834	MATE1105C_12308	MATE1105C_12744	MATE1105C_12758	MATE1105C_12764	MATE1105C_12767	MATE1105C_12772	MATE1105C_12773	MATE1105C_12778	MATE1105C_12779	MATE1105C_12780	MATE1105C_12796	MATE1105C_12800	MATE1105C_12801	MATE1105C_12809	MATE1105C_12811	MATE1105C_12816	MATE1105C_13927	MATE1105C_16401	MATE1105C_23096	MATE1105C_23098	MATE1105C_23100	MATE1105C_23166	MATE1105C_23170	MATE1105C_23171	MATE1105C_23173	MATE1105C_25315	MATE1105C_25316	MATE1105C_25317	MATE1105C_25318	MATE1105C_25326	MATE1105C_25330	MATE1105C_25338	MATE1105C_25339	MATE1105C_27848	MATE1105C_27851	MATE1105C_27853	MATE1105C_27854	MATE1106_10606	MATE1107_10575	MATE1201_10049	MATE1201_10124	MATE1201_10125	MATE1201_10157	MATE1201_11290	MATE1201_11396	MATE1201_11509	MATE1201_12163	MATE1201_12166	MATE1201_12167	MATE1201_12204	MATE1201_16415	MATE1201_16418	MATE1201_20585	MATE1201_23198	MATE1201_25985	MATE1201_26106	MATE1201_26137	MATE1201_26138	MATE1201_26139	MATE1201_26145	MATE1201_26164	MATE1201_28302	MATE1201_28303	MATE1201_28740	MATE1201_28745	MATE1203_10160	MATE1203_10198	MATE1203_10381	MATE1203_10382	MATE1203_10507	MATE1203_10550	MATE1203_11098	MATE1203_11099	MATE1203_11157	MATE1203_11160	MATE1203_12843	MATE1203_16946	MATE1203_17063	MATE1203_19078	MATE1203_20634	MATE1203_20639	MATE1203_20640	MATE1203_20643	MATE1203_21234	MATE1203_21235	MATE1203_21237	MATE1203_21263	MATE1203_23249	MATE1203_25359	MATE1203_25360	MATE1203_25361	MATE1203_25362	MATE1203_25363	MATE1203_27856	MATE1203_27857	MATE1203C_16425	MATE1203C_16949	MATE1203C_16951	MATE1203C_27858	MATE1204_10186	MATE1207_10656	MATE1207_10733	MATE1207_10734	MATE1207_10735	MATE1207_11253	MATE1207_12168	MATE1207_20662	MATE1207_26153	MATE1207_26156	MATE1207_28639	MATE1207_28640	MATE1207_28746	MATE1207C_12309	MATE1207C_12748	MATE1207C_12749	MATE1207C_12750	MATE1207C_12753	MATE1207C_12859	MATE1207C_12860	MATE1207C_12861	MATE1207C_12862	MATE1207C_12863	MATE1207C_12864	MATE1207C_12866	MATE1207C_12867	MATE1207C_13001	MATE1207C_13943	MATE1207C_18810	MATE1207C_20665	MATE1207C_20672	MATE1207C_20677	MATE1207C_23389	MATE1207C_25371	MATE1207C_25373	MATE1207C_27859	MATE1207C_27861	MATE1207C_27866	MATE1207C_27871	MATE1208_10556	MATE1209_25411	MATE1212_10545	MATE1212_23335	MATE1213_10657	MATE1214_10182	MATE1214_10658	MATE1214_10737	MATE1214_10738	MATE1214_10782	MATE1214_10784	MATE1214_10790	MATE1214_11254	MATE1214_20687	MATE1214_21155	MATE1214_21160	MATE1214_21288	MATE1214_27895	MATE1214C_12310	MATE1214C_12868	MATE1214C_12869	MATE1214C_12870	MATE1214C_12871	MATE1214C_12872	MATE1214C_12874	MATE1214C_12875	MATE1214C_12876	MATE1214C_12877	MATE1214C_12878	MATE1214C_12880	MATE1214C_12885	MATE1214C_12886	MATE1214C_12887	MATE1214C_12896	MATE1214C_12897	MATE1214C_12898	MATE1214C_13584	MATE1214C_18820	MATE1214C_25423	MATE1214C_25424	MATE1214C_25425	MATE1214C_25427	MATE1214C_25428	MATE1214C_25492	MATE1214C_25502	MATE1214C_27919	MATE1214C_28144	MATE1214C_28145	MATE1214C_28146	MATE1214C_28149	MATE1214C_28152	MATE1214C_28154	MATE1214C_28156	MATE1215_10436	MATE1251_17310	MATE1252_20449	MATE1252_25509	MATE1252_25519	MATE1252_26185	MATE1252_28742	MATE1252C_20450	MATE1252C_20698	MATE1252C_20699	MATE1252C_20703	MATE1252C_25510	MATE1252C_25512	MATE1252C_25513	MATE1253_20451	MATE1253_25657	MATE1253_25692	MATE1253_26009	MATE1253_28747	MATE1253C_25830	MATE1253C_25832	MATE1253C_25833	MATE1253C_25834	MATE1253C_25835	MATE1253C_25836	MATE1253C_25837	MATE1441B_27312	MATE1442B_11193	MATE1501_10003	MATE1501_10172	MATE1501_10173	MATE1501_11158	MATE1501_11941	MATE1501_12998	MATE1501_16472	MATE1501_19076	MATE1502_10512	MATE1506_10557	MATE1506_11061	MATE1506_14920	MATE1506_23573	MATE1507_23459	MATE1507_25533	MATE1508_25929	MATE1721_27466	MATE1721L_28622	MATE1721L_28623	MATE1721L_28624	MATE1721L_28626	MATE1751_27025	MATE2101_10191	MATE2181_27026	MATE2201_10004	MATE2210_13577	MATE2210_25542	MATE2211_12053	MATE2301_11044	MATE2301_16492	MATE2301_23616	MATE2301_26008	MATE2301_26195	MATE2301C_12312	MATE2301C_12902	MATE2301C_12903	MATE2301C_16495	MATE2301C_16496	MATE2301C_16497	MATE2301C_16518	MATE2313_27027	MATE2506_11267	MATE2507_25936	MATE2509_27467	MATE2509_28178	MATE2509_28179	MATE2511_28661	MATE2711_10437	MATE2711_20761	MATE2711_21248	MATE2711_26175	MATE2711_28737	MATE2714_27311	MATE3101_13578	MATE3105_27030	MATE3120_22070	MATE3130_27031	MATE3156_27032	MATE3177_27033	MATE3243_27035	MATE3302_27036	MATE3401_27037	MATE3410_27038	MATE3420_13083	MATE3422_27039	MATE3423_27040	MATE3441_27868	MATE3510_27041	MATE3520_27042	MATE3712_13084	MATE3755_27043	MATE3801_10937	MATE3802_10938	MATE3902_10242	MATE3904_10828	MATE3905_24685	MATE3990_24686	MATE3993_26109	MATE4001_24687	MATE4002_24688	MATE4101_27044	MATE4103_27045	MATE4137_27046	MATE4156_27047	MATE4173_15778	MATE4177_27048	MATE4220_17963	MATE4244_27050	MATE4401_27051	MATE4421_27052	MATE4441_27869	MATE4452_27053	MATE4527_27054	MATE4755_27055	MATE4901_10005	MATE4902_10006	MATE4903_24703	MATE4904_10823	MATE4990_24704	MATE6901_11076	MATE6902_15782	MATE6903_24705	MATE6904_24706	MATE6970_24707	MATE6971_24708	MATE6975_24709	MATE6976_24710	MATE6979_12258	MATE6980_15783	MATE6981_13438	MATE6982_14914	MATE6984_24711	MATE6989_12259	MATE6990_13705
1707240824	57	57	47	57	57	57	36	40	0	40	39	81	100	60	81	100	0	0	0	81	80	81	0	25	25	25	25	24	25	24	25	25	25	27	27	27	27	25	25	25	25	27	27	27	27	27	27	20	27	27	27	25	25	27	20	20	27	27	27	27	40	0	3	24	25	29	19	29	25	28	29	28	22	23	24	26	28	25	0	29	22	29	29	30	0	30	0	0	38	0	45	45	43	45	45	42	43	45	44	99	45	44	44	0	0	42	0	36	45	45	0	45	45	44	45	45	45	44	24	25	25	25	32	98	40	60	40	99	100	81	0	0	0	0	0	25	25	23	24	25	25	25	25	25	25	25	25	25	25	24	25	25	27	27	27	25	25	20	20	20	25	35	45	45	45	45	80	99	100	81	0	99	40	81	0	59	0	0	0	27	24	26	27	27	25	25	25	25	25	25	25	25	24	25	25	25	27	27	27	25	25	25	25	25	24	27	25	27	19	20	20	27	27	27	35	26	100	79	45	45	0	25	25	25	25	26	26	27	45	98	81	45	0	25	25	25	23	27	27	27	57	55	41	0	0	0	43	0	45	45	45	45	45	45	45	45	45	0	73	17	19	18	19	35	40	35	45	45	45	45	99	81	45	45	0	25	25	25	27	27	24	27	35	45	35	45	45	45	0	45	45	45	40	0	60	30	30	40	35	20	35	35	35	20	35	35	10	20	20	35	35	46	20	25	25	20	20	16	999	1	20	20	35	10	35	15	10	35	40	35	15	10	15	15	35	15	16	16	20	10	999	16	16	5	5	10	10	5	5	5	5	5	5	5	5	5
1707240905	57	57	42	56	57	57	29	40	0	40	39	81	100	59	81	100	0	0	0	81	80	81	0	25	25	25	25	24	25	24	25	25	25	27	27	27	27	25	25	25	25	27	27	27	27	27	27	20	27	27	27	25	25	27	20	19	27	27	27	27	40	0	0	21	21	29	8	26	25	24	28	27	19	18	13	21	14	24	0	29	0	27	28	20	0	29	0	0	38	0	45	42	35	45	45	41	41	45	44	96	44	35	34	0	0	36	0	11	43	45	0	43	43	40	45	44	45	43	24	25	24	23	26	97	40	60	40	99	100	81	0	0	0	0	0	25	25	22	24	25	25	25	25	25	25	25	25	25	25	24	25	25	27	27	27	25	25	20	20	20	25	35	45	45	44	45	80	99	100	81	0	99	40	80	0	59	0	0	0	27	24	26	27	27	25	25	25	25	25	25	25	25	24	25	25	25	26	27	27	25	25	25	25	25	24	27	25	27	19	20	20	27	27	27	35	21	100	79	44	44	0	25	25	25	25	26	26	27	43	98	81	45	0	25	25	25	23	27	27	27	57	54	40	0	0	0	36	0	36	45	45	45	45	45	45	45	45	45	63	12	17	16	18	35	40	35	45	45	45	45	99	81	45	45	0	25	25	25	27	27	24	27	35	45	35	45	45	45	0	45	45	45	40	0	60	30	30	40	35	20	35	35	35	20	35	35	10	20	20	35	35	46	20	25	25	20	20	16	999	1	20	20	35	10	35	15	10	35	40	0	15	10	15	15	35	15	16	16	20	10	999	16	16	5	5	10	10	5	5	5	5	5	5	5	5	5
1707240930	57	57	41	56	57	57	28	40	0	40	39	81	100	59	81	100	0	0	0	81	80	81	0	25	25	25	25	24	25	24	25	25	25	27	27	27	27	25	25	25	25	27	27	27	27	27	27	20	27	27	27	25	25	27	20	19	27	27	27	27	40	0	0	17	20	29	4	26	25	22	27	27	12	14	11	17	4	22	0	28	0	26	26	12	0	29	0	0	37	0	45	41	35	45	44	40	40	45	43	95	42	31	32	0	0	29	0	0	42	45	0	43	43	39	45	44	45	41	24	25	24	22	25	97	40	60	39	99	100	81	0	0	0	0	0	25	25	22	24	25	25	25	24	25	25	25	25	25	25	24	25	25	27	27	27	25	25	20	20	20	25	35	45	45	44	45	80	99	100	81	0	99	40	80	0	59	0	0	0	27	24	26	27	27	25	25	25	25	25	25	25	25	24	25	25	25	26	27	27	25	25	25	25	25	24	27	25	27	19	20	20	27	27	27	35	19	100	79	44	44	0	25	25	25	25	26	26	27	43	98	81	45	0	25	25	25	23	27	27	27	57	54	40	0	0	0	35	0	33	45	45	45	45	45	45	45	45	45	57	9	17	15	16	35	40	35	45	45	45	45	99	81	45	45	0	25	25	25	27	27	24	27	35	45	35	45	45	44	0	45	45	45	39	0	60	30	30	40	35	20	35	35	35	20	35	35	10	20	20	35	35	46	20	25	25	20	20	16	999	1	20	20	35	10	35	15	10	35	40	0	15	10	15	15	35	15	16	16	20	10	999	16	16	5	5	10	10	5	5	5	5	5	5	5	5	5
1707240941	57	57	40	56	57	57	27	40	0	40	39	81	100	59	81	100	0	0	0	81	80	81	0	25	25	25	25	24	25	24	25	25	25	27	27	27	27	25	25	25	25	27	27	27	27	27	27	20	27	27	27	25	25	27	20	19	27	27	27	27	40	0	0	6	14	29	2	24	25	18	27	23	5	10	5	15	0	22	0	28	0	25	23	10	0	28	0	0	35	0	44	39	31	45	45	38	39	45	43	95	40	31	31	0	0	25	0	0	41	45	0	43	39	34	44	42	45	40	24	25	24	22	22	97	39	60	39	99	100	81	0	0	0	0	0	25	25	22	24	25	25	25	24	25	25	25	25	25	25	24	25	25	27	27	27	25	24	20	20	20	25	35	45	45	43	45	80	99	100	81	0	99	40	80	0	59	0	0	0	27	24	26	27	27	25	25	25	25	25	25	25	25	24	25	25	25	26	27	27	25	25	25	25	25	24	27	25	27	19	20	20	27	27	27	35	14	99	79	44	44	0	25	25	24	25	26	26	27	43	98	81	45	0	25	25	25	23	27	27	27	57	54	40	0	0	0	34	0	30	45	45	45	45	45	45	45	45	45	52	6	17	13	16	35	40	35	45	45	45	45	99	81	45	45	0	25	25	25	27	27	24	27	35	45	35	45	45	44	0	45	45	45	39	0	60	30	30	40	35	20	35	35	35	20	35	35	10	20	20	35	35	46	20	25	25	20	20	16	999	1	20	20	35	10	35	15	10	35	40	0	15	10	15	15	35	15	16	16	20	10	999	16	16	5	5	10	10	5	5	5	5	5	5	5	5	5
1707241000	57	57	40	56	57	57	27	40	0	40	39	81	100	59	81	100	0	0	0	81	80	81	0	25	25	25	25	24	25	24	25	25	25	27	27	27	27	25	25	25	25	27	27	27	27	27	27	20	27	27	27	25	25	27	20	19	27	27	27	27	40	0	0	0	8	25	0	24	24	18	28	23	1	8	0	14	0	21	0	27	0	26	25	2	0	29	0	0	32	0	38	39	29	45	44	37	35	42	44	91	39	27	27	0	0	23	0	0	40	45	0	43	37	29	44	39	45	37	23	25	23	20	19	97	39	60	39	99	100	81	0	0	0	0	0	25	25	22	24	25	25	25	24	25	25	25	25	25	25	24	25	25	27	27	27	25	24	20	20	20	25	35	45	45	42	45	80	99	100	81	0	99	40	80	0	59	0	0	0	27	24	26	27	27	25	25	25	25	25	25	25	25	24	25	25	25	26	27	27	25	25	25	25	25	24	27	25	27	19	20	20	27	27	27	35	14	99	79	43	44	0	25	25	24	25	26	26	27	43	98	81	45	0	25	25	25	23	27	27	27	57	53	40	0	0	0	34	0	28	45	45	45	45	45	45	45	45	45	46	5	17	10	14	35	40	35	45	45	45	45	99	81	45	45	0	25	25	25	27	27	24	27	35	45	35	45	45	44	0	45	45	45	39	0	60	30	30	40	35	20	35	35	35	20	35	35	10	20	20	35	35	46	20	25	25	20	20	16	999	1	20	20	35	10	35	15	10	35	40	0	15	10	15	15	35	15	16	16	20	10	999	16	16	5	5	10	10	5	5	5	5	5	5	5	5	5
1707241012	57	57	39	55	57	57	26	39	0	40	39	81	100	59	80	100	0	0	0	81	80	81	0	25	25	25	25	24	25	24	25	25	25	27	27	27	27	25	25	25	25	27	27	27	27	27	27	20	27	27	27	25	25	26	20	19	27	27	27	27	40	0	0	0	7	24	0	19	25	18	28	20	1	6	0	14	0	20	0	27	0	23	23	0	0	29	0	0	30	0	38	38	26	45	43	36	34	39	44	91	36	24	23	0	0	18	0	0	40	45	0	42	36	23	43	40	45	33	23	25	23	20	17	97	39	60	39	99	99	81	0	0	0	0	0	25	25	22	24	25	25	25	24	24	25	25	25	25	25	24	25	25	27	27	27	25	24	20	20	20	25	35	45	44	40	45	80	99	100	81	0	99	40	80	0	59	0	0	0	27	24	26	27	27	25	25	25	25	25	25	25	25	24	25	25	25	26	27	27	25	25	25	25	25	24	27	25	27	19	20	20	27	27	27	35	9	99	79	43	44	0	25	25	24	25	26	26	27	43	98	81	45	0	25	25	25	23	27	27	27	57	53	39	0	0	0	33	0	28	45	45	45	45	45	45	45	45	45	39	4	15	8	12	35	40	35	45	45	45	45	99	81	45	45	0	25	25	25	27	27	24	27	35	45	35	45	45	44	0	45	45	45	39	0	60	30	30	40	35	20	35	35	35	20	35	35	10	20	20	35	35	46	20	25	25	20	20	16	999	1	20	20	35	10	35	15	10	35	40	0	15	10	15	15	35	15	16	16	20	10	999	16	16	5	5	10	10	5	5	5	5	5	5	5	5	5
1707241023	57	57	39	55	57	57	26	39	0	40	39	81	100	59	80	100	0	0	0	81	80	81	0	25	25	25	25	24	25	24	25	25	25	27	27	27	27	25	25	25	25	27	27	27	27	27	27	20	27	27	27	25	25	26	20	19	27	27	27	27	40	0	0	0	3	14	0	16	23	18	28	14	0	3	0	7	0	19	0	27	0	23	23	0	0	29	0	0	26	0	39	37	23	44	42	36	31	38	44	91	37	19	22	0	0	17	0	0	39	45	0	42	36	21	43	40	45	32	23	25	23	20	16	97	39	60	39	99	99	81	0	0	0	0	0	25	25	22	24	25	25	25	24	24	25	25	25	25	25	24	25	25	27	27	27	25	24	20	20	20	25	35	45	44	40	45	80	99	100	81	0	99	40	80	0	59	0	0	0	27	24	26	27	27	25	25	25	25	25	25	25	25	24	25	25	25	26	27	27	25	25	25	25	25	24	27	25	27	19	20	20	27	27	27	35	9	99	79	43	44	0	25	25	24	25	26	26	27	43	98	81	45	0	25	25	25	23	27	27	27	57	53	38	0	0	0	32	0	28	45	45	45	45	45	45	45	45	45	35	3	14	6	12	35	40	35	45	45	45	45	99	81	45	45	0	25	25	25	27	27	24	27	35	45	35	45	45	44	0	45	45	45	39	0	60	30	30	40	35	20	35	35	35	20	35	35	10	20	20	35	35	46	20	25	25	20	20	16	999	1	20	20	35	10	35	15	10	35	40	0	15	10	15	15	35	15	16	16	20	10	999	16	16	5	5	10	10	5	5	5	5	5	5	5	5	5
1707241039	57	55	39	55	57	57	26	39	0	40	39	81	100	59	80	100	0	0	0	81	80	81	0	25	25	25	25	24	25	24	25	25	25	27	27	27	27	25	25	25	25	27	27	27	27	27	27	20	27	27	27	25	25	26	20	19	27	27	27	27	40	30	0	0	1	6	0	15	23	16	28	10	0	0	0	4	0	19	0	27	0	22	21	0	0	29	0	0	27	0	38	38	25	43	40	34	30	37	43	89	36	17	20	0	0	15	0	0	39	45	0	41	36	17	42	39	45	30	23	25	21	20	17	97	39	60	39	99	99	81	0	0	0	0	0	25	25	22	24	25	25	25	24	24	25	25	25	25	25	24	25	25	27	27	27	25	24	20	20	20	25	35	45	44	40	45	80	99	100	81	0	99	39	80	0	59	0	0	0	27	24	26	27	27	25	25	25	25	25	25	25	25	24	25	25	24	26	27	27	25	25	25	25	25	24	27	25	27	19	20	20	27	27	27	35	9	99	79	43	44	0	25	25	24	25	26	26	27	43	98	81	45	0	25	25	25	23	27	27	27	57	53	38	0	0	0	32	0	26	45	45	45	45	45	45	45	45	45	31	3	13	4	11	35	40	35	45	45	45	45	99	81	45	45	0	25	25	25	27	27	24	27	35	45	35	45	45	44	0	45	45	45	39	0	60	30	30	40	35	20	35	35	35	20	34	35	10	20	20	35	34	46	20	25	25	20	20	16	999	1	20	20	35	10	35	15	10	35	40	0	15	8	15	15	34	12	13	16	20	10	999	16	16	5	5	10	10	5	5	5	5	5	5	5	5	5
1707241047	57	55	39	55	57	57	26	39	0	40	39	81	100	59	80	100	0	0	0	81	80	81	0	25	25	25	25	24	25	24	25	25	25	27	27	27	27	25	25	25	25	27	27	27	27	27	27	20	27	27	27	25	25	26	20	19	27	27	27	27	40	30	0	0	0	5	0	14	22	16	28	9	0	0	0	3	0	18	0	27	0	22	20	0	0	29	0	0	27	0	38	38	25	44	41	34	30	37	43	89	36	17	20	0	0	14	0	0	39	45	0	41	36	17	42	39	45	30	23	25	21	20	17	97	39	60	39	99	99	81	0	0	0	0	0	25	25	22	24	25	25	25	24	24	25	25	25	25	25	24	25	25	27	27	27	25	24	20	20	20	25	35	45	44	40	45	80	99	100	81	0	99	39	80	0	59	0	0	0	27	24	26	27	27	25	25	25	25	25	25	25	25	24	25	25	24	26	27	27	25	25	25	25	25	24	27	25	27	19	20	20	27	27	27	35	9	99	79	43	44	0	25	25	24	25	26	26	27	43	98	81	45	0	25	25	25	23	27	27	27	57	54	38	0	0	0	32	0	26	45	45	45	45	45	45	45	45	45	31	3	13	4	11	35	40	35	45	45	45	45	99	81	45	45	0	25	25	25	27	27	24	27	35	45	35	45	45	44	0	45	45	45	39	0	60	30	30	40	35	20	35	35	35	20	34	35	10	20	20	35	34	46	20	25	25	20	20	16	999	1	20	20	35	10	35	15	10	35	40	0	15	8	15	15	34	12	13	16	20	10	999	16	16	5	5	10	10	5	5	5	5	5	5	5	5	5
1707241055	57	55	39	56	57	57	26	39	0	40	39	81	100	59	80	100	0	0	0	81	80	81	0	25	25	25	25	24	25	24	25	25	25	27	27	27	27	25	25	25	25	27	27	27	27	27	27	20	27	27	27	25	25	26	20	19	27	27	27	27	40	30	0	0	0	1	0	16	22	15	28	8	0	1	0	2	0	17	0	27	0	20	20	0	0	29	0	0	27	0	38	38	24	44	41	33	31	37	43	89	36	16	20	0	0	14	0	0	39	45	0	40	36	16	42	39	45	30	23	25	21	20	17	97	39	60	39	99	99	81	0	0	0	0	0	25	25	22	24	25	25	25	24	24	25	25	25	25	25	24	25	25	27	27	27	25	24	20	20	20	25	35	45	44	40	45	80	99	100	81	0	99	39	80	0	59	0	0	0	27	24	26	27	27	25	25	25	25	25	25	25	25	24	25	25	24	26	27	27	25	25	25	25	25	24	27	25	27	19	20	20	27	27	27	35	9	99	79	43	44	0	25	25	24	25	26	26	27	43	98	81	45	0	25	25	25	23	27	27	27	57	54	38	0	0	0	32	0	25	45	45	45	45	45	45	45	45	45	31	3	13	4	11	35	40	35	45	45	45	45	99	81	45	45	0	25	25	25	27	27	24	27	35	45	35	45	45	44	0	45	45	45	39	0	60	30	30	40	35	20	35	35	35	20	34	35	10	20	20	35	34	46	20	25	25	20	20	16	999	1	20	20	35	10	35	15	10	35	40	0	15	8	15	15	34	12	13	16	20	10	999	16	16	5	5	10	10	5	5	5	5	5	5	5	5	5
