date	MBAE4112_27056	MBAE4122_27057	MBAE4245_27060	MBAE4247_27061	MBAE4313_27304	MBAE4314_27065	MBAE4315_27459	MBAE4316_27461	MBAE4522_27067	MBAE4524_27069	MBAE4544_27462	MBAE4633_27074	MBAE4811_27075	MBAE4912_27076	MBAE4933_27077
1707240824	50	50	50	50	50	50	50	50	50	50	50	50	50	50	10
1707240905	50	50	50	50	50	50	50	50	50	50	50	50	50	50	10
1707240930	50	50	50	50	50	50	50	50	50	50	50	50	50	50	10
1707240941	50	50	50	50	50	50	50	50	50	50	50	50	50	50	10
1707241000	50	50	50	50	50	50	50	50	50	50	50	50	50	50	10
1707241012	50	50	50	50	50	50	50	50	50	50	50	50	50	50	10
1707241023	50	50	50	50	50	50	50	50	50	50	50	50	50	50	10
1707241039	50	50	50	50	50	50	50	50	50	50	50	50	50	50	10
1707241047	50	50	50	50	50	50	50	50	50	50	50	50	50	50	10
1707241055	50	50	50	50	50	50	50	50	50	50	50	50	50	50	10
1707241129	50	50	50	50	50	50	50	50	50	50	50	50	50	50	10
1707241147	50	48	48	50	50	50	50	50	48	50	50	48	48	50	10
1707241221	49	47	47	49	49	49	49	49	47	49	49	47	47	50	10
1707241307	49	47	47	49	49	49	49	49	47	49	49	47	47	50	10
1707241415	39	47	47	39	39	39	39	39	47	40	39	47	47	50	10
1707241512	39	47	47	39	39	39	39	39	47	40	39	47	47	50	10
1707241556	39	47	47	39	39	39	39	39	47	40	39	47	47	50	10
1707241623	39	47	47	39	39	39	39	39	47	40	39	47	47	50	10
1707241717	39	47	47	39	39	39	39	39	47	40	39	47	47	50	10
1707241814	39	46	46	39	39	39	39	39	46	40	39	46	46	50	10
1707241848	39	45	45	39	39	39	39	39	45	40	39	45	45	50	10
1707242034	39	44	44	39	39	39	39	39	44	40	39	44	44	50	10
1707242132	39	44	44	39	39	39	39	39	44	40	39	44	44	50	10
1707242210	39	44	44	39	39	39	39	39	44	40	39	44	44	50	10
1707242307	39	44	44	39	39	39	39	39	44	40	39	44	44	50	10
1707242329	38	44	44	38	38	38	38	38	44	39	38	44	44	50	10
1707242343	38	44	44	38	38	38	38	38	44	39	38	44	44	50	10
1707250748	38	44	44	38	38	38	38	38	44	39	38	44	44	50	10
1707251027	38	43	43	38	38	38	38	38	43	39	38	43	43	50	10
1707251309	37	42	42	37	37	37	37	37	42	38	37	42	42	49	10
1707251351	36	41	41	36	36	36	36	36	41	37	36	41	41	49	10
1707251441	36	41	41	36	36	36	36	36	41	37	36	41	41	49	10
1707251521	36	41	41	36	36	36	36	36	41	37	36	41	41	49	10
1707251605	36	41	41	36	36	36	36	36	41	37	36	41	41	49	10
1707251658	36	41	41	36	36	36	36	36	41	37	36	41	41	49	10
1707251727	35	41	41	35	35	35	35	35	41	36	35	41	41	49	10
1707251900	34	41	40	34	34	34	34	34	40	35	34	41	40	49	10
1707251927	34	40	39	34	34	34	34	34	39	35	34	40	39	49	10
1707252025	34	40	39	34	34	34	34	34	39	35	34	40	39	49	10
1707252100	34	40	39	34	34	34	34	34	39	35	34	40	39	49	10
1707252124	34	40	39	34	34	34	34	34	39	35	34	40	39	49	10
1707252143	34	40	39	34	34	34	34	34	39	35	34	40	39	49	10
1707252259	34	39	38	34	34	34	34	34	38	35	34	39	38	49	10
1707252332	34	39	38	34	34	34	34	34	38	35	34	39	38	49	10
1707260820	33	39	38	33	33	33	33	33	38	34	33	39	38	49	10
1707261009	33	37	36	33	33	33	33	33	36	34	33	37	36	49	10
1707261047	33	37	36	33	33	33	33	33	36	34	33	37	36	49	10
1707261116	33	37	36	33	33	33	33	33	36	34	33	37	36	49	10
1707261144	32	37	36	32	32	32	32	32	36	33	32	37	36	49	10
1707261213	31	37	36	31	31	31	31	31	36	32	31	37	36	49	10
1707261257	31	36	35	31	31	31	31	31	35	32	31	36	35	49	10
1707261315	31	36	35	31	31	31	31	31	35	32	31	36	35	49	10
1707261354	31	36	35	31	31	31	31	31	35	32	31	36	35	49	10
1707261538	31	34	33	31	31	31	31	31	33	32	31	34	33	49	10
1707261603	31	34	33	31	31	31	31	31	33	32	31	34	33	49	10
1707261646	31	33	32	31	31	31	31	31	32	32	31	33	32	49	10
1707261709	31	33	32	31	31	31	31	31	32	32	31	33	32	49	10
1707261733	31	33	32	31	31	31	31	31	32	32	31	33	32	49	10
1707261807	31	33	32	31	31	31	31	31	32	32	31	33	32	49	10
1707261822	31	33	32	31	31	31	31	31	32	32	31	33	32	49	10
1707261842	31	33	32	31	31	31	31	31	32	32	31	33	32	49	10
1707261903	31	33	32	31	31	31	31	31	32	32	31	33	32	49	10
1707261944	31	33	32	31	31	31	31	31	32	32	31	33	32	49	10
1707262004	31	33	32	31	31	31	31	31	32	32	31	33	32	49	10
1707262107	31	33	32	31	31	31	31	31	32	32	31	33	32	49	10
1707262125	31	33	32	31	31	31	31	31	32	32	31	33	32	49	10
1707262142	31	33	32	31	31	31	31	31	32	32	31	33	32	49	10
1707262337	31	33	32	31	31	31	31	31	32	32	31	33	32	49	10
1707270001	31	33	32	31	31	31	31	31	32	32	31	33	32	49	10
1707270737	30	32	31	30	30	30	30	30	31	31	30	32	31	49	10
1707270816	30	32	31	30	30	30	30	30	31	31	30	32	31	49	10
1707270840	30	31	30	30	30	30	30	30	30	31	30	31	30	49	10
1707270903	30	31	30	30	30	30	30	30	30	31	30	31	30	49	10
1707271009	29	31	30	29	29	29	29	29	30	30	29	31	30	49	10
1707271027	29	31	30	29	29	29	29	29	30	30	29	31	30	49	10
1707271053	29	30	30	29	29	29	29	29	30	30	29	30	30	49	10
1707271136	29	30	30	29	29	29	29	29	30	30	29	30	30	49	10
1707271218	29	30	30	29	29	29	29	29	30	30	29	30	30	49	10
1707271250	29	30	30	29	29	29	29	29	30	30	29	30	30	49	10
1707271309	29	30	30	29	29	29	29	29	30	30	29	30	30	49	10
1707271338	29	30	30	29	29	29	29	29	30	30	29	30	30	49	10
1707271422	29	30	30	29	29	29	29	29	30	30	29	30	30	49	10
1707271448	29	30	30	29	29	29	29	29	30	30	29	30	30	49	10
1707271510	29	30	30	29	29	29	29	29	30	30	29	30	30	49	10
1707271544	28	30	30	28	28	28	28	28	30	29	28	30	30	49	10
1707271643	28	30	30	28	28	28	28	28	30	29	28	30	30	49	10
1707271704	28	30	30	28	28	28	28	28	30	29	28	30	30	49	10
1707271720	28	30	30	28	28	28	28	28	30	29	28	30	30	49	10
1707271802	28	30	30	28	28	28	28	28	30	29	28	30	30	49	10
1707272002	28	30	30	28	28	28	28	28	30	29	28	30	30	49	10
1707272150	28	30	30	28	28	28	28	28	30	29	28	30	30	49	10
1707272237	28	30	30	28	28	28	28	28	30	29	28	30	30	49	10
1707281100	28	27	27	28	28	28	28	28	27	29	28	27	27	49	10
1707281233	28	25	25	28	28	28	28	28	25	29	28	25	25	49	10
1707281457	28	24	24	28	28	28	28	28	24	29	28	24	24	49	10
1707281621	28	24	24	28	28	28	28	28	24	29	28	24	24	49	10
1707281911	28	24	24	28	28	28	28	28	24	29	28	24	24	49	10
