date	MBIT4005_24740	MBIT4101_16852	MBIT4101_20710	MBIT4102_19970	MBIT4102_22738	MBIT4103_17324	MBIT4201_13984	MBIT4201_16853	MBIT4202_13985	MBIT4204_27080	MBIT4206_19969	MBIT4209_27081	MBIT4210_17326	MBIT4301_17118	MBIT4302_17119	MBIT4303_17120	MBIT4304_24744
1707240824	0	30	30	35	35	35	30	30	35	35	35	35	35	30	10	10	30
1707240905	0	30	30	35	35	35	30	30	35	35	35	35	35	30	10	10	30
1707240930	0	30	30	35	35	35	30	30	35	35	35	35	35	30	10	10	30
1707240941	0	30	30	35	35	35	30	30	35	35	35	35	35	30	10	10	30
1707241000	0	30	30	35	35	35	30	30	35	35	35	35	35	30	10	10	30
1707241012	0	30	30	35	35	35	30	30	35	35	35	35	35	30	10	10	30
1707241023	0	30	30	35	35	35	30	30	35	35	35	35	35	30	10	10	30
1707241039	0	29	28	33	35	33	29	30	34	34	35	34	35	30	10	10	30
1707241047	0	29	28	32	35	33	29	30	34	33	35	34	34	30	10	10	30
1707241055	0	28	28	31	35	33	29	30	34	33	35	34	33	30	10	10	30
1707241129	0	25	28	29	34	31	28	30	33	33	33	34	33	30	10	10	30
1707241147	0	16	25	22	32	18	19	29	26	29	30	33	32	21	9	10	27
1707241221	0	12	25	20	31	16	19	28	25	24	30	32	32	18	9	10	27
1707241307	0	13	25	21	31	13	18	28	25	22	30	32	31	17	9	10	27
1707241415	0	7	17	16	30	5	17	25	11	15	25	19	27	3	9	10	26
1707241512	0	5	15	17	29	3	14	21	7	15	24	17	26	0	9	10	26
1707241556	0	4	14	15	29	3	12	21	7	15	24	17	24	0	9	10	24
1707241623	0	4	15	15	29	3	12	21	7	15	24	16	24	0	9	10	24
1707241717	0	5	14	15	29	3	12	20	7	15	24	16	24	0	9	10	24
1707241814	0	5	14	15	29	3	12	20	7	15	24	16	24	0	9	10	24
1707241848	0	5	14	15	29	3	12	20	7	15	24	16	24	0	9	10	24
1707242034	0	5	14	15	29	3	12	20	7	14	24	16	24	0	9	10	24
1707242132	0	5	14	15	29	3	12	19	7	14	24	16	24	0	9	10	24
1707242210	0	5	14	15	28	3	11	19	7	13	24	16	24	0	9	10	24
1707242307	0	5	14	15	28	3	11	19	7	13	24	16	24	0	9	10	24
1707242329	0	5	14	15	28	3	11	19	7	13	24	16	24	0	9	10	24
1707242343	0	5	14	15	28	3	11	19	7	13	24	16	24	0	9	10	24
1707250748	0	5	14	15	28	3	11	19	7	13	24	16	24	0	9	9	24
1707251027	0	5	14	15	28	3	11	19	6	13	24	16	24	0	-1	-1	24
1707251309	0	5	14	15	28	3	10	18	5	13	22	16	24	-1	-1	-1	24
1707251351	0	5	14	15	28	3	10	18	5	13	22	16	24	-1	-1	-1	24
1707251441	0	5	14	15	28	3	10	18	5	13	22	16	24	-1	-1	-1	24
1707251521	0	5	14	15	28	3	9	18	5	13	22	16	24	-1	-1	-1	24
1707251605	0	5	14	15	28	3	9	18	5	13	22	16	24	-1	-1	-1	24
1707251658	0	5	14	15	28	3	7	18	5	10	22	16	24	-1	-1	-1	23
1707251727	0	5	14	15	28	3	7	18	5	10	22	16	24	-1	-1	-1	23
1707251900	0	5	14	15	28	3	7	18	5	9	22	16	24	-1	-1	-1	23
1707251927	0	5	14	15	28	3	7	18	5	9	22	15	24	-1	-1	-1	23
1707252025	0	5	14	15	28	3	7	18	5	9	22	16	24	-1	-1	-1	23
1707252100	0	5	14	15	28	3	7	18	5	9	22	16	24	-1	-1	-1	23
1707252124	0	5	14	15	28	3	7	18	5	9	22	15	24	-1	-1	-1	23
1707252143	0	5	14	15	28	3	7	18	5	9	22	14	24	-1	-1	-1	23
1707252259	0	4	14	15	28	3	7	18	5	9	22	14	24	-1	-1	-1	23
1707252332	0	4	14	15	28	3	7	18	5	9	22	13	24	-1	-1	-1	23
1707260820	0	4	14	15	28	3	7	18	6	9	22	13	24	-1	-1	-1	23
1707261009	0	4	14	14	28	3	7	18	9	9	22	13	24	14	-1	-1	23
1707261047	0	4	15	14	28	3	7	19	9	9	22	13	24	14	-1	-1	23
1707261116	0	4	15	14	27	3	7	19	8	8	23	13	24	14	-1	-1	23
1707261144	0	4	15	14	27	3	7	19	7	8	23	13	24	14	-1	-1	23
1707261213	0	4	15	14	27	3	7	19	7	7	23	13	24	14	-1	-1	23
1707261257	0	4	15	14	27	3	7	19	8	7	23	13	24	14	-1	-1	23
1707261315	0	4	15	14	27	3	7	19	8	7	23	13	24	14	-1	-1	23
1707261354	0	4	15	13	27	3	7	19	8	7	23	13	24	14	-1	-1	23
1707261538	0	4	15	13	27	3	7	19	8	7	23	13	24	14	-1	-1	23
1707261603	0	4	15	13	27	3	7	19	8	7	23	13	24	14	-1	-1	23
1707261646	0	4	15	13	27	3	7	19	8	7	23	13	24	12	-1	-1	23
1707261709	0	4	15	13	27	3	7	19	8	7	23	13	24	12	-1	-1	23
1707261733	0	4	15	13	27	3	7	19	8	7	23	13	24	12	-1	-1	23
1707261807	0	4	15	13	27	3	7	19	8	7	23	13	24	12	-1	-1	23
1707261822	0	4	15	13	27	3	7	19	8	7	23	13	24	12	-1	-1	23
1707261842	0	4	15	13	27	3	7	19	8	7	23	13	24	12	-1	-1	23
1707261903	0	4	15	13	27	3	7	19	8	7	23	13	24	12	-1	-1	23
1707261944	0	4	15	13	27	3	7	19	8	7	23	13	24	12	-1	-1	23
1707262004	0	4	15	13	27	3	7	19	8	7	23	13	24	12	-1	-1	23
1707262107	0	4	15	13	27	3	7	19	8	7	23	13	24	12	-1	-1	23
1707262125	0	4	15	13	27	3	7	19	8	7	23	13	24	12	-1	-1	23
1707262142	0	4	15	13	27	3	7	19	8	7	23	13	24	12	-1	-1	23
1707262337	0	4	15	13	27	3	7	19	8	7	23	13	24	12	-1	-1	23
1707270001	0	4	15	13	27	3	7	19	8	7	23	13	24	12	-1	-1	23
1707270737	0	4	15	13	27	3	7	19	8	6	23	13	24	12	-1	-1	23
1707270816	0	4	15	13	27	3	7	19	8	7	23	13	24	12	-1	-1	23
1707270840	0	4	15	13	27	3	7	19	8	7	23	13	24	12	-1	-1	23
1707270903	0	4	15	13	27	3	7	19	8	7	23	13	24	12	-1	-1	23
1707271009	0	4	14	13	27	3	7	18	7	7	23	13	24	12	-1	-1	23
1707271027	0	4	14	13	27	3	7	18	7	7	23	13	24	12	-1	-1	23
1707271053	0	4	14	13	27	3	6	18	7	7	23	13	24	12	-1	-1	23
1707271136	0	4	14	13	27	3	6	18	6	7	23	12	24	12	-1	-1	23
1707271218	0	4	13	12	27	3	6	18	7	7	23	12	24	12	-1	-1	23
1707271250	0	4	13	12	27	4	6	18	7	6	23	13	24	12	-1	-1	23
1707271309	0	4	13	12	27	3	6	18	7	6	23	13	24	12	-1	-1	23
1707271338	0	4	13	12	27	3	6	18	7	6	23	13	24	12	-1	-1	23
1707271422	0	4	13	11	27	3	6	18	7	6	23	13	24	12	-1	-1	23
1707271448	0	4	13	11	27	3	6	18	7	6	23	13	24	12	-1	-1	23
1707271510	0	4	13	11	27	3	6	18	6	7	23	13	23	12	-1	-1	23
1707271544	0	4	13	11	27	3	6	18	6	7	22	13	23	12	-1	-1	23
1707271643	0	4	13	11	27	3	6	18	5	6	22	13	24	12	-1	-1	23
1707271704	0	4	13	11	27	3	6	18	5	6	22	13	24	12	-1	-1	23
1707271720	0	4	13	11	27	3	6	18	5	6	22	13	24	12	-1	-1	23
1707271802	0	4	13	11	27	3	6	18	5	6	22	13	24	12	-1	-1	23
1707272002	0	4	13	11	27	3	6	19	5	6	22	13	24	12	-1	-1	23
1707272150	0	4	13	11	27	3	6	19	5	6	22	13	24	12	-1	-1	23
1707272237	0	4	13	11	27	3	6	19	5	6	22	13	24	12	-1	-1	23
1707281100	0	4	13	12	27	3	8	19	5	7	22	13	24	2	-1	-1	22
1707281233	0	4	12	10	27	3	9	18	4	7	22	14	24	2	-1	-1	22
1707281457	0	4	12	10	27	3	9	18	4	7	22	14	24	1	-1	-1	22
1707281621	0	4	12	10	27	3	9	18	4	7	22	14	24	1	-1	-1	22
1707281911	0	4	12	10	27	3	9	18	4	7	22	15	24	1	-1	-1	22
