date	MDER4201_27083	MDER4203_11643	MDER4303_12058	MDER4401_11223	MDER4407_27084	MDER4543_13608	MDER4577_27085	MDER4591_27273	MDER4957_27086	MDER4958_27087
1707240824	35	30	35	25	35	40	35	35	35	35
1707240905	35	30	35	25	35	40	35	35	35	35
1707240930	35	30	35	25	35	40	35	35	35	35
1707240941	35	30	35	25	35	40	35	35	35	35
1707241000	35	30	35	25	35	40	35	35	35	35
1707241012	35	30	35	25	35	40	35	35	35	35
1707241023	35	30	35	25	35	40	35	35	35	35
1707241039	35	30	35	25	34	40	35	34	35	35
1707241047	35	30	35	25	34	40	35	34	35	35
1707241055	34	30	35	25	34	40	34	34	35	35
1707241129	29	30	35	25	33	40	33	33	35	31
1707241147	26	29	35	25	32	40	32	25	35	31
1707241221	26	29	35	25	32	40	32	21	34	31
1707241307	25	29	35	25	32	40	32	21	33	31
1707241415	24	26	35	25	32	40	29	18	33	31
1707241512	23	26	35	24	32	40	28	17	33	31
1707241556	23	26	35	24	32	40	28	12	33	31
1707241623	23	26	35	24	32	40	28	11	33	31
1707241717	23	26	35	24	32	40	28	11	33	31
1707241814	22	26	35	23	32	40	28	10	33	31
1707241848	22	26	35	23	32	40	28	10	33	31
1707242034	22	26	35	23	32	40	28	10	32	31
1707242132	22	26	35	23	32	40	28	8	32	31
1707242210	22	26	35	23	32	40	27	8	32	31
1707242307	22	26	35	23	32	40	27	6	32	31
1707242329	22	26	35	23	32	40	27	6	32	31
1707242343	22	26	35	23	32	40	27	6	32	31
1707250748	19	26	35	18	32	40	25	5	31	28
1707251027	19	26	35	18	32	40	26	5	31	28
1707251309	18	26	35	18	29	40	24	4	27	28
1707251351	18	26	35	18	29	40	24	4	27	28
1707251441	17	26	35	18	29	40	23	4	27	28
1707251521	17	26	35	18	29	40	22	3	25	28
1707251605	17	26	35	18	29	40	22	2	25	28
1707251658	17	26	35	18	29	40	22	2	25	28
1707251727	17	26	35	18	29	40	22	2	25	28
1707251900	17	26	35	18	29	40	22	2	25	28
1707251927	17	26	35	18	29	40	22	2	25	28
1707252025	17	26	35	18	29	40	22	2	25	28
1707252100	17	26	35	18	29	40	22	2	25	28
1707252124	17	26	35	18	29	40	22	2	25	28
1707252143	17	26	35	18	29	40	22	2	25	28
1707252259	17	26	35	18	29	40	22	2	25	28
1707252332	17	26	35	18	29	40	22	2	25	28
1707260820	17	25	35	16	29	40	21	2	23	28
1707261009	17	25	35	16	29	40	20	2	23	28
1707261047	17	25	35	16	29	40	20	0	23	28
1707261116	17	25	35	16	29	40	20	0	23	28
1707261144	17	25	35	16	29	40	20	0	23	28
1707261213	17	25	35	16	29	40	20	0	23	28
1707261257	17	25	35	16	29	40	20	0	23	28
1707261315	17	25	35	16	29	40	20	0	23	28
1707261354	17	25	35	16	29	40	20	0	23	28
1707261538	17	25	35	16	29	40	20	0	23	28
1707261603	17	25	35	16	29	40	20	0	23	28
1707261646	17	25	35	16	28	40	20	0	23	28
1707261709	17	25	35	16	28	40	20	0	23	28
1707261733	17	25	35	16	28	40	20	0	23	28
1707261807	17	25	35	16	28	40	20	0	23	28
1707261822	17	25	35	16	28	40	20	0	23	28
1707261842	17	25	35	16	28	40	20	0	23	28
1707261903	17	25	35	16	28	40	20	0	23	28
1707261944	17	25	35	16	28	40	20	0	23	28
1707262004	17	25	35	16	28	40	20	0	23	28
1707262107	17	25	35	16	27	40	20	0	23	28
1707262125	17	25	35	16	25	40	20	0	23	28
1707262142	17	25	35	16	25	40	20	0	23	28
1707262337	17	25	35	16	24	40	20	0	23	28
1707270001	17	25	35	16	24	40	20	0	23	28
1707270737	17	25	35	16	24	40	20	0	23	28
1707270816	17	25	35	16	24	40	20	0	23	28
1707270840	17	25	35	16	24	40	20	0	23	28
1707270903	17	25	35	16	24	40	20	0	23	28
1707271009	16	25	35	16	23	40	20	0	23	28
1707271027	15	25	35	16	23	40	20	0	23	28
1707271053	15	25	35	16	23	40	20	0	23	28
1707271136	15	25	35	16	19	40	20	0	23	28
1707271218	15	25	35	16	19	40	20	0	23	28
1707271250	15	25	35	16	19	40	20	0	23	28
1707271309	15	25	35	16	19	40	20	0	23	28
1707271338	15	25	35	16	19	40	20	0	23	28
1707271422	15	25	35	16	19	40	20	0	23	28
1707271448	15	25	35	16	19	40	20	0	23	28
1707271510	15	25	35	16	19	40	20	0	23	28
1707271544	15	25	35	16	19	40	20	0	23	28
1707271643	15	25	35	16	19	40	20	0	23	28
1707271704	15	25	35	16	21	40	20	0	23	28
1707271720	15	25	35	16	21	40	20	0	23	28
1707271802	15	25	35	16	21	40	20	0	23	28
1707272002	15	25	35	16	21	40	20	0	23	28
1707272150	15	25	35	16	21	40	20	0	23	28
1707272237	15	25	35	16	21	40	20	0	23	28
1707281100	14	25	35	16	20	40	20	0	23	28
1707281233	14	25	35	16	21	40	19	0	23	28
1707281457	14	25	35	16	21	40	19	0	23	28
1707281621	14	25	35	16	21	40	19	0	23	28
1707281911	14	25	35	16	21	40	19	0	23	28
