date	MDIS4105_28117	MDIS4105_28119	MDIS4201_27088	MDIS4202_27089	MDIS4302_27091	MDIS4307_28342	MDIS4401_22109	MDIS4402_20250	MDIS4501_20253	MDIS4601_23554	MDIS4601_25583	MDIS4701_20252	MDIS4801_22110	MDIS4990_26149
1707240824	10	10	20	20	15	20	20	20	20	1	1	20	1	10
1707240905	10	10	20	20	15	20	20	20	20	1	1	20	1	10
1707240930	10	10	20	20	15	20	20	20	20	1	1	20	1	10
1707240941	10	10	20	20	15	20	20	20	20	1	1	20	1	10
1707241000	10	10	20	20	15	20	20	20	20	1	1	20	1	10
1707241012	10	10	20	20	15	20	20	20	20	1	1	20	1	10
1707241023	10	10	20	20	15	20	20	20	20	1	1	20	1	10
1707241039	10	9	20	19	15	20	20	20	20	1	1	20	1	10
1707241047	9	9	18	18	15	20	19	20	20	1	1	19	1	10
1707241055	9	9	18	18	15	20	19	20	19	1	1	19	1	10
1707241129	7	8	16	15	15	19	19	20	19	1	1	19	1	10
1707241147	7	8	16	15	14	17	18	20	17	1	1	17	1	10
1707241221	7	8	16	15	14	17	18	20	17	1	1	17	1	10
1707241307	7	8	16	15	14	16	18	20	17	1	1	16	1	10
1707241415	6	8	15	14	14	15	17	20	15	1	1	16	1	10
1707241512	6	8	15	14	14	14	17	20	14	1	1	16	0	10
1707241556	6	8	15	14	14	14	17	20	13	1	1	16	0	10
1707241623	6	8	15	14	14	14	17	20	13	1	1	16	0	10
1707241717	6	8	15	14	14	14	17	20	13	1	1	16	0	10
1707241814	6	8	15	14	14	14	17	20	13	1	1	16	0	10
1707241848	6	8	15	14	14	14	17	20	13	1	1	16	0	10
1707242034	6	8	15	14	14	14	17	20	13	1	1	16	0	10
1707242132	6	8	15	14	14	14	17	20	13	1	1	16	0	10
1707242210	6	8	15	14	14	14	17	20	13	1	1	16	0	10
1707242307	6	8	15	14	14	14	17	20	13	1	1	16	0	10
1707242329	6	8	15	14	14	14	17	20	13	1	1	16	0	10
1707242343	6	8	15	14	14	14	17	20	13	1	1	16	0	10
1707250748	6	8	15	14	14	14	17	20	13	1	1	16	0	10
1707251027	6	7	15	14	14	14	17	20	13	1	1	16	0	9
1707251309	6	1	15	14	14	14	17	20	13	0	1	16	0	9
1707251351	6	1	15	14	14	14	17	20	13	0	1	16	0	9
1707251441	6	1	15	14	14	14	17	20	13	0	1	16	0	9
1707251521	6	1	15	14	14	14	17	20	13	0	1	16	0	9
1707251605	6	1	15	14	14	14	17	20	13	0	1	16	0	9
1707251658	6	1	15	14	14	14	17	20	13	0	1	16	0	9
1707251727	6	1	15	14	14	14	17	20	13	0	1	16	0	9
1707251900	6	1	15	14	14	14	17	20	13	0	1	16	0	9
1707251927	6	1	15	14	14	14	17	20	13	0	1	16	0	9
1707252025	6	1	15	14	12	14	17	20	13	0	1	16	0	9
1707252100	6	1	15	14	12	14	17	20	13	0	1	16	0	9
1707252124	6	1	15	14	12	14	17	20	13	0	1	16	0	8
1707252143	6	1	15	14	12	14	17	20	13	0	1	16	0	8
1707252259	6	1	15	14	12	14	17	20	13	0	1	16	0	8
1707252332	6	1	15	14	12	14	17	20	13	0	1	16	0	8
1707260820	5	1	14	13	9	14	17	20	13	0	1	16	0	8
1707261009	5	1	14	13	5	14	17	20	13	0	1	16	0	8
1707261047	5	1	14	13	5	14	17	20	13	0	1	16	0	8
1707261116	5	1	14	13	4	14	17	20	13	0	1	16	0	8
1707261144	5	1	14	13	4	14	17	20	13	0	1	16	0	8
1707261213	5	1	14	13	4	14	17	20	13	0	1	16	0	8
1707261257	5	1	14	13	4	14	17	20	13	0	1	16	0	8
1707261315	5	1	14	13	4	14	17	20	13	0	1	16	0	8
1707261354	5	0	14	13	4	14	17	20	13	0	1	16	0	8
1707261538	5	0	14	13	4	14	17	20	13	0	1	16	0	8
1707261603	5	0	14	13	4	14	17	20	13	0	1	16	0	8
1707261646	5	0	14	13	3	14	17	20	13	0	1	16	0	8
1707261709	5	0	14	13	3	14	17	20	13	0	1	16	0	8
1707261733	5	0	14	13	3	14	17	20	13	0	1	16	0	8
1707261807	5	0	14	13	3	14	17	20	13	0	1	16	0	8
1707261822	5	0	14	13	3	14	17	20	13	0	1	16	0	8
1707261842	5	0	14	13	3	14	17	20	13	0	1	16	0	8
1707261903	5	0	14	13	3	14	17	20	13	0	1	16	0	8
1707261944	5	0	14	13	3	14	17	20	13	0	1	16	0	8
1707262004	5	0	14	13	3	14	17	20	13	0	1	16	0	8
1707262107	5	0	14	13	3	14	17	20	13	0	1	16	0	8
