date	MECA4203_27094	MECA4204_28215	MECA4301_27095	MECA4303_27096	MECA4401_27097	MECA4502_27098
1707240824	25	25	25	25	25	25
1707240905	25	25	25	25	25	25
1707240930	25	25	25	25	25	25
1707240941	25	25	25	25	25	25
1707241000	25	25	25	25	25	25
1707241012	25	25	25	25	25	25
1707241023	25	25	25	25	25	25
1707241039	25	25	25	25	25	25
1707241047	25	25	25	25	25	25
1707241055	25	25	25	25	25	25
1707241129	23	24	25	25	23	25
1707241147	21	24	25	23	23	23
1707241221	20	23	25	23	23	22
1707241307	18	23	25	23	23	20
1707241415	15	23	25	21	23	17
1707241512	11	21	21	16	15	11
1707241556	9	18	20	15	12	10
1707241623	8	18	20	12	9	9
1707241717	6	18	17	11	5	8
1707241814	6	18	17	7	5	7
1707241848	3	19	17	5	5	5
1707242034	3	19	17	5	5	5
1707242132	3	19	17	5	4	5
1707242210	3	19	15	5	1	5
1707242307	3	19	14	5	1	5
1707242329	3	19	13	5	0	5
1707242343	3	19	13	5	0	5
1707250748	3	19	13	5	0	5
1707251027	3	18	11	4	3	2
1707251309	2	18	11	3	3	0
1707251351	2	18	11	3	3	0
1707251441	1	18	11	3	2	0
1707251521	1	18	11	3	2	0
1707251605	0	18	11	1	1	0
1707251658	0	17	11	1	1	0
1707251727	-1	17	11	1	1	-1
1707251900	-1	15	12	-1	-1	-1
1707251927	4	15	11	4	4	0
1707252025	4	15	11	3	4	0
1707252100	4	15	11	3	4	0
1707252124	4	15	11	2	4	0
1707252143	4	15	11	2	4	0
1707252259	4	15	10	2	3	0
1707252332	4	15	10	2	3	0
1707260820	2	15	10	2	3	0
1707261009	2	15	10	2	3	-2
1707261047	7	15	10	7	4	0
1707261116	7	14	8	7	4	0
1707261144	7	14	8	7	4	0
1707261213	7	14	8	7	4	0
1707261257	7	14	8	7	5	0
1707261315	7	14	8	7	5	0
1707261354	7	14	8	7	5	0
1707261538	7	14	8	7	5	0
1707261603	7	14	8	7	5	0
1707261646	7	14	8	7	5	0
1707261709	7	14	7	7	5	0
1707261733	7	14	7	6	5	0
1707261807	7	14	7	6	5	0
1707261822	7	14	7	6	5	0
1707261842	7	14	7	6	5	0
1707261903	7	14	7	6	5	0
1707261944	7	14	7	6	5	0
1707262004	7	14	7	6	5	0
1707262107	6	14	7	5	5	0
1707262125	6	14	7	5	5	0
1707262142	6	14	7	5	5	0
1707262337	6	14	7	5	5	0
1707270001	6	14	7	5	5	0
1707270737	6	15	7	4	5	0
1707270816	7	15	7	4	5	0
1707270840	7	15	7	4	5	0
1707270903	7	15	7	4	5	0
1707271009	7	15	7	3	5	-1
1707271027	7	15	7	3	5	-2
1707271053	7	15	7	3	5	-2
1707271136	7	15	7	2	4	-2
1707271218	7	15	7	2	4	-2
1707271250	7	15	7	2	4	-2
1707271309	7	15	7	2	4	-2
1707271338	7	15	7	2	4	-2
1707271422	7	14	10	0	4	-2
1707271448	7	14	10	0	4	-2
1707271510	7	14	10	0	4	-2
1707271544	7	14	10	0	4	-2
1707271643	7	14	10	0	4	-2
1707271704	7	14	10	0	4	-2
1707271720	7	14	10	0	4	-3
1707271802	7	14	10	0	3	0
1707272002	7	14	10	0	3	0
1707272150	7	14	10	0	3	0
1707272237	7	14	10	0	3	0
1707281100	7	14	10	0	3	0
1707281233	7	14	10	0	3	0
1707281457	7	14	10	0	3	0
1707281621	7	14	10	0	3	0
1707281911	7	14	10	0	3	0
