date	MECU4109_27099	MECU4202_10825	MECU4203_11000
1707240824	5	30	30
1707240905	5	30	30
1707240930	5	30	30
1707240941	5	30	30
1707241000	5	30	30
1707241012	5	30	30
1707241023	5	30	30
1707241039	5	30	30
1707241047	5	30	30
1707241055	5	30	30
1707241129	5	30	30
1707241147	5	29	30
1707241221	5	29	30
1707241307	5	29	30
1707241415	5	29	30
1707241512	5	27	29
1707241556	5	26	28
1707241623	5	26	28
1707241717	5	25	27
1707241814	5	25	27
1707241848	5	25	27
1707242034	5	25	27
1707242132	5	25	27
1707242210	5	25	27
1707242307	5	25	27
1707242329	5	25	27
1707242343	5	25	27
1707250748	5	25	27
1707251027	5	25	27
1707251309	5	25	27
1707251351	5	25	27
1707251441	5	25	27
1707251521	5	25	27
1707251605	5	25	27
1707251658	5	25	27
1707251727	5	25	27
1707251900	5	25	27
1707251927	5	25	27
1707252025	5	25	27
1707252100	5	25	27
1707252124	5	25	27
1707252143	5	25	27
1707252259	5	25	27
1707252332	5	25	27
1707260820	5	25	27
1707261009	5	25	27
1707261047	5	25	26
1707261116	5	25	26
1707261144	5	25	26
1707261213	5	25	26
1707261257	5	25	26
1707261315	5	25	26
1707261354	5	25	26
1707261538	5	25	26
1707261603	5	25	26
1707261646	5	25	26
1707261709	5	25	26
1707261733	5	25	26
1707261807	5	25	26
1707261822	5	25	26
1707261842	5	25	26
1707261903	5	25	26
1707261944	5	25	26
1707262004	5	25	26
1707262107	5	25	26
1707262125	5	25	26
1707262142	5	25	26
1707262337	5	25	26
1707270001	5	25	26
1707270737	5	25	25
1707270816	5	25	25
1707270840	5	25	25
1707270903	5	25	25
1707271009	5	25	25
1707271027	5	25	25
1707271053	5	25	25
1707271136	5	25	25
1707271218	5	25	25
1707271250	5	25	25
1707271309	5	25	25
1707271338	5	25	25
1707271422	5	25	25
1707271448	5	24	25
1707271510	5	24	25
1707271544	5	24	25
1707271643	5	24	25
1707271704	5	24	24
1707271720	5	24	24
1707271802	5	24	24
1707272002	5	24	24
1707272150	5	24	24
1707272237	5	24	24
1707281100	5	24	23
1707281233	5	24	23
1707281457	5	23	23
1707281621	5	23	23
1707281911	5	23	23
