date	MFIN4000_27108	MFIN4000_27397	MFIN4200_27408	MFIN4200_27409	MFIN4205_27412	MFIN4205_27413	MFIN4208_28333	MFIN4208_28334	MFIN4213_27410	MFIN4213_27411	MFIN4218_27116	MFIN4220_27117	MFIN4246_27119	MFIN4251_27475	MFIN4251_27479	MFIN4252_28133	MFIN4252_28305	MFIN4253_28330	MFIN4253_28331	MFIN4254_28634	MFIN4254_28635	MFIN4900_27414	MFIN4900_27415	MFIN4900_27416
1707240824	35	35	30	30	35	35	35	35	30	30	23	23	23	35	35	35	35	35	35	35	35	22	22	22
1707240905	35	35	30	30	35	35	35	35	30	30	23	23	23	35	35	35	35	35	35	35	35	22	22	22
1707240930	35	35	30	30	35	35	35	35	30	30	23	23	23	35	35	35	35	35	35	35	35	22	22	22
1707240941	35	35	30	30	35	35	35	35	30	30	23	23	23	35	35	35	35	35	35	35	35	22	22	22
1707241000	35	35	30	30	35	35	35	35	30	30	23	23	23	35	35	35	35	35	35	35	35	22	22	22
1707241012	35	35	30	30	35	35	35	35	30	30	23	23	23	35	35	35	35	35	35	35	35	22	22	22
1707241023	35	35	30	30	35	35	35	35	30	30	23	23	23	35	35	35	35	35	35	35	35	22	22	22
1707241039	35	35	30	30	35	35	35	35	30	30	23	23	23	35	35	35	35	35	35	35	35	22	22	22
1707241047	35	35	30	30	35	35	35	35	30	30	23	23	23	35	35	35	35	35	35	35	35	22	22	22
1707241055	35	35	30	30	35	35	35	35	30	30	23	23	23	35	35	35	35	35	35	35	35	22	22	22
1707241129	35	35	30	30	35	35	35	35	30	30	23	23	23	35	35	35	35	35	35	35	35	22	22	22
1707241147	0	19	15	0	16	0	3	17	0	13	9	6	5	23	0	23	0	35	35	35	35	0	0	10
1707241221	0	13	12	0	10	0	0	17	0	10	9	5	4	18	0	18	0	26	31	31	26	2	0	4
1707241307	0	8	11	0	9	0	0	12	0	8	8	4	4	13	0	13	0	6	4	4	6	1	0	4
1707241415	0	6	11	0	9	0	0	13	0	8	9	4	4	12	0	12	0	3	0	0	3	1	0	4
