date	MGAD4101_27122	MGAD4103_27123	MGAD4201_27124	MGAD4302_27125	MGAD4302_28632
1707240824	65	65	65	65	65
1707240905	65	65	65	65	65
1707240930	65	65	65	65	65
1707240941	65	65	65	65	65
1707241000	65	65	65	65	65
1707241012	65	65	65	65	65
1707241023	65	65	65	65	65
1707241039	65	65	65	65	65
1707241047	65	65	65	65	65
1707241055	65	65	65	65	65
1707241129	65	65	65	65	65
1707241147	57	61	61	63	64
1707241221	53	61	59	61	55
1707241307	53	61	59	60	54
1707241415	51	60	59	59	51
1707241512	51	59	58	57	50
1707241556	51	59	58	57	46
1707241623	49	59	58	56	46
1707241717	47	59	58	56	45
1707241814	46	59	58	56	44
1707241848	45	58	57	55	43
1707242034	41	58	55	54	41
1707242132	40	57	55	53	40
1707242210	39	57	54	52	39
1707242307	39	57	54	49	37
1707242329	39	57	54	49	37
1707242343	39	57	54	49	37
1707250748	38	57	53	48	36
1707251027	37	57	53	46	35
1707251309	34	42	41	44	35
1707251351	34	42	41	44	34
1707251441	33	41	40	44	34
1707251521	32	39	38	44	34
1707251605	32	38	37	44	34
1707251658	32	37	35	44	34
1707251727	31	37	35	44	34
1707251900	29	36	34	44	33
1707251927	29	35	34	44	33
1707252025	29	35	34	44	33
1707252100	29	35	34	44	33
1707252124	28	35	34	44	33
1707252143	28	34	33	44	33
1707252259	27	33	32	44	33
1707252332	27	33	32	44	33
1707260820	27	33	32	44	33
1707261009	27	32	30	43	33
1707261047	27	32	30	43	33
1707261116	26	31	29	43	33
1707261144	25	29	27	43	33
1707261213	25	29	27	43	32
1707261257	25	29	26	43	32
1707261315	25	29	26	43	32
1707261354	23	27	24	43	32
1707261538	22	26	24	43	32
1707261603	22	26	24	43	32
1707261646	22	25	24	43	32
1707261709	22	25	24	43	32
1707261733	22	25	24	43	32
1707261807	22	25	24	43	32
1707261822	22	25	24	43	32
1707261842	22	25	24	43	31
1707261903	22	25	23	43	31
1707261944	22	25	23	43	32
1707262004	22	25	23	43	32
1707262107	22	25	23	42	32
1707262125	22	25	23	42	32
1707262142	22	25	23	42	32
1707262337	22	25	23	41	32
1707270001	22	25	23	41	32
1707270737	22	25	23	41	32
1707270816	22	25	23	41	32
1707270840	22	25	23	41	32
1707270903	22	25	23	41	32
1707271009	22	25	23	41	32
1707271027	22	26	23	40	32
1707271053	22	26	23	40	32
1707271136	22	26	23	40	32
1707271218	22	26	23	40	32
1707271250	22	26	23	40	32
1707271309	22	26	23	40	32
1707271338	22	26	23	40	32
1707271422	21	25	22	39	32
1707271448	21	25	22	39	32
1707271510	21	25	21	39	32
1707271544	18	24	20	38	32
1707271643	18	24	20	38	32
1707271704	18	24	20	38	32
1707271720	18	24	20	38	32
1707271802	18	24	20	40	32
1707272002	18	24	20	40	32
1707272150	18	24	20	40	32
1707272237	18	24	20	40	32
1707281100	18	24	19	40	32
1707281233	18	23	18	40	32
1707281457	18	23	18	40	32
1707281621	18	23	18	40	32
1707281911	18	23	18	40	32
