date	MGEO4501_25561	MGEO4502_11666	MGEO4503_12180	MGEO4504_12181	MGEO4600_11667
1707240824	0	0	0	0	0
1707240905	7	20	20	20	15
1707240930	7	20	20	20	15
1707240941	7	20	20	20	15
1707241000	7	20	20	20	15
1707241012	7	20	20	20	15
1707241023	7	20	20	20	15
1707241039	7	20	20	20	15
1707241047	7	20	20	20	15
1707241055	7	20	20	20	15
1707241129	7	20	20	20	15
1707241147	7	20	19	19	15
1707241221	7	20	19	19	15
1707241307	7	20	19	19	15
1707241415	7	19	19	18	15
1707241512	6	19	18	18	15
1707241556	6	18	18	18	15
1707241623	6	18	18	18	15
1707241717	6	18	18	18	15
1707241814	5	18	18	18	15
1707241848	5	18	18	18	15
1707242034	5	18	18	18	15
1707242132	5	18	18	18	15
1707242210	5	18	18	17	15
1707242307	5	18	18	17	15
1707242329	5	18	18	17	15
1707242343	5	18	18	17	15
1707250748	5	18	18	17	15
1707251027	5	18	18	17	15
1707251309	5	15	18	17	15
1707251351	5	15	18	17	15
1707251441	5	15	17	17	15
1707251521	5	15	17	17	15
1707251605	5	15	17	17	15
1707251658	5	15	17	17	15
1707251727	5	15	17	17	15
1707251900	5	15	17	17	15
1707251927	5	15	17	17	15
1707252025	5	15	17	17	15
1707252100	5	15	17	17	15
1707252124	5	15	17	17	14
1707252143	5	15	17	17	14
1707252259	5	15	17	17	14
1707252332	5	15	17	17	14
1707260820	5	15	17	17	14
1707261009	5	15	17	17	14
1707261047	5	15	17	17	14
1707261116	5	15	17	17	14
1707261144	5	15	17	17	14
1707261213	5	15	17	17	14
1707261257	5	15	17	17	14
1707261315	5	15	17	17	14
1707261354	5	15	17	17	14
1707261538	5	15	17	17	14
1707261603	5	15	17	17	14
1707261646	5	15	17	17	14
1707261709	5	15	16	16	14
1707261733	5	15	15	15	14
1707261807	5	15	15	15	14
1707261822	5	15	15	15	14
1707261842	5	15	15	15	14
1707261903	5	15	15	15	14
1707261944	5	15	15	15	14
1707262004	5	15	15	15	14
1707262107	5	15	15	15	14
1707262125	5	15	15	15	14
1707262142	5	15	15	15	14
1707262337	5	15	15	15	14
1707270001	5	15	15	15	14
1707270737	5	15	15	14	14
1707270816	5	15	15	14	14
1707270840	5	15	15	14	14
1707270903	5	15	15	14	14
1707271009	5	15	15	14	14
1707271027	5	14	15	14	14
1707271053	5	14	15	14	14
1707271136	5	14	15	14	14
1707271218	5	14	15	14	14
1707271250	5	14	15	14	14
1707271309	5	14	15	14	14
1707271338	5	14	15	14	14
1707271422	5	14	15	14	14
1707271448	5	14	15	14	14
1707271510	5	14	15	14	14
1707271544	5	14	15	14	14
1707271643	5	14	15	14	14
1707271704	5	14	15	14	14
1707271720	5	14	15	14	14
1707271802	5	14	15	14	14
1707272002	5	14	15	14	14
1707272150	5	14	15	14	14
1707272237	5	14	15	14	14
1707281100	5	14	15	14	14
1707281233	5	14	15	14	14
1707281457	5	14	15	14	14
1707281621	5	14	15	14	14
1707281911	5	14	15	14	14
