date	MGPD4422_28729	MGPD4433_27131	MGPD4446_27132
1707240824	0	30	50
1707240905	0	30	50
1707240930	0	30	50
1707240941	0	30	50
1707241000	0	30	50
1707241012	0	30	50
1707241023	0	30	50
1707241039	0	30	50
1707241047	0	30	50
1707241055	0	30	50
1707241129	0	30	50
1707241147	0	29	48
1707241221	0	27	46
1707241307	0	27	45
1707241415	0	26	44
1707241512	0	24	41
1707241556	0	24	41
1707241623	0	24	40
1707241717	0	24	40
1707241814	0	24	40
1707241848	0	24	39
1707242034	0	24	38
1707242132	0	23	37
1707242210	0	23	36
1707242307	0	23	33
1707242329	0	23	33
1707242343	0	23	33
1707250748	0	22	32
1707251027	0	22	30
1707251309	0	22	30
1707251351	0	22	30
1707251441	0	22	30
1707251521	0	22	30
1707251605	0	22	30
1707251658	0	22	30
1707251727	0	22	30
1707251900	0	22	30
1707251927	0	22	30
1707252025	0	22	30
1707252100	0	22	30
1707252124	0	22	30
1707252143	0	22	30
1707252259	0	22	29
1707252332	0	22	29
1707260820	0	22	29
1707261009	0	21	29
1707261047	0	21	29
1707261116	0	21	29
1707261144	0	21	29
1707261213	0	21	29
1707261257	0	21	29
1707261315	0	21	29
1707261354	0	21	29
1707261538	0	21	29
1707261603	0	21	29
1707261646	0	21	30
1707261709	0	21	31
1707261733	0	21	31
1707261807	0	21	31
1707261822	0	21	31
1707261842	0	21	31
1707261903	0	21	31
1707261944	0	21	31
1707262004	0	21	31
1707262107	0	21	31
1707262125	0	21	30
1707262142	0	21	30
1707262337	0	21	29
1707270001	0	21	29
1707270737	0	21	29
1707270816	0	21	29
1707270840	0	21	28
1707270903	0	21	28
1707271009	0	21	28
1707271027	0	21	28
1707271053	0	21	28
1707271136	0	21	28
1707271218	0	21	28
1707271250	0	21	28
1707271309	0	21	28
1707271338	0	21	28
1707271422	0	21	27
1707271448	0	21	27
1707271510	3	21	27
1707271544	3	21	26
1707271643	3	21	26
1707271704	3	21	26
1707271720	3	21	26
1707271802	3	21	28
1707272002	3	21	28
1707272150	3	21	28
1707272237	3	21	28
1707281100	3	21	27
1707281233	3	21	26
1707281457	3	21	26
1707281621	3	21	26
1707281911	3	21	26
