date	MHAR4002_22162	MHAR4004_27350	MHAR4008_27351	MHAR4013_27352	MHAR4014_27353	MHAR4015_27354
1707240824	45	3	20	20	20	20
1707240905	45	3	20	20	20	20
1707240930	45	3	20	20	20	20
1707240941	45	3	20	20	20	20
1707241000	45	3	20	20	20	20
1707241012	45	3	20	20	20	20
1707241023	45	3	20	20	20	20
1707241039	44	3	20	20	20	20
1707241047	44	3	20	20	20	20
1707241055	42	3	20	19	20	19
1707241129	39	3	20	19	20	19
1707241147	39	2	20	15	16	17
1707241221	37	2	20	15	15	16
1707241307	36	2	20	15	15	16
1707241415	36	0	18	7	13	14
1707241512	35	0	17	6	12	13
1707241556	34	0	17	6	12	13
1707241623	34	0	17	6	11	13
1707241717	32	0	17	6	10	12
1707241814	32	0	17	2	9	11
1707241848	32	0	17	2	8	10
1707242034	31	0	16	1	9	10
1707242132	31	0	16	1	8	10
1707242210	30	0	16	1	9	9
1707242307	30	0	16	1	9	9
1707242329	30	0	16	1	9	9
1707242343	30	0	16	1	9	9
1707250748	30	0	16	0	9	9
1707251027	28	0	16	-1	9	8
1707251309	28	0	16	-1	9	8
1707251351	28	0	16	-1	9	8
1707251441	28	0	16	-1	9	8
1707251521	28	0	16	-1	9	8
1707251605	28	0	16	-1	9	8
1707251658	28	0	16	-1	9	8
1707251727	27	0	16	-1	9	8
1707251900	27	0	16	-1	8	7
1707251927	27	0	16	-1	8	7
1707252025	27	0	16	-1	8	7
1707252100	27	0	16	-1	8	7
1707252124	27	0	16	-1	8	7
1707252143	26	0	16	-1	8	6
1707252259	26	0	16	-1	7	7
1707252332	26	0	16	-1	7	7
1707260820	26	0	16	-1	7	7
1707261009	26	0	16	-1	6	7
1707261047	26	0	16	-1	6	7
1707261116	26	0	16	-1	6	7
1707261144	26	0	16	-1	6	7
1707261213	26	0	15	-1	6	7
1707261257	26	0	15	-1	6	7
1707261315	26	0	15	-1	6	7
1707261354	26	0	15	-1	6	7
1707261538	25	0	15	0	6	6
1707261603	25	0	15	0	6	6
1707261646	25	0	15	0	6	6
1707261709	25	0	15	0	6	6
1707261733	25	0	15	0	6	6
1707261807	25	0	15	0	6	6
1707261822	25	0	15	0	6	6
1707261842	25	0	15	0	6	6
1707261903	25	0	15	0	6	6
1707261944	25	0	15	0	6	6
1707262004	25	0	15	0	6	6
1707262107	25	0	15	0	6	6
1707262125	25	0	15	0	6	6
1707262142	25	0	15	0	6	6
1707262337	25	0	15	0	6	5
1707270001	25	0	15	0	6	5
1707270737	25	0	15	0	6	5
1707270816	25	0	15	0	6	5
1707270840	25	0	15	0	6	5
1707270903	25	0	15	0	6	5
1707271009	24	0	15	1	6	5
1707271027	24	0	15	0	6	6
1707271053	25	0	15	0	5	6
1707271136	25	0	15	0	5	6
1707271218	25	0	15	0	5	6
1707271250	25	0	15	0	5	6
1707271309	25	0	15	0	5	6
1707271338	25	0	15	0	5	6
1707271422	25	0	15	0	5	6
1707271448	25	0	15	0	5	6
1707271510	25	0	15	0	5	6
1707271544	25	0	15	0	5	6
1707271643	25	0	15	0	5	6
1707271704	25	0	15	0	5	6
1707271720	25	0	15	0	5	6
1707271802	25	0	15	0	5	6
1707272002	25	0	15	0	5	6
1707272150	25	0	15	0	5	6
1707272237	25	0	15	0	5	6
1707281100	25	0	15	0	5	6
1707281233	25	0	15	0	5	6
1707281457	25	0	15	0	5	6
1707281621	25	0	15	0	5	6
1707281911	25	0	15	0	5	6
