date	MIAD4104_27139	MIAD4105_27140	MIAD4106_27141	MIAD4107_27142	MIAD4108_27143	MIAD4109_27144	MIAD4201_27145	MIAD4203_27146	MIAD4300_27147	MIAD4402_27464	MIAD4970_20332	MIAD4971_28552	MIAD4979_28553	MIAD4988_27149	MIAD4990_25102
1707240824	18	12	12	12	12	18	12	12	12	4	4	4	1	1	1
1707240905	18	12	12	12	12	18	12	12	12	4	4	4	1	1	1
1707240930	18	12	12	12	12	18	12	12	12	4	4	4	1	1	1
1707240941	18	12	12	12	12	18	12	12	12	4	4	4	1	1	1
1707241000	18	12	12	12	12	18	12	12	12	4	4	4	1	1	1
1707241012	18	12	12	12	12	18	12	12	12	4	4	4	1	1	1
1707241023	18	12	12	12	12	18	12	12	12	4	4	4	1	1	1
1707241039	18	12	12	12	12	18	12	12	12	4	4	4	1	1	1
1707241047	18	12	12	12	12	18	12	12	12	4	4	4	1	1	1
1707241055	18	12	12	12	12	18	12	12	12	4	4	4	1	1	1
1707241129	18	12	12	12	12	18	12	12	12	4	4	4	1	1	1
1707241147	18	12	12	12	12	17	12	12	11	4	4	4	1	1	0
1707241221	18	12	12	12	12	17	11	12	11	4	4	4	1	1	0
1707241307	18	12	12	12	12	17	11	12	11	4	4	4	1	1	0
1707241415	16	11	11	11	11	16	11	12	11	4	4	4	1	1	0
1707241512	14	11	9	11	9	15	11	12	11	4	4	4	1	1	0
1707241556	13	10	9	9	9	14	11	11	11	3	4	4	1	1	0
1707241623	13	10	9	9	9	14	11	11	11	3	4	4	1	1	0
1707241717	13	10	9	9	9	14	11	11	11	3	4	4	1	1	0
1707241814	13	10	9	9	9	13	11	11	11	3	4	4	1	1	0
1707241848	13	10	9	9	9	13	11	11	11	3	4	4	1	1	0
1707242034	13	10	9	9	9	13	11	11	11	3	4	4	1	1	0
1707242132	13	10	9	9	9	13	11	11	11	3	4	4	1	1	0
1707242210	13	10	9	9	9	13	11	11	11	3	4	4	1	1	0
1707242307	13	10	9	9	9	13	11	11	11	3	4	4	1	1	0
1707242329	13	10	9	9	9	13	11	11	11	3	4	4	1	1	0
1707242343	13	10	9	9	9	13	11	11	11	3	4	4	1	1	0
1707250748	13	10	9	9	9	13	11	11	11	3	4	4	1	1	0
1707251027	13	10	9	9	9	13	11	11	11	3	4	4	1	1	0
1707251309	13	10	9	9	9	13	11	11	11	3	4	4	1	1	0
1707251351	13	10	9	9	9	13	11	11	11	3	4	4	0	1	0
1707251441	13	10	9	9	9	13	11	11	11	3	4	4	0	1	0
1707251521	13	10	9	9	9	13	11	11	11	3	4	4	0	1	0
1707251605	13	10	9	9	9	13	11	11	11	3	4	4	0	1	0
1707251658	13	10	9	9	9	13	11	11	11	3	4	4	0	1	0
1707251727	13	10	9	9	9	13	11	11	11	3	4	4	0	1	0
1707251900	13	10	9	9	9	13	11	11	11	3	4	4	0	1	0
1707251927	13	10	9	9	9	13	11	11	11	3	4	4	0	1	0
1707252025	13	10	9	9	9	13	11	11	11	3	4	4	0	1	0
1707252100	13	10	9	9	9	13	11	11	11	3	4	4	0	1	0
1707252124	13	10	9	9	9	13	11	11	11	3	4	4	0	1	0
1707252143	13	10	9	9	9	13	11	11	11	3	4	4	0	1	0
1707252259	13	10	9	9	9	13	11	11	11	3	4	4	0	1	0
1707252332	13	10	9	9	9	13	11	11	11	3	4	4	0	1	0
1707260820	13	10	9	9	9	13	11	11	11	3	4	4	0	1	0
1707261009	13	10	9	9	9	13	11	11	11	3	4	4	0	1	0
1707261047	13	10	9	9	9	13	11	11	11	3	4	4	0	1	0
1707261116	13	10	9	9	9	13	11	11	11	3	4	4	0	1	0
1707261144	13	10	9	9	9	13	11	11	11	3	4	4	0	1	0
1707261213	13	10	9	9	9	13	11	11	11	3	4	4	0	1	0
1707261257	13	10	9	9	9	13	11	11	11	3	4	4	0	1	0
1707261315	13	10	9	9	9	13	11	11	11	3	4	4	0	1	0
1707261354	13	10	9	9	9	13	11	11	11	3	4	4	0	1	0
1707261538	13	10	9	9	9	13	11	11	11	3	4	4	0	1	0
1707261603	13	10	9	9	9	13	11	11	11	3	4	4	0	1	0
1707261646	13	10	9	9	9	13	11	11	11	3	4	4	0	1	0
1707261709	13	10	9	9	9	13	11	11	11	3	4	4	0	1	0
1707261733	13	10	9	9	9	13	11	11	11	3	4	4	0	1	0
1707261807	13	10	9	9	9	13	11	11	11	3	4	4	0	1	0
1707261822	13	10	9	9	9	13	11	11	11	3	4	4	0	1	0
1707261842	13	10	9	9	9	13	11	11	11	3	4	4	0	1	0
1707261903	13	10	9	9	9	13	11	11	11	3	4	4	0	1	0
1707261944	13	10	9	9	9	13	11	11	11	3	4	4	0	1	0
1707262004	13	10	9	9	9	13	11	11	11	3	4	4	0	1	0
