date	MIIA4000_27150	MIIA4003_27151	MIIA4005_25630	MIIA4100_27152	MIIA4101_27153	MIIA4102_27154	MIIA4203_27155	MIIA4400_27156
1707240824	60	55	60	60	60	60	60	60
1707240905	60	55	60	60	60	60	60	60
1707240930	60	55	60	60	60	60	60	60
1707240941	60	55	60	60	60	60	60	60
1707241000	60	55	60	60	60	60	60	60
1707241012	60	55	60	60	60	60	60	60
1707241023	60	55	60	60	60	60	60	60
1707241039	57	55	60	57	57	57	60	60
1707241047	57	55	60	57	57	57	60	60
1707241055	56	55	60	56	56	56	60	60
1707241129	42	55	60	42	42	42	60	60
1707241147	41	49	54	40	40	41	54	54
1707241221	34	43	48	35	35	35	48	48
1707241307	34	42	46	34	34	33	46	45
1707241415	30	38	42	29	30	27	43	41
1707241512	28	38	42	27	28	24	41	40
1707241556	26	37	41	25	26	22	40	39
1707241623	26	35	39	25	26	22	38	37
1707241717	25	35	39	24	25	21	38	37
1707241814	25	35	39	24	25	21	38	37
1707241848	25	33	37	24	25	21	37	35
1707242034	21	32	37	20	21	17	35	34
1707242132	20	32	36	19	20	16	34	33
1707242210	20	32	36	19	20	16	34	33
1707242307	20	32	36	19	20	15	34	33
1707242329	20	32	36	19	20	15	34	33
1707242343	20	32	36	19	20	15	34	33
1707250748	18	32	36	17	18	13	34	33
1707251027	17	31	35	16	17	12	33	32
1707251309	16	31	34	15	16	11	33	32
1707251351	16	31	34	15	16	11	33	32
1707251441	16	31	34	15	16	11	33	32
1707251521	16	31	34	15	16	11	33	32
1707251605	14	31	34	13	14	9	33	32
1707251658	14	31	34	13	14	9	33	32
1707251727	14	30	33	13	14	9	32	31
1707251900	13	27	30	12	13	8	29	28
1707251927	13	26	29	12	13	8	28	28
1707252025	13	26	29	12	13	7	27	28
1707252100	13	26	29	12	13	7	27	28
1707252124	13	26	29	12	13	7	27	28
1707252143	13	26	29	12	13	7	27	28
1707252259	13	26	29	12	13	7	27	28
1707252332	13	25	28	12	13	7	26	27
1707260820	13	25	28	12	13	6	25	27
1707261009	13	25	28	12	13	6	25	27
1707261047	13	25	28	12	13	6	25	27
1707261116	13	25	28	12	13	6	25	27
1707261144	13	25	28	12	13	6	25	27
1707261213	13	25	28	12	13	6	25	27
1707261257	13	25	28	12	13	6	25	27
1707261315	13	25	28	12	13	6	25	27
1707261354	13	25	28	12	13	6	25	27
1707261538	13	25	28	12	13	6	25	27
1707261603	13	25	28	12	13	6	25	27
1707261646	13	24	27	12	13	6	24	26
1707261709	13	24	27	12	13	6	24	26
1707261733	13	24	27	12	13	6	24	26
1707261807	13	24	27	12	13	6	24	26
1707261822	13	24	27	12	13	6	24	26
1707261842	13	24	27	12	13	6	24	26
1707261903	13	24	27	12	13	6	24	26
1707261944	13	24	27	12	13	6	24	26
1707262004	13	24	27	12	13	6	24	26
1707262107	13	23	26	12	13	6	23	25
1707262125	13	23	26	12	13	6	23	25
1707262142	13	23	26	12	13	6	23	25
1707262337	11	21	24	10	11	4	21	23
1707270001	11	21	24	10	11	4	21	23
1707270737	10	20	23	9	10	3	20	22
1707270816	9	20	23	8	9	2	20	22
1707270840	9	20	23	8	9	2	20	22
1707270903	9	20	23	8	9	2	20	22
1707271009	9	20	23	8	9	2	20	22
1707271027	9	20	23	8	9	2	20	22
1707271053	9	20	23	8	9	2	20	22
1707271136	9	20	23	8	9	2	20	22
1707271218	9	20	23	8	9	2	20	22
1707271250	9	20	23	8	9	2	20	22
1707271309	9	20	23	8	9	3	20	22
1707271338	9	20	23	9	9	2	20	22
1707271422	9	20	23	9	9	2	20	22
1707271448	9	20	23	9	9	2	20	22
1707271510	9	20	23	9	9	2	19	21
1707271544	9	19	22	9	9	2	18	20
1707271643	9	19	21	9	9	2	18	20
1707271704	9	19	21	9	9	2	18	20
1707271720	9	19	21	9	9	2	18	20
1707271802	9	19	21	9	9	2	18	20
1707272002	9	19	21	9	9	2	18	20
1707272150	9	19	21	9	9	2	18	20
1707272237	9	19	21	9	9	2	18	20
1707281100	9	19	21	9	9	2	18	20
1707281233	9	19	21	9	9	2	18	20
1707281457	9	19	21	9	9	2	18	20
1707281621	9	19	21	9	9	2	18	20
1707281911	9	19	21	9	9	2	18	20
