date	MISO4000_21194	MISO4005_24821	MISO4101_14446	MISO4203_27158	MISO4204_14604	MISO4205_16210	MISO4206_24822	MISO4208_27975	MISO4301_16211	MISO4302_15251	MISO4303_16212
1707240824	120	0	25	25	25	24	25	25	30	10	10
1707240905	120	0	25	25	25	24	25	25	30	10	10
1707240930	120	0	25	25	25	24	25	25	30	10	10
1707240941	120	0	25	25	25	24	25	25	30	10	10
1707241000	120	0	25	25	25	24	25	25	30	10	10
1707241012	120	0	25	25	25	24	25	25	30	10	10
1707241023	120	0	25	25	25	24	25	25	30	10	10
1707241039	119	0	23	24	25	24	23	25	30	10	10
1707241047	119	0	23	23	25	24	23	25	30	10	10
1707241055	119	0	22	23	25	23	23	25	30	10	10
1707241129	117	0	19	20	22	23	16	24	30	10	10
1707241147	115	0	15	16	17	19	9	20	27	10	10
1707241221	115	0	15	15	17	17	7	20	26	10	10
1707241307	114	0	12	14	16	17	4	19	25	10	10
1707241415	113	0	4	10	13	16	1	9	24	10	10
1707241512	113	0	3	5	12	14	0	8	21	10	10
1707241556	113	0	3	4	12	14	0	8	21	10	9
1707241623	113	0	3	4	11	12	0	8	21	10	9
1707241717	113	0	3	3	10	12	0	8	21	10	9
1707241814	113	0	3	3	10	12	0	8	21	10	9
1707241848	113	0	3	3	10	12	0	8	21	10	9
1707242034	113	0	3	3	10	12	0	8	21	10	9
1707242132	113	0	3	3	9	12	0	8	21	10	9
1707242210	113	0	3	3	9	12	0	8	21	10	9
1707242307	113	0	3	3	9	12	0	8	21	10	9
1707242329	113	0	3	3	9	12	0	8	21	10	9
1707242343	113	0	3	3	9	12	0	8	21	10	9
1707250748	113	0	3	3	9	12	0	8	21	10	9
1707251027	113	0	3	3	9	12	0	7	21	0	-1
1707251309	113	0	2	3	9	10	0	5	21	0	-1
1707251351	113	0	2	3	10	10	0	5	21	0	-1
1707251441	112	0	1	3	10	11	0	5	21	0	-1
1707251521	112	0	1	3	10	11	0	5	21	0	-1
1707251605	112	0	1	3	10	11	0	5	21	0	-1
1707251658	112	0	1	3	8	11	0	5	21	0	-1
1707251727	112	0	1	3	8	11	0	5	21	0	-1
1707251900	112	0	1	3	8	11	0	5	21	0	-1
1707251927	112	0	1	3	8	11	0	5	21	0	-1
1707252025	112	0	1	3	8	11	0	5	21	0	-1
1707252100	112	0	1	3	8	11	0	5	21	0	-1
1707252124	112	0	1	3	8	11	0	5	21	0	-1
1707252143	112	0	1	3	8	11	0	5	21	0	-1
1707252259	112	0	1	3	8	11	0	5	21	0	-1
1707252332	112	0	1	3	8	11	0	5	21	0	-1
1707260820	112	0	1	3	8	11	0	5	21	0	-1
1707261009	112	0	1	3	8	11	0	5	21	0	-1
1707261047	112	0	1	3	8	11	0	5	21	0	-1
1707261116	112	0	1	3	8	11	0	5	21	0	-1
1707261144	112	0	1	3	8	11	0	5	21	0	-1
1707261213	112	0	1	3	8	11	0	5	21	0	-1
1707261257	112	0	1	3	8	11	0	5	21	0	-1
1707261315	112	0	1	3	8	11	0	5	21	0	-1
1707261354	112	0	1	3	8	11	0	5	21	0	-1
1707261538	112	0	1	3	8	11	0	4	21	0	-1
1707261603	112	0	1	3	8	11	0	4	21	0	-1
1707261646	112	0	1	3	8	11	0	4	21	0	-1
1707261709	112	0	1	3	8	11	0	4	21	0	-1
1707261733	112	0	1	3	8	11	0	4	21	0	-1
1707261807	112	0	1	3	8	11	0	4	21	0	-1
1707261822	112	0	1	3	8	11	0	4	21	0	-1
1707261842	112	0	1	3	8	11	0	4	21	0	-1
1707261903	112	0	1	3	8	11	0	4	21	0	-1
1707261944	112	0	1	3	8	11	0	4	21	0	-1
1707262004	112	0	1	3	8	11	0	4	21	0	-1
1707262107	112	0	1	3	8	11	0	4	20	0	-1
1707262125	112	0	1	3	8	11	0	4	20	0	-1
1707262142	112	0	1	3	8	11	0	4	20	0	-1
1707262337	112	0	1	3	7	11	0	4	20	0	-1
1707270001	112	0	1	3	7	11	0	4	20	0	-1
1707270737	112	0	1	3	7	11	0	4	20	0	-1
1707270816	112	0	1	3	6	11	0	4	20	0	-1
1707270840	112	0	1	3	6	11	0	4	20	0	-1
1707270903	112	0	1	3	6	11	0	4	20	0	-1
1707271009	112	0	1	3	6	11	0	4	20	0	-1
1707271027	112	0	1	3	6	11	0	4	20	0	-1
1707271053	112	0	1	3	6	10	0	4	20	0	-1
1707271136	112	0	1	3	6	10	0	4	20	0	-1
1707271218	112	0	1	3	6	10	0	4	20	0	-1
1707271250	112	0	1	3	6	10	0	4	20	0	-1
1707271309	112	0	1	3	6	10	0	4	20	0	-1
1707271338	112	0	1	3	6	10	0	4	20	0	-1
1707271422	112	0	1	3	6	10	0	4	20	0	-1
1707271448	112	0	1	3	6	10	0	4	20	0	-1
1707271510	112	0	1	3	6	10	0	4	20	0	-1
1707271544	112	0	1	3	6	10	0	4	20	0	-1
1707271643	112	0	1	4	6	10	0	4	20	0	-1
1707271704	112	0	1	4	6	10	0	4	20	0	-1
1707271720	112	0	1	4	6	10	0	4	20	0	-1
1707271802	112	0	1	4	6	10	0	4	20	0	-1
1707272002	112	0	1	2	6	6	0	1	20	0	-1
1707272150	112	0	1	2	6	6	0	1	20	0	-1
1707272237	112	0	1	2	6	6	0	1	20	0	-1
1707281100	112	0	2	3	7	8	3	1	16	0	-1
1707281233	112	0	2	3	7	8	3	2	16	0	-1
1707281457	112	0	2	3	7	8	3	2	16	0	-1
1707281621	112	0	2	3	7	8	3	2	16	0	-1
1707281911	112	0	2	3	7	8	3	2	16	0	-1
