date	MLIT4000_20861	MLIT4000_20869	MLIT4000_22985	MLIT4000_25386	MLIT4000_27686	MLIT4121_27159	MLIT4336_27160	MLIT4337_27161	MLIT4339_27274	MLIT4509_20098	MLIT4520_27877	MLIT4902_12067	MLIT4904_13085	MLIT4905_13441
1707240824	15	15	15	15	15	15	15	15	15	5	30	5	5	5
1707240905	15	15	15	15	15	15	15	15	15	5	30	5	5	5
1707240930	15	15	15	15	15	15	15	15	15	5	30	5	5	5
1707240941	15	15	15	15	15	15	15	15	15	5	30	5	5	5
1707241000	15	15	15	15	15	15	15	15	15	5	30	5	5	5
1707241012	15	15	15	15	15	15	15	15	15	5	30	5	5	5
1707241023	15	15	15	15	15	15	15	15	15	5	30	5	5	5
1707241039	15	15	15	15	15	13	14	14	15	5	30	5	5	5
1707241047	15	15	15	15	15	13	14	13	14	5	30	5	5	5
1707241055	15	15	15	15	15	12	14	12	14	5	30	5	5	5
1707241129	15	15	15	15	15	10	14	11	14	5	30	5	5	5
1707241147	15	15	15	15	15	7	12	9	12	5	30	5	5	5
1707241221	15	15	14	15	15	6	11	7	11	5	30	5	5	5
1707241307	15	15	14	15	15	6	11	7	11	5	30	5	5	5
1707241415	15	15	14	15	15	6	11	7	11	5	30	5	5	5
1707241512	15	15	14	15	15	5	11	6	11	5	30	5	5	5
1707241556	15	15	14	15	15	5	11	6	11	5	29	5	5	5
1707241623	15	15	14	15	15	3	11	5	10	5	29	4	5	5
1707241717	15	15	14	15	15	1	10	5	10	5	29	4	5	4
1707241814	15	15	14	15	15	0	10	5	8	5	25	4	5	4
1707241848	15	15	14	15	15	0	10	4	8	5	23	4	5	4
1707242034	15	15	14	15	15	0	10	4	8	5	21	4	5	4
1707242132	15	15	14	15	15	0	10	4	8	5	20	4	5	4
1707242210	15	15	14	15	15	0	10	4	8	5	20	4	5	4
1707242307	15	15	14	15	15	0	10	4	8	5	19	4	5	4
1707242329	15	15	14	15	15	0	10	4	8	5	19	4	5	4
1707242343	15	15	14	15	15	0	10	4	8	5	19	4	5	4
1707250748	15	15	14	15	15	0	10	4	8	5	16	4	5	4
1707251027	15	15	14	15	15	0	8	0	8	5	12	4	5	4
1707251309	15	14	14	14	15	0	8	0	7	5	11	4	5	4
1707251351	15	14	14	14	15	0	8	0	7	5	11	4	5	4
1707251441	15	14	14	15	15	0	8	0	7	5	11	4	5	4
1707251521	15	14	14	15	15	0	8	0	7	5	11	4	5	4
1707251605	0	-1	-1	0	0	0	8	0	7	5	11	4	5	4
1707251658	0	0	0	0	0	-1	8	0	6	5	10	4	5	4
1707251727	0	0	0	0	0	-1	8	0	6	5	10	4	5	4
1707251900	0	0	0	0	0	-1	7	0	6	5	10	4	5	4
1707251927	0	0	0	0	0	-1	7	0	6	5	10	4	5	4
1707252025	0	0	0	0	0	-1	7	0	6	5	10	4	5	4
1707252100	0	0	0	0	0	-1	7	0	6	5	10	4	5	4
1707252124	0	0	0	0	0	-1	7	0	6	5	10	4	5	4
1707252143	0	0	0	0	0	-1	7	0	6	5	10	4	5	4
1707252259	0	0	0	0	0	-1	7	0	6	5	10	4	5	4
1707252332	0	0	0	0	0	-1	7	0	6	5	10	4	5	4
