date	MMER4000_27162	MMER4200_27164	MMER4301_27477	MMER4303_27166	MMER4305_27478	MMER4306_27168	MMER4308_27169	MMER4310_27417	MMER4310_27418	MMER4311_27474	MMER4334_27476	MMER4900_27419	MMER4900_27420
1707240824	50	50	50	50	50	50	50	50	50	50	50	20	20
1707240905	50	50	50	50	50	50	50	50	50	50	50	20	20
1707240930	50	50	50	50	50	50	50	50	50	50	50	20	20
1707240941	50	50	50	50	50	50	50	50	50	50	50	20	20
1707241000	50	50	50	50	50	50	50	50	50	50	50	20	20
1707241012	50	50	50	50	50	50	50	50	50	50	50	20	20
1707241023	50	50	50	50	50	50	50	50	50	50	50	20	20
1707241039	50	50	50	50	50	50	50	50	50	50	50	20	20
1707241047	50	50	50	50	50	50	50	50	50	50	50	20	20
1707241055	50	50	50	50	50	50	50	50	50	50	50	20	20
1707241129	50	50	50	50	50	50	50	50	50	50	50	20	20
1707241147	35	37	37	17	37	19	34	42	23	19	36	0	13
1707241221	25	28	27	12	27	15	23	42	19	15	27	0	8
1707241307	24	27	26	11	26	14	22	21	-1	15	26	0	6
1707241415	20	24	22	10	23	14	17	20	-1	14	23	0	6
1707241512	20	24	22	6	23	10	17	17	-1	13	23	0	3
1707241556	17	21	19	6	20	10	14	17	-1	13	20	0	3
1707241623	17	21	19	6	20	10	14	17	-1	13	20	0	3
1707241717	17	21	19	6	20	10	14	17	-1	13	20	0	3
1707241814	16	20	18	6	19	10	13	17	-1	13	19	0	3
1707241848	16	20	18	6	19	10	13	17	-1	13	19	0	3
1707242034	16	20	18	6	18	10	13	17	-1	13	19	0	3
1707242132	15	19	17	4	17	9	12	17	-1	12	18	0	2
1707242210	15	19	17	4	17	9	12	17	-1	12	18	0	2
1707242307	15	19	17	3	17	8	12	16	-1	11	18	0	1
1707242329	15	19	17	3	17	8	12	16	-1	11	18	0	1
1707242343	15	19	17	3	17	8	12	16	-1	11	18	0	1
1707250748	15	19	16	3	16	8	12	16	-1	11	18	0	1
1707251027	15	19	16	3	16	8	12	16	-1	11	18	0	1
1707251309	13	17	15	3	15	8	10	16	-1	11	17	0	1
1707251351	13	17	15	3	15	8	10	16	-1	11	17	0	1
1707251441	13	17	15	3	15	8	10	16	-1	11	17	0	1
1707251521	13	17	15	3	15	8	10	16	-1	11	17	0	1
1707251605	13	17	15	2	15	8	10	16	-1	10	17	0	1
1707251658	13	17	15	2	15	8	10	16	-1	10	17	0	1
1707251727	13	17	15	2	15	8	10	16	-1	10	17	0	1
1707251900	13	17	15	2	15	8	10	16	-1	10	17	0	1
1707251927	13	17	15	2	15	8	10	16	-1	10	17	0	1
1707252025	13	17	15	2	15	8	10	16	-1	10	17	0	1
1707252100	13	17	15	2	15	8	10	16	-1	10	17	0	1
1707252124	12	16	14	2	14	8	9	16	-1	10	16	0	1
1707252143	12	16	14	2	14	8	9	16	-1	10	16	0	1
1707252259	12	16	14	2	14	8	9	16	-1	10	16	0	1
1707252332	12	16	14	2	14	8	9	16	-1	10	16	0	1
1707260820	12	16	14	2	14	8	9	16	-1	10	16	0	1
1707261009	12	16	14	2	14	8	9	16	-1	10	16	0	1
1707261047	12	16	14	2	14	8	9	16	-1	10	16	0	1
1707261116	12	16	14	2	14	8	9	16	-1	10	16	0	1
1707261144	12	16	14	2	14	8	9	16	-1	10	16	0	1
1707261213	12	16	14	2	14	8	9	16	-1	10	16	0	1
1707261257	12	16	14	2	14	8	9	16	-1	10	16	0	1
1707261315	12	16	14	2	14	8	9	16	-1	10	16	0	1
1707261354	12	16	14	2	14	8	9	16	-1	10	16	0	1
1707261538	12	16	14	2	14	8	9	16	-1	10	16	0	1
1707261603	12	16	14	2	14	8	9	16	-1	10	16	0	1
1707261646	12	16	15	2	14	8	9	16	-1	10	16	0	1
1707261709	12	16	15	3	14	8	9	16	-1	10	16	0	1
1707261733	12	16	15	3	14	8	9	16	-1	10	16	0	1
1707261807	12	16	15	3	14	8	9	16	-1	10	16	0	1
1707261822	12	16	15	3	14	8	9	16	-1	10	16	0	1
1707261842	12	16	15	3	14	8	9	16	-1	10	16	0	1
1707261903	12	16	15	3	14	8	9	16	-1	10	16	0	1
1707261944	12	16	15	3	14	8	9	16	-1	10	16	0	1
1707262004	12	16	15	3	14	8	9	16	-1	10	16	0	1
1707262107	12	16	15	3	14	8	9	16	0	10	16	0	1
1707262125	12	16	15	3	14	8	9	16	0	10	16	0	1
1707262142	12	16	15	3	14	8	9	16	0	10	16	0	1
1707262337	11	15	14	3	13	8	8	16	0	10	15	0	1
1707270001	11	15	14	3	13	8	8	16	0	10	15	0	1
1707270737	11	15	14	3	13	8	8	16	0	10	15	0	1
1707270816	11	15	14	3	13	8	8	16	0	10	15	0	1
1707270840	11	15	14	3	13	8	8	16	0	10	15	0	1
1707270903	11	15	14	3	13	8	8	16	0	10	15	0	1
1707271009	11	15	14	3	13	8	8	16	0	10	15	0	1
1707271027	11	15	14	3	13	8	8	16	0	10	15	0	1
1707271053	11	15	14	3	13	8	8	16	0	10	15	0	1
1707271136	10	14	13	3	12	8	7	16	0	10	14	0	1
1707271218	9	14	12	3	11	8	6	16	0	10	13	0	1
1707271250	9	14	12	3	11	8	6	16	0	10	13	0	1
1707271309	9	14	12	3	11	8	6	16	0	10	13	0	1
1707271338	9	14	12	3	11	8	6	16	0	10	13	0	1
1707271422	9	14	12	3	11	8	6	16	0	10	13	0	1
1707271448	9	14	12	3	11	8	6	16	0	10	13	0	1
1707271510	9	14	12	3	11	8	6	16	0	10	13	0	1
1707271544	9	14	12	3	11	8	6	16	0	10	13	0	1
